date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
1/1/2021,527,795,784,680,652,6
1/1/2022,38181,29453,30173,36687,83332,22027
1/10/2021,999,1414,1505,1393,3033,13
1/10/2022,38655,29720,30408,37010,83786,23084
1/11/2021,1035,1473,1573,1456,3229,17
1/11/2022,38709,29737,30442,37042,83836,23203
1/12/2021,1110,1564,1676,1548,3536,17
1/12/2022,38775,29769,30471,37068,83875,23339
1/13/2021,1196,1663,1794,1707,3950,17
1/13/2022,38845,29799,30510,37110,83927,23444
1/14/2021,1275,1812,1909,1842,4466,18
1/14/2022,38935,29841,30546,37148,83972,23594
1/15/2021,1374,1952,2062,1975,4866,19
1/15/2022,38989,29866,30563,37170,83987,23726
1/16/2021,1429,2030,2150,2063,5485,20
1/16/2022,39008,29878,30571,37178,83995,23765
1/17/2021,1446,2056,2176,2096,5540,21
1/17/2022,39051,29902,30585,37193,84036,23854
1/18/2021,1505,2161,2246,2190,5756,22
1/18/2022,39120,29925,30607,37208,84064,23953
1/19/2021,1568,2224,2319,2270,6272,24
1/19/2022,39169,29951,30636,37229,84090,24027
1/2/2021,598,885,885,776,742,7
1/2/2022,38202,29465,30182,36706,83367,22053
1/20/2021,1629,2331,2415,2383,7084,27
1/20/2022,39219,29985,30661,37263,84123,24121
1/21/2021,1715,2444,2554,2541,7843,30
1/21/2022,39251,30011,30687,37293,84147,24214
1/22/2021,1841,2577,2703,2721,8636,31
1/22/2022,39280,30030,30701,37308,84156,24304
1/23/2021,1917,2712,2848,2869,9985,33
1/23/2022,39301,30043,30704,37321,84164,24335
1/24/2021,1942,2740,2886,2895,10128,34
1/24/2022,39333,30071,30728,37345,84188,24395
1/25/2021,2009,2800,2956,3009,10736,36
1/25/2022,39379,30088,30748,37361,84203,24493
1/26/2021,2066,2863,3046,3113,11296,37
1/26/2022,39422,30112,30761,37381,84231,24590
1/27/2021,2167,2962,3184,3287,12009,38
1/27/2022,39477,30137,30789,37408,84254,24660
1/28/2021,2238,3062,3293,3428,13019,38
1/28/2022,39529,30168,30805,37426,84272,24732
1/29/2021,2329,3158,3423,3588,13996,44
1/29/2022,39553,30179,30821,37438,84277,24835
1/3/2021,618,921,919,796,776,8
1/3/2022,38250,29494,30215,36762,83436,22154
1/30/2021,2386,3231,3523,3711,15930,46
