date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
1/1/2021,628,739,581,440,359,2
1/1/2022,24343,12642,11437,12660,17943,12730
1/10/2021,1125,1155,964,777,713,9
1/10/2022,24569,12721,11494,12716,17967,13156
1/11/2021,1194,1236,1041,828,775,10
1/11/2022,24587,12726,11494,12719,17972,13180
1/12/2021,1299,1323,1113,911,975,11
1/12/2022,24609,12737,11496,12730,17978,13226
1/13/2021,1355,1387,1190,973,1217,12
1/13/2022,24629,12741,11503,12735,17982,13236
1/14/2021,1453,1472,1286,1055,1474,12
1/14/2022,24679,12757,11509,12742,17994,13311
1/15/2021,1567,1567,1365,1143,2222,12
1/15/2022,24702,12759,11511,12746,17996,13344
1/16/2021,1575,1580,1378,1156,2307,12
1/16/2022,24712,12760,11513,12747,17996,13364
1/17/2021,1581,1588,1385,1160,2315,12
1/17/2022,24721,12760,11516,12748,17998,13370
1/18/2021,1648,1661,1444,1217,2379,13
1/18/2022,24734,12765,11518,12753,18004,13394
1/19/2021,1734,1721,1509,1290,2618,14
1/19/2022,24744,12774,11526,12761,18005,13429
1/2/2021,652,756,589,453,366,2
1/2/2022,24347,12647,11441,12660,17943,12738
1/20/2021,1978,1990,1831,1582,2822,19
1/20/2022,24753,12783,11529,12765,18010,13477
1/21/2021,2121,2106,1932,1680,3031,20
1/21/2022,24778,12793,11536,12774,18014,13504
1/22/2021,2213,2182,2027,1782,3356,21
1/22/2022,24791,12800,11540,12774,18016,13545
1/23/2021,2254,2217,2058,1812,3507,24
1/23/2022,24798,12800,11540,12775,18016,13557
1/24/2021,2259,2220,2058,1813,3522,24
1/24/2022,24810,12803,11546,12775,18021,13582
1/25/2021,2309,2270,2120,1904,3742,25
1/25/2022,24815,12806,11551,12777,18022,13603
1/26/2021,2370,2323,2177,1977,4019,26
1/26/2022,24827,12811,11556,12783,18030,13631
1/27/2021,2623,2465,2324,2127,4326,28
1/27/2022,24840,12815,11557,12787,18033,13682
1/28/2021,2814,2585,2457,2278,4663,32
1/28/2022,24863,12822,11565,12787,18037,13716
1/29/2021,2906,2671,2534,2386,4934,36
1/29/2022,24874,12824,11565,12790,18039,13737
1/3/2021,652,757,589,454,368,2
1/3/2022,24366,12654,11449,12668,17946,12785
1/30/2021,2968,2714,2563,2425,5048,43
1/30/2022,24879,12826,11565,12790,18039,13745
1/31/2021,2977,2717,2564,2428,5066,43
1/31/2022,24884,12826,11569,12796,18041,13761
1/4/2021,721,830,655,520,430,3
1/4/2022,24391,12660,11455,12673,17947,12817
1/5/2021,803,902,710,584,502,6
1/5/2022,24423,12667,11460,12684,17952,12874
1/6/2021,883,954,764,634,571,6
1/6/2022,24455,12682,11471,12689,17954,12968
1/7/2021,994,1042,850,698,668,6
1/7/2022,24504,12700,11481,12703,17959,13056
1/8/2021,1112,1147,953,758,704,9
1/8/2022,24525,12709,11489,12706,17964,13103
1/9/2021,1125,1154,962,774,711,9
1/9/2022,24546,12713,11492,12711,17966,13134
10/1/2021,22354,11707,10688,11830,16989,7984
10/10/2021,22495,11761,10744,11863,17049,8054
10/11/2021,22502,11767,10750,11864,17057,8061
10/12/2021,22512,11773,10752,11864,17059,8071
10/13/2021,22536,11783,10762,11869,17074,8083
10/14/2021,22552,11784,10764,11879,17081,8090
10/15/2021,22567,11789,10774,11881,17096,8100
10/16/2021,22579,11789,10775,11886,17098,8105
10/17/2021,22603,11791,10778,11886,17099,8112
10/18/2021,22616,11800,10780,11891,17105,8116
10/19/2021,22636,11804,10780,11897,17109,8121
10/2/2021,22367,11709,10689,11830,16993,7988
10/20/2021,22650,11812,10789,11902,17117,8132
10/21/2021,22668,11819,10793,11907,17120,8137
10/22/2021,22694,11830,10802,11923,17138,8143
10/23/2021,22710,11837,10808,11933,17152,8152
10/24/2021,22720,11843,10810,11934,17161,8154
10/25/2021,22734,11851,10821,11943,17184,8162
10/26/2021,22751,11859,10828,11957,17204,8182
10/27/2021,22783,11874,10842,11973,17244,8197
10/28/2021,22799,11879,10849,11983,17263,8203
10/29/2021,22836,11905,10864,12010,17295,8220
10/3/2021,22378,11709,10690,11834,16998,7996
10/30/2021,22858,11921,10880,12015,17306,8230
10/31/2021,22875,11931,10891,12022,17312,8236
10/4/2021,22398,11715,10694,11839,17008,8002
10/5/2021,22412,11720,10700,11844,17016,8009
10/6/2021,22438,11734,10711,11849,17023,8020
10/7/2021,22451,11743,10720,11859,17030,8031
10/8/2021,22477,11756,10740,11862,17037,8045
10/9/2021,22487,11760,10743,11863,17046,8050
11/1/2021,22897,11943,10899,12040,17333,8239
11/10/2021,23135,12052,10990,12157,17463,9411
11/11/2021,23163,12064,10998,12169,17469,9480
11/12/2021,23199,12083,11018,12183,17487,9809
11/13/2021,23219,12093,11028,12191,17492,9945
11/14/2021,23237,12098,11033,12198,17494,9990
11/15/2021,23261,12109,11045,12212,17515,10049
11/16/2021,23287,12126,11049,12224,17527,10140
11/17/2021,23308,12141,11056,12233,17551,10414
11/18/2021,23350,12161,11072,12245,17566,10514
11/19/2021,23403,12182,11083,12267,17580,10704
11/2/2021,22924,11950,10909,12049,17347,8249
11/20/2021,23422,12200,11092,12275,17588,10847
11/21/2021,23443,12206,11096,12282,17595,10889
11/22/2021,23470,12216,11110,12296,17612,10950
11/23/2021,23496,12220,11125,12304,17625,11004
11/24/2021,23516,12230,11131,12310,17635,11061
11/25/2021,23516,12230,11131,12310,17635,11061
11/26/2021,23539,12240,11132,12323,17642,11117
11/27/2021,23556,12242,11136,12328,17644,11129
11/28/2021,23563,12246,11138,12333,17645,11133
11/29/2021,23587,12259,11143,12342,17661,11182
11/3/2021,22955,11966,10918,12060,17365,8260
11/30/2021,23613,12268,11154,12351,17673,11270
11/4/2021,22985,11976,10931,12073,17385,8267
11/5/2021,23030,11999,10956,12099,17404,8378
11/6/2021,23056,12009,10965,12111,17413,8745
11/7/2021,23066,12019,10966,12118,17420,8803
11/8/2021,23086,12025,10973,12127,17433,8964
11/9/2021,23107,12033,10982,12138,17442,9119
12/1/2020,,,,1,,
12/1/2021,23638,12286,11162,12365,17695,11338
12/10/2020,,1,,1,1,
