Category,value
Apache,585
Cochise,544
Coconino,453
Gila,357
Graham,171
Greenlee,32
La Paz,134
Maricopa,"15,761"
Mohave,"1,375"
Navajo,850
Pima,"3,646"
Pinal,"1,544"
Santa Cruz,224
Yavapai,"1,144"
Yuma,"1,126"
Female,11558
Male,16373
20-44y,1531
45-54y,2189
55-64y,4444
65+,19722
<20y,60
"White, non-Hispanic",14790
Hispanic or Latino,7413
"American Indian or Alaska Native, non-Hispanic",1934
"Black or African American, non-Hispanic",859
"Asian or Pacific Islander, non-Hispanic",323
Other Race,753
Unknown,1874
