date,pcr_tests_PINAL,pcr_pos_test_PINAL,pcr_positivity_PINAL
2022-02-25 00:00:00,10,0,0
2022-02-24 00:00:00,412,25,0.0606796116504854
2022-02-23 00:00:00,1209,109,0.0901571546732837
2022-02-22 00:00:00,1389,133,0.095752339812815
2022-02-21 00:00:00,1587,134,0.0844360428481411
2022-02-20 00:00:00,706,83,0.1175637393767705
2022-02-19 00:00:00,904,100,0.1106194690265487
2022-02-18 00:00:00,1584,182,0.1148989898989899
2022-02-17 00:00:00,1801,195,0.1082731815657968
2022-02-16 00:00:00,1732,205,0.1183602771362587
2022-02-15 00:00:00,1881,251,0.1334396597554492
2022-02-14 00:00:00,2033,278,0.1367437284800787
2022-02-13 00:00:00,777,142,0.1827541827541828
2022-02-12 00:00:00,1052,228,0.2167300380228137
2022-02-11 00:00:00,2043,369,0.1806167400881057
2022-02-10 00:00:00,2075,420,0.2024096385542169
2022-02-09 00:00:00,2019,435,0.2154531946508173
2022-02-08 00:00:00,2232,451,0.2020609318996416
2022-02-07 00:00:00,2766,630,0.227765726681128
2022-02-06 00:00:00,1200,364,0.3033333333333334
2022-02-05 00:00:00,1454,467,0.3211829436038515
2022-02-04 00:00:00,2631,744,0.2827822120866591
2022-02-03 00:00:00,2290,670,0.2925764192139738
2022-02-02 00:00:00,2812,761,0.2706258890469417
2022-02-01 00:00:00,2825,895,0.3168141592920354
2022-01-31 00:00:00,3856,1226,0.3179460580912863
2022-01-30 00:00:00,1728,666,0.3854166666666667
2022-01-29 00:00:00,2052,781,0.3806042884990254
2022-01-28 00:00:00,3625,1191,0.3285517241379311
2022-01-27 00:00:00,3798,1209,0.3183254344391785
2022-01-26 00:00:00,3695,1327,0.3591339648173207
2022-01-25 00:00:00,3980,1444,0.3628140703517588
2022-01-24 00:00:00,5205,1920,0.3688760806916427
2022-01-23 00:00:00,2629,1060,0.403195131228604
2022-01-22 00:00:00,2959,1166,0.3940520446096654
2022-01-21 00:00:00,4683,1888,0.4031603672859278
2022-01-20 00:00:00,4894,1905,0.3892521454842665
2022-01-19 00:00:00,4794,2011,0.419482686691698
2022-01-18 00:00:00,4845,2094,0.4321981424148607
2022-01-17 00:00:00,5492,2336,0.4253459577567371
2022-01-16 00:00:00,2543,1098,0.4317734958710185
2022-01-15 00:00:00,2713,1089,0.401400663472171
2022-01-14 00:00:00,4548,1795,0.3946789797713281
2022-01-13 00:00:00,4551,1805,0.3966161283234454
2022-01-12 00:00:00,5255,1959,0.3727878211227403
2022-01-11 00:00:00,4887,1862,0.3810108450992429
2022-01-10 00:00:00,5577,1973,0.3537744306975077
2022-01-09 00:00:00,2320,832,0.3586206896551724
2022-01-08 00:00:00,2867,1010,0.3522846180676666
2022-01-07 00:00:00,4670,1566,0.3353319057815846
2022-01-06 00:00:00,4359,1486,0.3409038770360175
2022-01-05 00:00:00,4564,1400,0.3067484662576687
2022-01-04 00:00:00,4366,1298,0.2972972972972973
2022-01-03 00:00:00,4632,1441,0.3110967184801382
2022-01-02 00:00:00,1791,539,0.3009491903964266
2022-01-01 00:00:00,1234,375,0.3038897893030794
2021-12-31 00:00:00,2222,610,0.2745274527452745
2021-12-30 00:00:00,3340,801,0.2398203592814372
2021-12-29 00:00:00,3216,746,0.2319651741293533
2021-12-28 00:00:00,2972,614,0.2065948855989233
2021-12-27 00:00:00,3336,627,0.1879496402877698
2021-12-26 00:00:00,1351,244,0.1806069578090304
2021-12-25 00:00:00,510,95,0.1862745098039216
2021-12-24 00:00:00,1506,314,0.2084993359893759
2021-12-23 00:00:00,2587,346,0.133745651333591
2021-12-22 00:00:00,2563,376,0.1467030823253999
2021-12-21 00:00:00,2645,349,0.1319470699432892
2021-12-20 00:00:00,2989,365,0.1221144195383071
2021-12-19 00:00:00,1216,171,0.140625
2021-12-18 00:00:00,1479,255,0.1724137931034483
