date,20-34_Greenlee,35-44_Greenlee,45-54_Greenlee,55-64_Greenlee,65+_Greenlee,<20_Greenlee
1/1/2021,14,19,24,22,37,
1/1/2022,838,716,664,701,1039,469
1/10/2021,22,24,36,35,89,1
1/10/2022,845,718,666,703,1040,474
1/11/2021,22,24,36,35,89,1
1/11/2022,848,720,666,703,1041,474
1/12/2021,25,30,41,41,106,1
1/12/2022,848,720,667,703,1041,476
1/13/2021,27,35,43,44,134,1
1/13/2022,850,720,667,703,1041,478
1/14/2021,34,43,57,68,144,1
1/14/2022,851,721,669,705,1042,482
1/15/2021,37,44,60,71,149,1
1/15/2022,852,721,669,705,1042,482
1/16/2021,37,44,60,71,150,1
1/16/2022,852,721,669,705,1042,482
1/17/2021,37,44,60,71,150,1
1/17/2022,852,721,669,705,1042,483
1/18/2021,40,45,61,75,157,1
1/18/2022,853,721,669,705,1042,483
1/19/2021,44,46,63,75,174,1
1/19/2022,853,721,669,706,1042,483
1/2/2021,14,19,24,22,37,
1/2/2022,838,716,664,701,1039,469
1/20/2021,45,49,65,78,191,1
1/20/2022,853,721,669,706,1042,483
1/21/2021,62,66,98,103,332,1
1/21/2022,853,721,669,706,1042,484
1/22/2021,75,88,120,131,424,1
1/22/2022,853,721,669,706,1042,485
1/23/2021,121,140,159,196,573,1
1/23/2022,853,721,669,706,1042,485
1/24/2021,123,141,161,198,573,1
1/24/2022,856,723,669,706,1043,486
1/25/2021,132,153,172,205,577,1
1/25/2022,858,723,669,706,1043,486
1/26/2021,133,153,172,205,578,1
1/26/2022,859,723,669,706,1043,488
1/27/2021,149,166,182,221,591,1
1/27/2022,860,723,669,706,1043,489
1/28/2021,196,206,227,274,630,4
1/28/2022,860,723,673,706,1043,491
1/29/2021,222,232,249,296,648,4
1/29/2022,860,723,673,706,1043,491
1/3/2021,14,19,24,22,37,
1/3/2022,838,716,664,702,1039,471
1/30/2021,222,233,249,296,649,4
1/30/2022,860,723,673,706,1043,491
1/31/2021,222,233,249,296,649,4
1/31/2022,860,723,673,706,1043,491
1/4/2021,14,19,24,22,37,1
1/4/2022,841,716,664,703,1039,472
1/5/2021,18,19,26,23,52,1
1/5/2022,843,718,664,703,1040,473
