date,pcr_tests_COCHISE,pcr_pos_test_COCHISE,pcr_positivity_COCHISE
2022-02-25 00:00:00,10,1,0.1
2022-02-24 00:00:00,88,9,0.1022727272727273
2022-02-23 00:00:00,446,50,0.1121076233183857
2022-02-22 00:00:00,427,55,0.1288056206088993
2022-02-21 00:00:00,394,32,0.0812182741116751
2022-02-20 00:00:00,101,8,0.0792079207920792
2022-02-19 00:00:00,197,35,0.1776649746192894
2022-02-18 00:00:00,518,65,0.1254826254826255
2022-02-17 00:00:00,532,73,0.137218045112782
2022-02-16 00:00:00,697,73,0.1047345767575323
2022-02-15 00:00:00,604,84,0.1390728476821192
2022-02-14 00:00:00,936,119,0.1271367521367521
2022-02-13 00:00:00,143,23,0.1608391608391608
2022-02-12 00:00:00,285,55,0.1929824561403509
2022-02-11 00:00:00,631,113,0.179080824088748
2022-02-10 00:00:00,671,102,0.1520119225037258
2022-02-09 00:00:00,723,116,0.1604426002766252
2022-02-08 00:00:00,655,117,0.1786259541984733
2022-02-07 00:00:00,1067,191,0.1790065604498594
2022-02-06 00:00:00,204,66,0.3235294117647059
2022-02-05 00:00:00,258,76,0.2945736434108528
2022-02-04 00:00:00,737,172,0.2333785617367707
2022-02-03 00:00:00,927,201,0.2168284789644013
2022-02-02 00:00:00,978,232,0.2372188139059305
2022-02-01 00:00:00,868,220,0.2534562211981567
2022-01-31 00:00:00,1411,349,0.2473423104181432
2022-01-30 00:00:00,280,89,0.3178571428571429
2022-01-29 00:00:00,434,142,0.327188940092166
2022-01-28 00:00:00,1132,306,0.2703180212014134
2022-01-27 00:00:00,1172,284,0.242320819112628
2022-01-26 00:00:00,1298,345,0.2657935285053929
2022-01-25 00:00:00,1120,376,0.3357142857142857
2022-01-24 00:00:00,1662,515,0.3098676293622142
2022-01-23 00:00:00,375,138,0.368
2022-01-22 00:00:00,660,237,0.3590909090909091
2022-01-21 00:00:00,1531,546,0.356629653821032
2022-01-20 00:00:00,1930,508,0.2632124352331606
2022-01-19 00:00:00,1545,511,0.3307443365695793
2022-01-18 00:00:00,1540,491,0.3188311688311689
2022-01-17 00:00:00,1539,416,0.2703053931124107
2022-01-16 00:00:00,483,184,0.380952380952381
2022-01-15 00:00:00,672,238,0.3541666666666667
2022-01-14 00:00:00,1575,472,0.2996825396825397
2022-01-13 00:00:00,1878,399,0.2124600638977636
2022-01-12 00:00:00,1698,470,0.2767962308598351
2022-01-11 00:00:00,1562,407,0.2605633802816902
2022-01-10 00:00:00,1771,411,0.2320722755505364
2022-01-09 00:00:00,431,137,0.3178654292343388
2022-01-08 00:00:00,495,132,0.2666666666666667
2022-01-07 00:00:00,1344,298,0.2217261904761905
2022-01-06 00:00:00,1053,210,0.1994301994301994
2022-01-05 00:00:00,1248,271,0.2171474358974359
2022-01-04 00:00:00,971,213,0.2193614830072091
2022-01-03 00:00:00,1077,194,0.1801299907149489
2022-01-02 00:00:00,327,94,0.2874617737003058
2022-01-01 00:00:00,116,14,0.1206896551724138
2021-12-31 00:00:00,380,50,0.1315789473684211
2021-12-30 00:00:00,767,110,0.1434159061277705
2021-12-29 00:00:00,796,114,0.1432160804020101
2021-12-28 00:00:00,584,103,0.1763698630136987
2021-12-27 00:00:00,666,106,0.1591591591591592
2021-12-26 00:00:00,212,33,0.1556603773584906
2021-12-25 00:00:00,67,5,0.0746268656716418
2021-12-24 00:00:00,241,36,0.1493775933609959
2021-12-23 00:00:00,596,81,0.1359060402684564
2021-12-22 00:00:00,677,62,0.0915805022156573
2021-12-21 00:00:00,481,43,0.0893970893970894
2021-12-20 00:00:00,676,79,0.1168639053254438
2021-12-19 00:00:00,172,18,0.1046511627906977
2021-12-18 00:00:00,212,28,0.1320754716981132
2021-12-17 00:00:00,503,77,0.1530815109343937
2021-12-16 00:00:00,401,44,0.1097256857855362
2021-12-15 00:00:00,562,64,0.1138790035587189
2021-12-14 00:00:00,575,65,0.1130434782608696
2021-12-13 00:00:00,723,89,0.1230982019363762
2021-12-12 00:00:00,162,24,0.1481481481481482
2021-12-11 00:00:00,202,22,0.1089108910891089
2021-12-10 00:00:00,659,73,0.1107738998482549
2021-12-09 00:00:00,868,62,0.0714285714285714
2021-12-08 00:00:00,1004,116,0.1155378486055777
2021-12-07 00:00:00,721,87,0.1206657420249653
2021-12-06 00:00:00,1040,102,0.0980769230769231
2021-12-05 00:00:00,183,27,0.1475409836065574
2021-12-04 00:00:00,290,47,0.1620689655172414
2021-12-03 00:00:00,781,87,0.1113956466069142
2021-12-02 00:00:00,740,80,0.1081081081081081
2021-12-01 00:00:00,777,101,0.12998712998713
2021-11-30 00:00:00,856,104,0.1214953271028038
2021-11-29 00:00:00,1048,157,0.1498091603053435
2021-11-28 00:00:00,186,46,0.2473118279569893
2021-11-27 00:00:00,257,52,0.2023346303501946
2021-11-26 00:00:00,486,88,0.1810699588477366
2021-11-25 00:00:00,110,12,0.1090909090909091
2021-11-24 00:00:00,931,112,0.1203007518796993
2021-11-23 00:00:00,898,139,0.1547884187082405
2021-11-22 00:00:00,1230,165,0.1341463414634147
2021-11-21 00:00:00,177,29,0.1638418079096045
2021-11-20 00:00:00,343,50,0.1457725947521866
2021-11-19 00:00:00,747,93,0.1244979919678715
2021-11-18 00:00:00,742,79,0.1064690026954178
2021-11-17 00:00:00,895,110,0.1229050279329609
2021-11-16 00:00:00,831,101,0.121540312876053
2021-11-15 00:00:00,920,138,0.15
2021-11-14 00:00:00,236,41,0.1737288135593221
2021-11-13 00:00:00,239,41,0.1715481171548117
2021-11-12 00:00:00,684,69,0.1008771929824561
2021-11-11 00:00:00,541,69,0.1275415896487985
2021-11-10 00:00:00,1001,100,0.0999000999000999
2021-11-09 00:00:00,734,81,0.1103542234332425
2021-11-08 00:00:00,684,103,0.1505847953216374
2021-11-07 00:00:00,181,25,0.138121546961326
2021-11-06 00:00:00,230,32,0.1391304347826087
2021-11-05 00:00:00,544,74,0.1360294117647059
2021-11-04 00:00:00,520,69,0.1326923076923077
2021-11-03 00:00:00,816,121,0.1482843137254902
2021-11-02 00:00:00,736,96,0.1304347826086957
2021-11-01 00:00:00,650,88,0.1353846153846154
2021-10-31 00:00:00,166,34,0.2048192771084337
