date,Pinal_cume,Pinal
2020-12-01,6,
2020-12-03,7,1
2020-12-09,8,1
2020-12-13,9,1
2020-12-16,13,4
2020-12-17,45,32
2020-12-18,74,29
2020-12-19,90,16
2020-12-20,99,9
2020-12-21,211,112
2020-12-22,405,194
2020-12-23,691,286
2020-12-24,749,58
2020-12-26,993,244
2020-12-27,1042,49
2020-12-28,1439,397
2020-12-29,2004,565
2020-12-30,2775,771
2020-12-31,3310,535
2021-01-01,3477,167
2021-01-02,3928,451
2021-01-03,4075,147
2021-01-04,4632,557
2021-01-05,5246,614
2021-01-06,6025,779
2021-01-07,6759,734
2021-01-08,7629,870
2021-01-09,8464,835
2021-01-10,8539,75
2021-01-11,9058,519
2021-01-12,9832,774
2021-01-13,10836,1004
2021-01-14,11907,1071
2021-01-15,12922,1015
2021-01-16,13916,994
2021-01-17,14092,176
2021-01-18,14720,628
2021-01-19,15765,1045
2021-01-20,17203,1438
2021-01-21,18697,1494
2021-01-22,20261,1564
2021-01-23,22353,2092
2021-01-24,22687,334
2021-01-25,23839,1152
2021-01-26,25101,1262
2021-01-27,26799,1698
2021-01-28,28627,1828
2021-01-29,30436,1809
2021-01-30,32910,2474
2021-01-31,33205,295
2021-02-01,35058,1853
2021-02-02,36992,1934
2021-02-03,39150,2158
2021-02-04,41320,2170
2021-02-05,43921,2601
2021-02-06,46488,2567
2021-02-07,46972,484
2021-02-08,49027,2055
2021-02-09,51346,2319
2021-02-10,54296,2950
2021-02-11,57406,3110
2021-02-12,60989,3583
2021-02-13,64853,3864
2021-02-14,65420,567
2021-02-15,66822,1402
2021-02-16,68796,1974
2021-02-17,71046,2250
2021-02-18,73412,2366
2021-02-19,75296,1884
2021-02-20,77656,2360
2021-02-21,78102,446
2021-02-22,79451,1349
2021-02-23,81348,1897
2021-02-24,84132,2784
2021-02-25,87805,3673
2021-02-26,91628,3823
2021-02-27,95064,3436
2021-02-28,95896,832
2021-03-01,99228,3332
2021-03-02,102710,3482
2021-03-03,106866,4156
2021-03-04,110895,4029
2021-03-05,114345,3450
2021-03-06,117782,3437
2021-03-07,118880,1098
2021-03-08,121837,2957
2021-03-09,125060,3223
2021-03-10,128524,3464
2021-03-11,133145,4621
2021-03-12,137291,4146
2021-03-13,140369,3078
2021-03-14,141452,1083
2021-03-15,144110,2658
2021-03-16,147428,3318
2021-03-17,151044,3616
2021-03-18,154801,3757
2021-03-19,158043,3242
2021-03-20,160089,2046
2021-03-21,161390,1301
2021-03-22,163947,2557
2021-03-23,166946,2999
2021-03-24,170835,3889
2021-03-25,174666,3831
2021-03-26,178966,4300
2021-03-27,180942,1976
2021-03-28,182614,1672
2021-03-29,186011,3397
2021-03-30,189568,3557
2021-03-31,193566,3998
2021-04-01,197785,4219
2021-04-02,200578,2793
2021-04-03,203234,2656
2021-04-04,203997,763
2021-04-05,206739,2742
2021-04-06,209995,3256
2021-04-07,213487,3492
2021-04-08,216736,3249
2021-04-09,219694,2958
2021-04-10,221712,2018
2021-04-11,222729,1017
2021-04-12,225524,2795
2021-04-13,227951,2427
2021-04-14,230681,2730
2021-04-15,233383,2702
2021-04-16,236556,3173
2021-04-17,238012,1456
2021-04-18,239069,1057
2021-04-19,241691,2622
2021-04-20,244734,3043
2021-04-21,248326,3592
2021-04-22,250943,2617
2021-04-23,253058,2115
2021-04-24,254918,1860
2021-04-25,256266,1348
2021-04-26,258502,2236
2021-04-27,260926,2424
2021-04-28,263207,2281
2021-04-29,265040,1833
2021-04-30,266977,1937
2021-05-01,268191,1214
2021-05-02,268915,724
2021-05-03,270431,1516
2021-05-04,272311,1880
2021-05-05,274189,1878
2021-05-06,275662,1473
2021-05-07,277178,1516
2021-05-08,278455,1277
2021-05-09,279003,548
2021-05-10,280289,1286
2021-05-11,281734,1445
2021-05-12,283661,1927
2021-05-13,285438,1777
2021-05-14,287341,1903
2021-05-15,288659,1318
2021-05-16,289481,822
2021-05-17,290952,1471
2021-05-18,292310,1358
2021-05-19,294061,1751
2021-05-20,295624,1563
2021-05-21,297073,1449
2021-05-22,298387,1314
2021-05-23,298851,464
2021-05-24,299909,1058
2021-05-25,301042,1133
2021-05-26,302300,1258
2021-05-27,303444,1144
2021-05-28,304805,1361
2021-05-29,305467,662
2021-05-30,305837,370
2021-05-31,306070,233
2021-06-01,307162,1092
2021-06-02,308189,1027
2021-06-03,309168,979
2021-06-04,310348,1180
2021-06-05,311238,890
2021-06-06,311668,430
2021-06-07,312565,897
2021-06-08,313402,837
2021-06-09,314487,1085
2021-06-10,315434,947
2021-06-11,316600,1166
2021-06-12,317410,810
2021-06-13,317836,426
2021-06-14,318660,824
2021-06-15,319517,857
2021-06-16,320284,767
2021-06-17,321196,912
2021-06-18,322316,1120
2021-06-19,322943,627
2021-06-20,323293,350
2021-06-21,323954,661
2021-06-22,324667,713
2021-06-23,325537,870
2021-06-24,326241,704
2021-06-25,327107,866
2021-06-26,327598,491
2021-06-27,327996,398
2021-06-28,328570,574
2021-06-29,329206,636
2021-06-30,329911,705
2021-07-01,330576,665
2021-07-02,331336,760
2021-07-03,331854,518
2021-07-04,331962,108
2021-07-05,332515,553
2021-07-06,333143,628
2021-07-07,333765,622
2021-07-08,334364,599
2021-07-09,335042,678
2021-07-10,335455,413
2021-07-11,335678,223
2021-07-12,336286,608
2021-07-13,336947,661
2021-07-14,337508,561
2021-07-15,338027,519
2021-07-16,338762,735
2021-07-17,339291,529
2021-07-18,339637,346
2021-07-19,340270,633
2021-07-20,340956,686
2021-07-21,341797,841
2021-07-22,342531,734
2021-07-23,343481,950
2021-07-24,344161,680
2021-07-25,344638,477
2021-07-26,345393,755
2021-07-27,346132,739
2021-07-28,347024,892
2021-07-29,347804,780
2021-07-30,348892,1088
2021-07-31,349630,738
2021-08-01,350099,469
2021-08-02,350844,745
2021-08-03,351598,754
2021-08-04,352441,843
2021-08-05,353242,801
2021-08-06,354387,1145
2021-08-07,355116,729
2021-08-08,355550,434
2021-08-09,356388,838
2021-08-10,357160,772
2021-08-11,357937,777
2021-08-12,358786,849
2021-08-13,359924,1138
2021-08-14,360785,861
2021-08-15,361274,489
2021-08-16,362305,1031
2021-08-17,363251,946
2021-08-18,364380,1129
2021-08-19,365253,873
2021-08-20,366487,1234
2021-08-21,367301,814
2021-08-22,367844,543
2021-08-23,368959,1115
2021-08-24,369864,905
2021-08-25,370856,992
2021-08-26,371623,767
2021-08-27,372800,1177
2021-08-28,373625,825
2021-08-29,374112,487
2021-08-30,375049,937
2021-08-31,375870,821
2021-09-01,376773,903
2021-09-02,377537,764
2021-09-03,378723,1186
2021-09-04,379355,632
2021-09-05,379744,389
2021-09-06,379934,190
2021-09-07,380763,829
2021-09-08,381544,781
2021-09-09,382257,713
2021-09-10,383402,1145
2021-09-11,384165,763
2021-09-12,384563,398
2021-09-13,385408,845
2021-09-14,386178,770
2021-09-15,387008,830
2021-09-16,387728,720
2021-09-17,388728,1000
2021-09-18,389411,683
2021-09-19,389746,335
2021-09-20,390407,661
2021-09-21,391028,621
2021-09-22,391693,665
2021-09-23,392332,639
2021-09-24,393356,1024
2021-09-25,394080,724
2021-09-26,394470,390
2021-09-27,395375,905
2021-09-28,396296,921
2021-09-29,397265,969
2021-09-30,398153,888
2021-10-01,399211,1058
2021-10-02,399848,637
2021-10-03,400228,380
2021-10-04,401112,884
2021-10-05,401951,839
2021-10-06,402829,878
2021-10-07,403789,960
2021-10-08,404786,997
2021-10-09,405409,623
2021-10-10,405739,330
2021-10-11,406609,870
2021-10-12,407296,687
2021-10-13,407945,649
2021-10-14,408659,714
2021-10-15,409497,838
2021-10-16,409978,481
2021-10-17,410289,311
2021-10-18,410967,678
2021-10-19,411578,611
2021-10-20,412203,625
2021-10-21,412903,700
2021-10-22,414501,1598
2021-10-23,415689,1188
2021-10-24,416301,612
2021-10-25,417986,1685
2021-10-26,419563,1577
2021-10-27,421234,1671
2021-10-28,422951,1717
2021-10-29,424791,1840
2021-10-30,425561,770
2021-10-31,426104,543
2021-11-01,427870,1766
2021-11-02,429469,1599
2021-11-03,431126,1657
2021-11-04,432775,1649
2021-11-05,434845,2070
2021-11-06,436362,1517
2021-11-07,436871,509
2021-11-08,438589,1718
2021-11-09,440218,1629
2021-11-10,441948,1730
2021-11-11,443370,1422
2021-11-12,445243,1873
2021-11-13,446784,1541
2021-11-14,447263,479
2021-11-15,448770,1507
2021-11-16,450196,1426
2021-11-17,451885,1689
2021-11-18,453597,1712
2021-11-19,455452,1855
2021-11-20,456732,1280
2021-11-21,457206,474
2021-11-22,458881,1675
2021-11-23,460702,1821
2021-11-24,462211,1509
2021-11-25,462221,10
2021-11-26,463242,1021
2021-11-27,463876,634
2021-11-28,464291,415
2021-11-29,465825,1534
2021-11-30,467531,1706
2021-12-01,469380,1849
2021-12-02,471306,1926
2021-12-03,473322,2016
2021-12-04,474161,839
2021-12-05,474666,505
2021-12-06,476474,1808
2021-12-07,478519,2045
2021-12-08,480529,2010
2021-12-09,482479,1950
2021-12-10,484527,2048
2021-12-11,485732,1205
2021-12-12,486195,463
2021-12-13,487571,1376
2021-12-14,489009,1438
2021-12-15,490621,1612
2021-12-16,492366,1745
2021-12-17,493841,1475
2021-12-18,494651,810
2021-12-19,495135,484
2021-12-20,496706,1571
2021-12-21,498241,1535
2021-12-22,499887,1646
2021-12-23,501211,1324
2021-12-24,501632,421
2021-12-25,501640,8
2021-12-26,502017,377
2021-12-27,503196,1179
2021-12-28,504570,1374
2021-12-29,505883,1313
2021-12-30,507235,1352
2021-12-31,507812,577
2022-01-01,507927,115
2022-01-02,508358,431
2022-01-03,509480,1122
2022-01-04,510743,1263
2022-01-05,512081,1338
2022-01-06,513496,1415
2022-01-07,515331,1835
2022-01-08,516283,952
2022-01-09,516680,397
2022-01-10,517906,1226
2022-01-11,519123,1217
2022-01-12,520613,1490
2022-01-13,522432,1819
2022-01-14,523844,1412
2022-01-15,524583,739
2022-01-16,524913,330
2022-01-17,525696,783
2022-01-18,526733,1037
2022-01-19,527679,946
2022-01-20,528649,970
2022-01-21,529694,1045
2022-01-22,530251,557
2022-01-23,530566,315
2022-01-24,531566,1000
2022-01-25,532521,955
2022-01-26,533453,932
2022-01-27,534414,961
2022-01-28,535375,961
2022-01-29,535986,611
2022-01-30,536288,302
2022-01-31,537004,716
2022-02-01,537650,646
2022-02-02,538371,721
2022-02-03,539222,851
2022-02-04,540148,926
2022-02-05,540627,479
2022-02-06,540830,203
2022-02-07,541478,648
2022-02-08,542007,529
2022-02-09,542613,606
2022-02-10,543485,872
2022-02-11,544231,746
2022-02-12,544625,394
2022-02-13,544763,138
2022-02-14,545118,355
2022-02-15,545506,388
2022-02-16,545970,464
2022-02-17,546481,511
2022-02-18,547138,657
2022-02-19,547438,300
2022-02-20,547640,202
2022-02-21,548014,374
2022-02-22,548321,307
2022-02-23,548676,355
2022-02-24,548971,295
2022-02-25,549150,179
