Category,value
tests,10117665
YUMA,250274
YAVAPAI,216253
SANTA CRUZ,60649
PINAL,628141
PIMA,1700261
NAVAJO,118477
MOHAVE,205356
MARICOPA,6018362
LA PAZ,18041
GREENLEE,2981
GRAHAM,23042
GILA,65466
COCONINO,267703
COCHISE,111768
APACHE,53824
Unknown,18280
65 years and older,1553824
55 - 64 years,1283471
45 - 54 years,1363678
20 - 44 years,4369949
Less than 20 years,1528463
positive,0.0978623032092879
