date,Arizona_cume,Arizona
2020-12-01 00:00:00,72,
2020-12-02 00:00:00,85,13
2020-12-03 00:00:00,95,10
2020-12-04 00:00:00,99,4
2020-12-05 00:00:00,101,2
2020-12-06 00:00:00,103,2
2020-12-07 00:00:00,110,7
2020-12-08 00:00:00,114,4
2020-12-09 00:00:00,121,7
2020-12-10 00:00:00,131,10
2020-12-11 00:00:00,141,10
2020-12-12 00:00:00,148,7
2020-12-13 00:00:00,152,4
2020-12-14 00:00:00,163,11
2020-12-15 00:00:00,207,44
2020-12-16 00:00:00,781,574
2020-12-17 00:00:00,3926,3145
2020-12-18 00:00:00,7562,3636
2020-12-19 00:00:00,10119,2557
2020-12-20 00:00:00,11139,1020
2020-12-21 00:00:00,16647,5508
2020-12-22 00:00:00,24429,7782
2020-12-23 00:00:00,34143,9714
2020-12-24 00:00:00,37988,3845
2020-12-25 00:00:00,38127,139
2020-12-26 00:00:00,44647,6520
2020-12-27 00:00:00,47298,2651
2020-12-28 00:00:00,56685,9387
2020-12-29 00:00:00,69573,12888
2020-12-30 00:00:00,84410,14837
2020-12-31 00:00:00,92217,7807
2021-01-01 00:00:00,93223,1006
2021-01-02 00:00:00,100794,7571
2021-01-03 00:00:00,104003,3209
2021-01-04 00:00:00,112677,8674
2021-01-05 00:00:00,121614,8937
2021-01-06 00:00:00,133509,11895
2021-01-07 00:00:00,146099,12590
2021-01-08 00:00:00,158106,12007
2021-01-09 00:00:00,166046,7940
2021-01-10 00:00:00,169276,3230
2021-01-11 00:00:00,185032,15756
2021-01-12 00:00:00,208211,23179
2021-01-13 00:00:00,233465,25254
2021-01-14 00:00:00,258168,24703
2021-01-15 00:00:00,283151,24983
2021-01-16 00:00:00,298909,15758
2021-01-17 00:00:00,308243,9334
2021-01-18 00:00:00,327276,19033
2021-01-19 00:00:00,354322,27046
2021-01-20 00:00:00,386314,31992
2021-01-21 00:00:00,421362,35048
2021-01-22 00:00:00,459322,37960
2021-01-23 00:00:00,488060,28738
2021-01-24 00:00:00,504263,16203
2021-01-25 00:00:00,533750,29487
2021-01-26 00:00:00,570501,36751
2021-01-27 00:00:00,610369,39868
2021-01-28 00:00:00,650284,39915
2021-01-29 00:00:00,690198,39914
2021-01-30 00:00:00,716521,26323
2021-01-31 00:00:00,728125,11604
2021-02-01 00:00:00,758779,30654
2021-02-02 00:00:00,797550,38771
2021-02-03 00:00:00,841394,43844
2021-02-04 00:00:00,888155,46761
2021-02-05 00:00:00,932100,43945
2021-02-06 00:00:00,970363,38263
2021-02-07 00:00:00,986726,16363
2021-02-08 00:00:00,1025636,38910
2021-02-09 00:00:00,1070014,44378
2021-02-10 00:00:00,1120718,50704
2021-02-11 00:00:00,1172338,51620
2021-02-12 00:00:00,1234225,61887
2021-02-13 00:00:00,1279896,45671
2021-02-14 00:00:00,1297296,17400
2021-02-15 00:00:00,1328765,31469
