date,pcr_tests_MOHAVE,pcr_positivity_MOHAVE,ser_tests_MOHAVE,ser_positivity_MOHAVE
2020-05-31 00:00:00,28,0.1785714285714286,1.0,0
2020-05-30 00:00:00,35,0.0857142857142857,,
2020-05-29 00:00:00,99,0.0909090909090909,63.0,0
2020-05-28 00:00:00,105,0.1428571428571429,47.0,0
2020-05-27 00:00:00,86,0.1279069767441861,52.0,0
2020-05-26 00:00:00,100,0.17,60.0,0
2020-05-25 00:00:00,46,0.108695652173913,1.0,0
2020-05-24 00:00:00,34,0.1176470588235294,1.0,0
2020-05-23 00:00:00,194,0.0154639175257732,3.0,0
2020-05-22 00:00:00,277,0.0830324909747292,90.0,0.0333333333333333
2020-05-21 00:00:00,92,0.0978260869565217,77.0,0
2020-05-20 00:00:00,50,0.1,93.0,0.021505376344086
2020-05-19 00:00:00,65,0.0461538461538462,77.0,0.038961038961039
2020-05-18 00:00:00,60,0,108.0,0.0462962962962963
2020-05-17 00:00:00,36,0,,
2020-05-16 00:00:00,344,0.0087209302325581,1.0,0
2020-05-15 00:00:00,144,0.0555555555555556,113.0,0.0265486725663717
2020-05-14 00:00:00,81,0.0246913580246914,97.0,0.0515463917525773
2020-05-13 00:00:00,93,0.021505376344086,95.0,0.0315789473684211
2020-05-12 00:00:00,105,0.0476190476190476,57.0,0
2020-05-11 00:00:00,94,0.0638297872340426,72.0,0.0416666666666667
2020-05-10 00:00:00,22,0.0454545454545455,,
2020-05-09 00:00:00,473,0.0063424947145877,13.0,0.2307692307692308
2020-05-08 00:00:00,97,0.0824742268041237,50.0,0.02
2020-05-07 00:00:00,71,0.0985915492957746,41.0,0
2020-05-06 00:00:00,66,0.0606060606060606,67.0,0.0447761194029851
2020-05-05 00:00:00,66,0.0606060606060606,24.0,0
2020-05-04 00:00:00,74,0.0945945945945946,23.0,0
2020-05-03 00:00:00,28,0,1.0,0
2020-05-02 00:00:00,234,0.0213675213675214,2.0,0
2020-05-01 00:00:00,78,0.0641025641025641,32.0,0.03125
2020-04-30 00:00:00,26,0.0769230769230769,29.0,0
2020-04-29 00:00:00,26,0.1153846153846154,23.0,0.0434782608695652
2020-04-28 00:00:00,31,0.1612903225806452,36.0,0.0277777777777778
2020-04-27 00:00:00,24,0,8.0,0
2020-04-26 00:00:00,6,0,,
2020-04-25 00:00:00,2,0,,
2020-04-24 00:00:00,48,0.1041666666666667,2.0,0
2020-04-23 00:00:00,20,0,,
2020-04-22 00:00:00,22,0,,
2020-04-21 00:00:00,33,0.1212121212121212,,
2020-04-20 00:00:00,40,0.225,1.0,0
2020-04-19 00:00:00,9,0,,
2020-04-18 00:00:00,20,0.05,1.0,0
2020-04-17 00:00:00,41,0.024390243902439,,
2020-04-16 00:00:00,29,0.103448275862069,,
2020-04-15 00:00:00,31,0,,
2020-04-14 00:00:00,20,0.05,,
2020-04-13 00:00:00,37,0.1621621621621622,,
2020-04-12 00:00:00,13,0,,
2020-04-11 00:00:00,14,0,,
2020-04-10 00:00:00,32,0.15625,,
2020-04-09 00:00:00,30,0.2333333333333334,,
2020-04-08 00:00:00,26,0,,
2020-04-07 00:00:00,36,0.0833333333333333,,
2020-04-06 00:00:00,35,0.0857142857142857,,
2020-04-05 00:00:00,15,0,,
2020-04-04 00:00:00,12,0.0833333333333333,,
2020-04-03 00:00:00,45,0.0666666666666667,,
2020-04-02 00:00:00,41,0.024390243902439,,
2020-04-01 00:00:00,39,0,,
2020-03-31 00:00:00,47,0.0425531914893617,,
2020-03-30 00:00:00,33,0.0909090909090909,,
2020-03-29 00:00:00,14,0,,
2020-03-28 00:00:00,13,0.0769230769230769,,
2020-03-27 00:00:00,43,0.0465116279069767,,
2020-03-26 00:00:00,41,0.0731707317073171,,
2020-03-25 00:00:00,31,0,,
2020-03-24 00:00:00,47,0.0212765957446809,,
2020-03-23 00:00:00,41,0.0975609756097561,,
2020-03-22 00:00:00,35,0,,
2020-03-21 00:00:00,3,0,,
