Category,value
Apache,537
Cochise,454
Coconino,408
Gila,300
Graham,153
Greenlee,27
La Paz,105
Maricopa,"13,492"
Mohave,"1,151"
Navajo,735
Pima,"3,099"
Pinal,"1,282"
Santa Cruz,204
Yavapai,929
Yuma,965
Female,9862
Male,13966
20-44y,1297
45-54y,1856
55-64y,3761
65+,16875
<20y,52
"White, non-Hispanic",12317
Hispanic or Latino,6529
"American Indian or Alaska Native, non-Hispanic",1763
"Black or African American, non-Hispanic",726
"Asian or Pacific Islander, non-Hispanic",295
Other Race,665
Unknown,1546
