date,pcr_tests_YAVAPAI,pcr_positivity_YAVAPAI,ser_tests_YAVAPAI,ser_positivity_YAVAPAI
2020-08-12 00:00:00,40,0.1,1.0,0
2020-08-11 00:00:00,160,0.0875,40.0,0.075
2020-08-10 00:00:00,189,0.1111111111111111,23.0,0.1304347826086957
2020-08-09 00:00:00,76,0.0657894736842105,2.0,0
2020-08-08 00:00:00,315,0.0380952380952381,,
2020-08-07 00:00:00,226,0.0575221238938053,28.0,0.1428571428571429
2020-08-06 00:00:00,236,0.0932203389830509,35.0,0.1714285714285714
2020-08-05 00:00:00,264,0.053030303030303,29.0,0.1379310344827586
2020-08-04 00:00:00,225,0.0533333333333333,27.0,0.1111111111111111
2020-08-03 00:00:00,241,0.0705394190871369,64.0,0.03125
2020-08-02 00:00:00,87,0.0804597701149425,3.0,0.6666666666666666
2020-08-01 00:00:00,280,0.0357142857142857,3.0,0.3333333333333333
2020-07-31 00:00:00,258,0.0775193798449612,40.0,0.1
2020-07-30 00:00:00,299,0.0668896321070234,73.0,0.0273972602739726
2020-07-29 00:00:00,283,0.1024734982332156,85.0,0.0470588235294118
2020-07-28 00:00:00,228,0.0350877192982456,40.0,0.05
2020-07-27 00:00:00,276,0.0652173913043478,39.0,0.0256410256410256
2020-07-26 00:00:00,84,0.0595238095238095,5.0,0
2020-07-25 00:00:00,115,0.0956521739130435,3.0,0
2020-07-24 00:00:00,264,0.0946969696969697,37.0,0.1081081081081081
2020-07-23 00:00:00,259,0.0501930501930502,33.0,0.0909090909090909
2020-07-22 00:00:00,291,0.0618556701030928,30.0,0.0666666666666667
2020-07-21 00:00:00,306,0.0816993464052288,29.0,0.0344827586206897
2020-07-20 00:00:00,314,0.0668789808917198,34.0,0.1176470588235294
2020-07-19 00:00:00,81,0.0617283950617284,1.0,0
2020-07-18 00:00:00,121,0.0661157024793389,14.0,0.1428571428571429
2020-07-17 00:00:00,334,0.0838323353293413,31.0,0.032258064516129
2020-07-16 00:00:00,298,0.0973154362416107,31.0,0.032258064516129
2020-07-15 00:00:00,358,0.0837988826815642,28.0,0.1071428571428571
2020-07-14 00:00:00,299,0.1003344481605351,33.0,0.0303030303030303
2020-07-13 00:00:00,320,0.1,44.0,0.0227272727272727
2020-07-12 00:00:00,105,0.1142857142857143,3.0,0
2020-07-11 00:00:00,131,0.1297709923664122,2.0,0
2020-07-10 00:00:00,352,0.1079545454545455,47.0,0.0851063829787234
2020-07-09 00:00:00,425,0.0658823529411765,46.0,0.0434782608695652
2020-07-08 00:00:00,431,0.0626450116009281,51.0,0.0392156862745098
2020-07-07 00:00:00,575,0.111304347826087,48.0,0.0208333333333333
2020-07-06 00:00:00,456,0.0789473684210526,39.0,0.0512820512820513
2020-07-05 00:00:00,95,0.1157894736842105,1.0,0
2020-07-04 00:00:00,76,0.0789473684210526,3.0,0
2020-07-03 00:00:00,235,0.0851063829787234,5.0,0.2
2020-07-02 00:00:00,470,0.0808510638297872,40.0,0.05
2020-07-01 00:00:00,414,0.1111111111111111,54.0,0.037037037037037
2020-06-30 00:00:00,439,0.0979498861047836,60.0,0
2020-06-29 00:00:00,419,0.1360381861575179,35.0,0.0285714285714286
2020-06-28 00:00:00,116,0.103448275862069,3.0,0
2020-06-27 00:00:00,197,0.1116751269035533,4.0,0
2020-06-26 00:00:00,398,0.0804020100502513,98.0,0.0306122448979592
2020-06-25 00:00:00,353,0.0708215297450425,53.0,0.0188679245283019
2020-06-24 00:00:00,283,0.1130742049469965,41.0,0
2020-06-23 00:00:00,386,0.0569948186528497,37.0,0.027027027027027
2020-06-22 00:00:00,452,0.081858407079646,44.0,0.0227272727272727
2020-06-21 00:00:00,100,0.08,3.0,0
2020-06-20 00:00:00,188,0.1648936170212766,9.0,0.1111111111111111
2020-06-19 00:00:00,349,0.0744985673352436,121.0,0.0082644628099174
2020-06-18 00:00:00,241,0.0871369294605809,42.0,0
2020-06-17 00:00:00,183,0.1038251366120219,50.0,0
2020-06-16 00:00:00,317,0.0725552050473186,100.0,0.02
2020-06-15 00:00:00,265,0.0490566037735849,43.0,0
2020-06-14 00:00:00,66,0.0151515151515152,7.0,0
2020-06-13 00:00:00,102,0.0196078431372549,4.0,0
2020-06-12 00:00:00,256,0.015625,92.0,0.0217391304347826
2020-06-11 00:00:00,234,0.0299145299145299,37.0,0.027027027027027
2020-06-10 00:00:00,184,0.0434782608695652,44.0,0
2020-06-09 00:00:00,285,0.0210526315789474,85.0,0
2020-06-08 00:00:00,288,0.0416666666666667,38.0,0.0263157894736842
2020-06-07 00:00:00,56,0.0714285714285714,3.0,0
2020-06-06 00:00:00,55,0.0181818181818182,2.0,0
2020-06-05 00:00:00,289,0.0311418685121107,114.0,0.0087719298245614
2020-06-04 00:00:00,185,0.0216216216216216,40.0,0.05
2020-06-03 00:00:00,129,0.0077519379844961,67.0,0.0149253731343284
2020-06-02 00:00:00,210,0.0190476190476191,88.0,0
2020-06-01 00:00:00,252,0.0119047619047619,202.0,0.0247524752475248
2020-05-31 00:00:00,42,0,2.0,0
2020-05-30 00:00:00,335,0.0059701492537313,1.0,0
2020-05-29 00:00:00,205,0.0097560975609756,39.0,0.0256410256410256
2020-05-28 00:00:00,150,0.0133333333333333,52.0,0.0192307692307692
2020-05-27 00:00:00,162,0.0185185185185185,93.0,0.010752688172043
2020-05-26 00:00:00,249,0.0040160642570281,103.0,0
2020-05-25 00:00:00,46,0,3.0,0
2020-05-24 00:00:00,193,0,8.0,0
2020-05-23 00:00:00,183,0.0109289617486339,38.0,0.0526315789473684
