date,pcr_tests_COCONINO,pcr_positivity_COCONINO,ser_tests_COCONINO,ser_positivity_COCONINO
2020-08-12 00:00:00,11,0.0909090909090909,2.0,0
2020-08-11 00:00:00,69,0.0579710144927536,7.0,0
2020-08-10 00:00:00,260,0.0384615384615385,7.0,0.1428571428571429
2020-08-09 00:00:00,29,0.0344827586206897,1.0,0
2020-08-08 00:00:00,59,0.1186440677966102,4.0,0
2020-08-07 00:00:00,130,0.0846153846153846,10.0,0.1
2020-08-06 00:00:00,100,0.15,11.0,0
2020-08-05 00:00:00,174,0.0402298850574713,3.0,0
2020-08-04 00:00:00,103,0.0485436893203884,21.0,0.0476190476190476
2020-08-03 00:00:00,147,0.0884353741496599,24.0,0.0833333333333333
2020-08-02 00:00:00,35,0.0285714285714286,,
2020-08-01 00:00:00,28,0,,
2020-07-31 00:00:00,122,0.0737704918032787,16.0,0.1875
2020-07-30 00:00:00,199,0.0603015075376884,22.0,0
2020-07-29 00:00:00,164,0.0609756097560976,28.0,0.0714285714285714
2020-07-28 00:00:00,111,0.036036036036036,23.0,0.0434782608695652
2020-07-27 00:00:00,192,0.0677083333333333,17.0,0.0588235294117647
2020-07-26 00:00:00,36,0,2.0,0
2020-07-25 00:00:00,42,0.1904761904761905,3.0,0
2020-07-24 00:00:00,133,0.075187969924812,13.0,0.0769230769230769
2020-07-23 00:00:00,112,0.0803571428571429,19.0,0.1052631578947368
2020-07-22 00:00:00,168,0.0654761904761905,16.0,0
2020-07-21 00:00:00,199,0.1005025125628141,13.0,0.3846153846153847
2020-07-20 00:00:00,191,0.0785340314136126,22.0,0.0454545454545455
2020-07-19 00:00:00,56,0.1607142857142857,,
2020-07-18 00:00:00,42,0.1190476190476191,4.0,0.5
2020-07-17 00:00:00,272,0.0919117647058824,26.0,0.0769230769230769
2020-07-16 00:00:00,187,0.0909090909090909,28.0,0.1785714285714286
2020-07-15 00:00:00,165,0.0909090909090909,25.0,0.04
2020-07-14 00:00:00,187,0.0641711229946524,26.0,0.0384615384615385
2020-07-13 00:00:00,364,0.0906593406593407,32.0,0.0625
2020-07-12 00:00:00,53,0.0943396226415094,,
2020-07-11 00:00:00,63,0.0634920634920635,1.0,1
2020-07-10 00:00:00,312,0.0897435897435898,19.0,0.0526315789473684
2020-07-09 00:00:00,284,0.0915492957746479,15.0,0.1333333333333333
2020-07-08 00:00:00,312,0.108974358974359,17.0,0.1176470588235294
2020-07-07 00:00:00,431,0.1252900232018562,19.0,0.1052631578947368
2020-07-06 00:00:00,577,0.1022530329289428,23.0,0
2020-07-05 00:00:00,84,0.1428571428571429,1.0,1
2020-07-04 00:00:00,31,0.1612903225806452,,
2020-07-03 00:00:00,128,0.046875,1.0,0
2020-07-02 00:00:00,243,0.0864197530864198,25.0,0
2020-07-01 00:00:00,415,0.0650602409638554,30.0,0
2020-06-30 00:00:00,408,0.1225490196078431,27.0,0.037037037037037
2020-06-29 00:00:00,283,0.127208480565371,32.0,0.1875
2020-06-28 00:00:00,67,0.2238805970149254,1.0,0
2020-06-27 00:00:00,80,0.0875,4.0,0.5
2020-06-26 00:00:00,214,0.1308411214953271,37.0,0.027027027027027
2020-06-25 00:00:00,183,0.1530054644808743,38.0,0
2020-06-24 00:00:00,198,0.101010101010101,37.0,0.027027027027027
2020-06-23 00:00:00,245,0.0979591836734694,34.0,0.0294117647058824
2020-06-22 00:00:00,239,0.1548117154811715,48.0,0.0208333333333333
2020-06-21 00:00:00,39,0.1794871794871795,,
2020-06-20 00:00:00,125,0.072,4.0,0.25
2020-06-19 00:00:00,175,0.1028571428571429,44.0,0.0454545454545455
2020-06-18 00:00:00,174,0.1379310344827586,37.0,0.0810810810810811
2020-06-17 00:00:00,167,0.0538922155688623,61.0,0.0163934426229508
2020-06-16 00:00:00,131,0.1068702290076336,53.0,0.0377358490566038
2020-06-15 00:00:00,179,0.0893854748603352,36.0,0.0277777777777778
2020-06-14 00:00:00,28,0.1428571428571429,1.0,0
2020-06-13 00:00:00,39,0.0256410256410256,4.0,0
2020-06-12 00:00:00,131,0.0916030534351145,34.0,0.0588235294117647
2020-06-11 00:00:00,127,0.0551181102362205,112.0,0.0089285714285714
2020-06-10 00:00:00,123,0.0487804878048781,22.0,0
2020-06-09 00:00:00,108,0.0462962962962963,34.0,0.0882352941176471
2020-06-08 00:00:00,125,0.064,34.0,0.0294117647058824
2020-06-07 00:00:00,34,0.0294117647058824,50.0,0.02
2020-06-06 00:00:00,40,0.125,3.0,0
2020-06-05 00:00:00,124,0.0806451612903226,37.0,0
2020-06-04 00:00:00,85,0.0823529411764706,109.0,0.0091743119266055
2020-06-03 00:00:00,99,0.0505050505050505,84.0,0.0238095238095238
