date,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave
1/1/2021,294,380,439,498,359,7
1/10/2021,444,548,650,745,830,11
1/11/2021,461,562,681,783,929,11
1/12/2021,481,585,710,831,1092,11
1/13/2021,499,616,750,879,1260,12
1/14/2021,533,646,798,946,1462,13
1/15/2021,558,690,835,1014,1696,14
1/16/2021,569,707,851,1054,1964,15
1/17/2021,570,710,851,1057,1988,15
1/18/2021,588,727,877,1091,2221,16
1/19/2021,606,744,908,1142,2405,17
1/2/2021,300,390,448,509,372,7
1/20/2021,640,772,932,1208,2681,17
1/21/2021,657,795,959,1249,2855,17
1/22/2021,685,818,987,1294,3098,17
1/23/2021,698,828,996,1313,3697,17
1/24/2021,698,834,1005,1319,4226,17
1/25/2021,704,841,1015,1338,4482,18
1/26/2021,719,848,1023,1364,4839,18
1/27/2021,743,867,1049,1415,5254,19
1/28/2021,762,890,1081,1463,5783,19
1/29/2021,777,899,1095,1493,6161,19
1/3/2021,302,391,457,516,379,7
1/30/2021,782,904,1107,1512,6464,19
1/31/2021,785,905,1114,1524,6939,19
1/4/2021,321,419,488,561,443,8
1/5/2021,336,442,511,588,488,8
1/6/2021,375,476,550,652,560,9
1/7/2021,402,504,595,686,676,11
1/8/2021,433,537,634,728,780,11
1/9/2021,439,546,644,740,798,11
10/1/2021,7421,5978,8314,16553,40883,2917
10/10/2021,7545,6039,8387,16646,40994,2958
10/11/2021,7557,6046,8397,16661,41009,2960
10/12/2021,7576,6057,8408,16671,41023,2964
10/13/2021,7587,6069,8418,16679,41046,2969
10/14/2021,7601,6072,8433,16690,41074,2977
10/15/2021,7634,6089,8448,16700,41096,2994
10/16/2021,7646,6100,8458,16703,41101,3002
10/17/2021,7655,6101,8461,16707,41105,3005
10/18/2021,7684,6110,8476,16721,41121,3007
10/19/2021,7699,6124,8482,16737,41146,3020
10/2/2021,7430,5990,8322,16562,40899,2919
10/20/2021,7708,6133,8491,16744,41165,3022
10/21/2021,7729,6140,8500,16755,41180,3026
10/22/2021,7749,6159,8525,16767,41226,3034
10/23/2021,7757,6164,8530,16775,41271,3038
10/24/2021,7759,6166,8530,16781,41283,3045
10/25/2021,7771,6172,8543,16803,41366,3045
10/26/2021,7787,6179,8549,16813,41424,3049
10/27/2021,7796,6185,8565,16834,41497,3055
10/28/2021,7810,6190,8574,16860,41568,3060
10/29/2021,7829,6196,8582,16890,41615,3068
10/3/2021,7435,5991,8322,16562,40901,2919
10/30/2021,7836,6199,8589,16901,41637,3072
10/31/2021,7840,6200,8595,16905,41647,3072
10/4/2021,7453,5995,8336,16576,40916,2923
10/5/2021,7472,6005,8343,16590,40937,2930
10/6/2021,7496,6015,8346,16609,40952,2932
10/7/2021,7517,6021,8357,16623,40967,2933
10/8/2021,7536,6032,8372,16639,40986,2953
10/9/2021,7544,6037,8380,16645,40992,2957
11/1/2021,7844,6203,8601,16923,41703,3080
11/10/2021,7948,6267,8678,17052,42135,3235
11/11/2021,7972,6281,8700,17073,42214,3257
11/12/2021,7996,6295,8723,17107,42251,3283
11/13/2021,8008,6301,8728,17121,42272,3298
11/14/2021,8015,6305,8732,17126,42295,3304
11/15/2021,8036,6309,8753,17146,42365,3316
11/16/2021,8060,6319,8771,17158,42414,3332
11/17/2021,8081,6334,8786,17187,42477,3346
11/18/2021,8114,6349,8799,17216,42539,3362
11/19/2021,8144,6370,8827,17248,42598,3409
11/2/2021,7853,6209,8612,16936,41750,3082
11/20/2021,8155,6374,8835,17265,42628,3444
11/21/2021,8167,6384,8842,17282,42655,3463
11/22/2021,8195,6395,8851,17310,42706,3473
11/23/2021,8217,6398,8874,17342,42744,3493
11/24/2021,8227,6408,8883,17357,42764,3507
11/25/2021,8227,6409,8883,17357,42764,3507
11/26/2021,8250,6416,8895,17377,42785,3523
11/27/2021,8255,6427,8906,17390,42807,3532
11/28/2021,8266,6433,8910,17404,42822,3540
11/29/2021,8293,6455,8922,17428,42868,3548
11/3/2021,7869,6214,8616,16948,41795,3086
11/30/2021,8314,6462,8929,17445,42910,3558
11/4/2021,7880,6227,8625,16963,41864,3096
11/5/2021,7895,6233,8636,16975,41923,3110
11/6/2021,7903,6242,8646,16989,41949,3175
11/7/2021,7907,6243,8649,16994,41959,3192
11/8/2021,7919,6257,8657,17006,42034,3202
11/9/2021,7939,6262,8669,17032,42087,3213
12/1/2020,,,,,1,
12/1/2021,8327,6470,8939,17459,42939,3567
12/10/2020,,,,,1,
12/11/2020,,,,,1,
12/12/2020,,,,1,1,
12/13/2020,,,,1,1,
12/14/2020,,,,1,1,
12/15/2020,,,,1,1,
12/16/2020,,,1,2,1,
12/17/2020,,,1,2,1,
12/18/2020,,1,1,3,1,
12/19/2020,,1,1,3,1,
12/2/2020,,,,,1,
12/20/2020,,1,1,3,1,
12/21/2020,1,1,5,7,4,
