date,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal
1/1/2021,642,993,932,752,525,5
1/10/2021,1182,1727,1730,1467,2277,15
1/11/2021,1232,1811,1815,1531,2456,19
1/12/2021,1322,1927,1937,1630,2737,19
1/13/2021,1433,2067,2087,1805,3144,22
1/14/2021,1533,2252,2243,1955,3666,23
1/15/2021,1653,2410,2420,2093,4041,25
1/16/2021,1713,2500,2520,2183,4659,28
1/17/2021,1732,2532,2562,2219,4713,28
1/18/2021,1797,2644,2633,2311,4933,29
1/19/2021,1869,2721,2717,2394,5438,32
1/2/2021,724,1113,1057,859,604,6
1/20/2021,1946,2851,2825,2516,6208,37
1/21/2021,2041,2985,2994,2685,6954,41
1/22/2021,2190,3154,3182,2872,7707,43
1/23/2021,2275,3320,3345,3027,8299,46
1/24/2021,2312,3354,3405,3057,8460,48
1/25/2021,2394,3422,3497,3180,9055,50
1/26/2021,2470,3505,3592,3296,9625,51
1/27/2021,2583,3630,3754,3484,10350,53
1/28/2021,2659,3747,3873,3635,11362,54
1/29/2021,2770,3872,4011,3822,12364,63
1/3/2021,752,1160,1102,882,626,6
1/30/2021,2841,3963,4144,3981,13148,66
1/31/2021,2877,3986,4176,4011,13299,68
1/4/2021,816,1260,1195,969,854,7
1/5/2021,912,1368,1285,1065,1086,8
1/6/2021,1025,1493,1419,1186,1352,10
1/7/2021,1087,1583,1535,1286,1687,12
1/8/2021,1139,1668,1670,1419,2120,14
1/9/2021,1172,1711,1715,1456,2256,15
10/1/2021,35768,29791,31414,36888,75040,18376
10/10/2021,36299,30151,31698,37079,75279,18714
10/11/2021,36379,30209,31742,37107,75317,18768
10/12/2021,36406,30234,31766,37122,75337,18788
10/13/2021,36455,30266,31795,37137,75356,18816
10/14/2021,36528,30308,31828,37170,75373,18839
10/15/2021,36604,30351,31865,37204,75405,18879
10/16/2021,36652,30377,31889,37214,75417,18903
10/17/2021,36685,30396,31904,37227,75425,18917
10/18/2021,36752,30443,31940,37258,75456,18935
10/19/2021,36795,30469,31967,37281,75475,18977
10/2/2021,35817,29828,31444,36915,75054,18416
10/20/2021,36839,30501,31999,37309,75504,18997
10/21/2021,36897,30535,32025,37333,75521,19022
10/22/2021,36946,30573,32058,37363,75553,19046
10/23/2021,36980,30595,32066,37368,75559,19059
10/3/2021,35854,29851,31459,36925,75061,18434
10/4/2021,35928,29908,31502,36948,75114,18488
10/5/2021,36003,29954,31528,36977,75152,18534
10/6/2021,36062,30000,31574,37004,75193,18595
10/7/2021,36129,30038,31601,37026,75233,18631
10/8/2021,36206,30092,31643,37057,75252,18664
10/9/2021,36270,30129,31678,37071,75264,18697
12/1/2020,1,1,2,,1,
12/10/2020,1,1,2,,2,
12/11/2020,1,1,2,,2,
12/12/2020,1,1,2,,2,
12/13/2020,1,1,2,,2,
12/14/2020,1,1,2,,2,
12/15/2020,1,1,2,,2,
12/16/2020,2,2,5,,2,
12/17/2020,10,14,16,4,4,
12/18/2020,20,23,24,9,5,
12/19/2020,24,32,29,15,8,
12/2/2020,1,1,2,,1,
12/20/2020,24,37,30,19,9,
12/21/2020,50,84,74,36,21,1
12/22/2020,109,154,131,81,37,1
12/23/2020,169,244,239,157,70,2
12/24/2020,186,264,256,170,73,2
12/25/2020,186,264,256,170,73,2
12/26/2020,242,362,333,227,96,3
12/27/2020,258,391,349,238,98,3
12/28/2020,320,506,479,335,134,3
12/29/2020,426,673,638,474,188,4
12/3/2020,1,1,2,,1,
12/30/2020,562,893,825,654,316,4
12/31/2020,639,988,928,745,491,5
12/4/2020,1,1,2,,1,
12/5/2020,1,1,2,,1,
12/6/2020,1,1,2,,1,
12/7/2020,1,1,2,,1,
12/8/2020,1,1,2,,1,
12/9/2020,1,1,2,,2,
2/1/2021,2956,4091,4272,4116,14134,73
2/10/2021,3669,4894,5182,5392,24445,103
2/11/2021,3739,4960,5264,5532,26194,106
2/12/2021,3841,5069,5403,5724,28218,112
2/13/2021,4040,5308,5669,5953,29695,123
2/14/2021,4069,5349,5718,6010,30043,124
2/15/2021,4117,5392,5767,6096,30830,129
2/16/2021,4192,5461,5815,6172,31843,138
2/17/2021,4274,5517,5871,6265,32882,143
2/18/2021,4347,5576,5928,6326,34009,155
2/19/2021,4417,5645,5997,6399,34640,164
2/2/2021,3028,4184,4391,4271,15061,73
2/20/2021,4558,5738,6084,6473,35139,183
2/21/2021,4570,5751,6096,6494,35417,184
2/22/2021,4603,5791,6121,6551,35833,188
2/23/2021,4642,5830,6172,6616,36432,189
2/24/2021,4697,5895,6229,6688,37439,194
2/25/2021,4783,5989,6322,6870,39083,201
2/26/2021,4869,6077,6418,7043,40881,207
2/27/2021,4917,6111,6464,7122,41422,209
2/28/2021,4929,6123,6489,7173,41784,209
2/3/2021,3141,4333,4519,4413,16094,75
2/4/2021,3219,4432,4632,4536,17129,77
2/5/2021,3374,4586,4808,4728,18193,81
2/6/2021,3431,4665,4899,4886,19568,89
2/7/2021,3449,4671,4914,4915,19929,89
2/8/2021,3504,4722,4988,5048,21236,90
2/9/2021,3557,4792,5072,5228,22689,95
3/1/2021,4981,6182,6575,7373,42903,213
3/10/2021,5631,6840,7461,11909,51635,272
3/11/2021,5800,7078,7659,12923,52841,279
3/12/2021,5947,7166,7838,13633,53693,289
3/13/2021,6032,7254,7927,14076,54077,295
3/14/2021,6073,7291,7995,14440,54290,299
3/15/2021,6178,7371,8153,15213,54863,308
3/16/2021,6305,7512,8366,16060,55734,316
3/17/2021,6530,7694,8642,16967,56642,331
3/18/2021,6721,7882,8915,17840,57649,342
3/19/2021,6986,8153,9254,18604,58368,376
3/2/2021,5036,6239,6677,7585,44192,220
3/20/2021,7113,8286,9480,18948,58756,389
3/21/2021,7220,8424,9658,19246,59010,403
3/22/2021,7489,8729,10006,19802,59549,450
3/23/2021,7831,9067,10453,20428,60175,494
3/24/2021,8208,9445,10971,21043,60749,569
3/25/2021,8623,9811,11441,21484,61274,628
3/26/2021,8995,10180,11867,22139,61792,689
3/27/2021,9276,10475,12200,22396,61971,764
3/28/2021,9553,10711,12466,22614,62155,844
3/29/2021,9962,11051,12892,22908,62471,918
3/3/2021,5127,6323,6789,8058,45920,237
3/30/2021,10332,11383,13318,23184,62760,1005
3/31/2021,10687,11734,13786,23512,63014,1108
3/4/2021,5238,6456,6930,8667,47559,240
3/5/2021,5345,6565,7057,9271,48528,249
3/6/2021,5393,6618,7129,9747,49228,253
3/7/2021,5424,6641,7164,10025,49534,254
3/8/2021,5478,6697,7237,10577,50204,257
3/9/2021,5554,6774,7362,11281,50999,262
4/1/2021,11042,12065,14260,23783,63288,1207
4/10/2021,13859,14588,17299,26071,65675,1929
4/11/2021,14011,14709,17444,26170,65755,2013
4/12/2021,14293,14944,17743,26392,66040,2096
4/13/2021,14569,15164,17994,26673,66326,2173
4/14/2021,14867,15480,18324,26882,66500,2244
4/15/2021,15244,15816,18682,27096,66669,2314
4/16/2021,15561,16143,18930,27258,66810,2373
4/17/2021,15719,16280,19097,27377,66929,2419
4/18/2021,15808,16361,19174,27441,66974,2466
4/19/2021,16012,16512,19367,27608,67174,2530
4/2/2021,11322,12339,14560,23974,63518,1300
4/20/2021,16249,16740,19576,27793,67375,2594
4/21/2021,16537,17010,19906,27968,67534,2669
4/22/2021,16765,17221,20118,28135,67674,2734
4/23/2021,17007,17418,20312,28310,67821,2796
