date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
1/1/2021,11749,12973,12122,9754,5751,108
1/10/2021,20001,19964,18950,15887,11377,220
1/11/2021,21241,21071,20169,16858,13158,253
1/12/2021,23237,23048,22186,18528,17932,333
1/13/2021,25263,25168,24396,20193,23448,400
1/14/2021,27208,27297,26666,22097,29424,441
1/15/2021,29411,29317,28776,23874,34269,503
1/16/2021,30780,30510,30050,25037,37442,536
1/17/2021,31749,31414,31005,26008,40562,563
1/18/2021,32795,32353,32153,27123,45549,591
1/19/2021,34067,33570,33464,28420,51798,656
1/2/2021,13293,14337,13362,10832,6476,129
1/20/2021,35355,34843,35080,29951,58750,699
1/21/2021,36843,36336,36935,31819,66856,750
1/22/2021,39739,38967,39908,34824,74721,844
1/23/2021,42355,41042,42393,37288,79532,921
1/24/2021,43627,42219,43677,38697,84638,965
1/25/2021,44931,43369,45103,40296,92077,1016
1/26/2021,46597,44820,46836,42184,102908,1076
1/27/2021,48088,46132,48343,43833,113266,1111
1/28/2021,49304,47216,49566,45258,124088,1145
1/29/2021,51345,48896,51279,47084,134747,1212
1/3/2021,14034,14919,13867,11273,6710,145
1/30/2021,53088,50302,52876,48648,139732,1274
1/31/2021,53706,50851,53515,49330,143367,1302
1/4/2021,15061,15850,14817,12060,7558,153
1/5/2021,16017,16683,15681,12869,8318,170
1/6/2021,17189,17641,16639,13790,9038,180
1/7/2021,18106,18441,17453,14570,9780,191
1/8/2021,18925,19115,18107,15133,10261,198
1/9/2021,19620,19656,18646,15589,11063,216
10/1/2021,491123,348269,361198,381922,611747,220550
10/10/2021,496508,351097,363442,383648,614096,223266
10/11/2021,497319,351521,363780,383936,614499,223640
10/12/2021,497667,351687,363941,384062,614670,223838
10/13/2021,498237,351979,364213,384265,615004,224086
10/14/2021,498931,352319,364534,384504,615344,224361
10/15/2021,499758,352727,364890,384756,615570,224663
10/16/2021,500297,352932,365079,384901,615685,224863
10/17/2021,500649,353080,365190,384974,615759,225005
10/18/2021,501321,353440,365505,385228,616077,225263
10/19/2021,501899,353771,365728,385428,616327,225533
10/2/2021,491752,348575,361460,382117,611945,220903
10/20/2021,502480,354069,365945,385628,616556,225834
10/21/2021,503069,354383,366195,385805,616784,226067
10/22/2021,503574,354673,366452,385999,617029,226320
10/23/2021,503666,354742,366509,386031,617064,226390
10/3/2021,492056,348714,361565,382209,612055,221054
10/4/2021,492864,349102,361879,382437,612492,221416
10/5/2021,493628,349522,362217,382677,612925,221785
10/6/2021,494391,349930,362537,382905,613249,222172
10/7/2021,494907,350246,362794,383125,613521,222461
10/8/2021,495590,350606,363070,383355,613770,222830
10/9/2021,496165,350910,363295,383526,613944,223116
12/1/2020,36,29,27,14,20,2
12/10/2020,45,35,37,27,39,2
12/11/2020,46,37,37,30,39,2
12/12/2020,47,37,37,32,39,2
12/13/2020,47,38,39,33,40,2
12/14/2020,49,41,39,35,46,2
12/15/2020,54,45,48,44,49,2
12/16/2020,67,57,61,50,53,2
12/17/2020,293,403,369,284,180,5
12/18/2020,681,883,773,547,302,5
12/19/2020,1036,1348,1177,837,428,10
12/2/2020,37,30,27,18,25,2
12/20/2020,1231,1597,1421,1035,515,11
12/21/2020,1934,2435,2186,1590,788,14
12/22/2020,2881,3533,3176,2299,1096,19
12/23/2020,3936,4808,4334,3106,1458,26
12/24/2020,4310,5188,4689,3400,1598,26
12/25/2020,4310,5188,4690,3400,1602,26
12/26/2020,5432,6487,5806,4343,2022,35
12/27/2020,5939,7020,6334,4777,2234,42
12/28/2020,7085,8205,7468,5798,2842,52
12/29/2020,8846,9971,9148,7227,3871,78
12/3/2020,40,30,30,19,27,2
12/30/2020,10706,11943,11112,8873,4861,98
12/31/2020,11646,12873,12017,9629,5238,108
12/4/2020,40,30,30,20,29,2
12/5/2020,40,30,30,20,31,2
12/6/2020,40,30,30,20,31,2
12/7/2020,40,30,34,22,33,2
12/8/2020,42,31,34,23,33,2
12/9/2020,42,31,36,24,37,2
2/1/2021,54544,51616,54316,50309,151833,1341
2/10/2021,63456,59680,63020,60824,242680,1866
2/11/2021,64533,60599,64041,62265,253659,1927
2/12/2021,66329,62062,65582,64247,268853,2028
2/13/2021,68176,63655,67397,66289,278896,2134
2/14/2021,68825,64133,67986,67038,284052,2161
2/15/2021,69490,64759,68653,67944,293598,2207
2/16/2021,70620,65549,69555,69124,303960,2255
2/17/2021,71597,66453,70489,70316,315076,2332
2/18/2021,72445,67176,71272,71386,326016,2367
2/19/2021,73569,68083,72181,72592,335185,2446
2/2/2021,55508,52499,55174,51466,161837,1382
2/20/2021,75269,69473,73559,74175,343221,2548
2/21/2021,75876,70043,74151,74910,348304,2585
2/22/2021,76489,70598,74687,75578,354150,2632
2/23/2021,77611,71469,75711,76839,362378,2701
2/24/2021,78781,72507,76831,78291,372034,2788
2/25/2021,79886,73452,77834,79590,381925,2875
2/26/2021,81415,74742,79132,81337,391188,2972
2/27/2021,82674,75832,80217,82681,397646,3053
2/28/2021,83236,76266,80718,83660,401478,3097
2/3/2021,56336,53291,56008,52451,172246,1436
2/4/2021,57276,54147,57035,53623,183040,1487
2/5/2021,58518,55243,58162,54947,191997,1557
2/6/2021,59774,56305,59305,56179,202621,1636
2/7/2021,60298,56815,59808,56760,208296,1667
2/8/2021,61260,57725,60826,58028,218969,1742
2/9/2021,62350,58726,61883,59395,230862,1813
3/1/2021,83988,76946,81533,84937,406793,3167
3/10/2021,94357,85161,90497,141738,451767,3977
3/11/2021,96460,86850,92282,151783,457988,4118
3/12/2021,98810,88624,94249,160880,463377,4264
3/13/2021,100517,90038,95875,169147,467434,4364
3/14/2021,101778,91134,97039,175448,469925,4442
3/15/2021,103277,92438,98605,183499,473790,4546
3/16/2021,105306,94053,100475,191203,477781,4698
3/17/2021,107932,96375,103090,200022,483041,4890
3/18/2021,110636,98654,105696,207862,487921,5076
3/19/2021,114067,101218,108493,214993,492507,5372
3/2/2021,84814,77696,82345,86875,412819,3221
3/20/2021,116963,103640,111326,220396,496336,5602
3/21/2021,119204,105543,113481,224498,498628,5804
3/22/2021,122459,108402,116627,229003,501776,6133
3/23/2021,126345,111701,120126,233965,504822,6579
3/24/2021,132752,117036,125778,238558,508007,7877
3/25/2021,139950,122741,131889,242732,511169,9200
3/26/2021,146374,127862,137328,246518,513409,10510
