date,Pinal_cume,Pinal
1/1/2021,1,
1/10/2021,2,1
1/11/2021,4,2
1/12/2021,10,6
1/13/2021,14,4
1/14/2021,15,1
1/15/2021,16,1
1/16/2021,45,29
1/17/2021,142,97
1/18/2021,376,234
1/19/2021,413,37
1/2/2021,574,161
1/20/2021,575,1
1/21/2021,920,345
1/22/2021,1459,539
1/23/2021,2198,739
1/24/2021,2871,673
1/25/2021,2892,21
1/26/2021,3191,299
1/27/2021,3221,30
1/28/2021,3791,570
1/29/2021,4489,698
1/3/2021,5184,695
1/30/2021,6068,884
1/31/2021,7024,956
1/4/2021,7999,975
1/5/2021,8021,22
1/6/2021,8470,449
1/7/2021,9089,619
1/8/2021,9892,803
1/9/2021,10875,983
12/1/2020,11777,902
12/16/2020,12850,1073
12/17/2020,12910,60
12/18/2020,13515,605
12/19/2020,14326,811
12/20/2020,15623,1297
12/21/2020,16920,1297
12/22/2020,18337,1417
12/23/2020,20295,1958
12/24/2020,20328,33
12/26/2020,21178,850
12/27/2020,22174,996
12/28/2020,23587,1413
12/29/2020,25172,1585
12/30/2020,26799,1627
12/31/2020,29328,2529
12/7/2020,29457,129
2/1/2021,30927,1470
2/10/2021,32576,1649
2/11/2021,34239,1663
2/12/2021,35961,1722
2/13/2021,37873,1912
2/14/2021,40199,2326
2/15/2021,40275,76
2/16/2021,41919,1644
2/17/2021,43447,1528
2/18/2021,45946,2499
2/19/2021,48677,2731
2/2/2021,51817,3140
2/20/2021,55195,3378
2/21/2021,55314,119
2/22/2021,56366,1052
2/23/2021,57925,1559
2/24/2021,59674,1749
2/25/2021,61516,1842
2/26/2021,63004,1488
2/27/2021,64674,1670
2/28/2021,64730,56
2/3/2021,65644,914
2/4/2021,66872,1228
2/5/2021,68717,1845
2/6/2021,71918,3201
2/7/2021,75116,3198
2/8/2021,78205,3089
2/9/2021,78562,357
3/1/2021,81162,2600
3/10/2021,84024,2862
3/11/2021,87597,3573
3/12/2021,91071,3474
3/13/2021,93744,2673
3/14/2021,96857,3113
3/15/2021,97215,358
3/16/2021,99644,2429
3/17/2021,102070,2426
3/18/2021,104901,2831
3/19/2021,108951,4050
3/2/2021,112317,3366
3/20/2021,114978,2661
3/21/2021,115352,374
3/22/2021,117565,2213
3/23/2021,120229,2664
3/24/2021,123148,2919
3/25/2021,126365,3217
3/26/2021,128905,2540
3/27/2021,129608,703
3/28/2021,130203,595
3/29/2021,132326,2123
3/3/2021,134845,2519
3/30/2021,138232,3387
3/31/2021,141527,3295
3/4/2021,145652,4125
3/5/2021,146891,1239
3/6/2021,148092,1201
3/7/2021,151140,3048
3/8/2021,154239,3099
3/9/2021,157874,3635
4/1/2021,161276,3402
4/10/2021,163178,1902
4/11/2021,165518,2340
4/12/2021,166012,494
4/13/2021,168428,2416
4/14/2021,171338,2910
4/15/2021,174806,3468
4/16/2021,177520,2714
4/17/2021,179689,2169
4/18/2021,180945,1256
4/19/2021,181413,468
4/2/2021,183794,2381
4/20/2021,185844,2050
4/21/2021,188614,2770
4/22/2021,191403,2789
4/23/2021,194491,3088
4/24/2021,195515,1024
4/25/2021,196219,704
4/26/2021,198448,2229
4/27/2021,201395,2947
4/28/2021,205006,3611
4/29/2021,207388,2382
4/3/2021,209109,1721
4/30/2021,210653,1544
4/4/2021,211765,1112
4/5/2021,213818,2053
4/6/2021,216115,2297
4/7/2021,218519,2404
4/8/2021,220056,1537
4/9/2021,221561,1505
5/1/2021,222260,699
5/10/2021,222745,485
5/11/2021,224140,1395
5/12/2021,225950,1810
5/13/2021,228099,2149
5/14/2021,229912,1813
5/15/2021,231372,1460
5/16/2021,232593,1221
5/17/2021,233071,478
5/18/2021,234333,1262
5/19/2021,235729,1396
5/2/2021,238423,2694
5/20/2021,240148,1725
5/21/2021,242238,2090
5/22/2021,243262,1024
5/23/2021,243877,615
5/24/2021,245509,1632
5/25/2021,247087,1578
5/26/2021,248810,1723
5/27/2021,250596,1786
5/28/2021,251803,1207
5/29/2021,252668,865
5/3/2021,253071,403
5/30/2021,254015,944
5/31/2021,255159,1144
5/4/2021,256446,1287
5/5/2021,257496,1050
5/6/2021,258711,1215
5/7/2021,259245,534
5/8/2021,259629,384
