date,20-34_Gila,35-44_Gila,45-54_Gila,55-64_Gila,65+_Gila,<20_Gila
1/1/2021,161,149,168,207,196,6
1/10/2021,312,341,413,530,1013,16
1/11/2021,327,358,430,563,1089,16
1/12/2021,335,363,439,578,1123,16
1/13/2021,340,370,448,585,1159,16
1/14/2021,350,386,467,615,1304,16
1/15/2021,406,432,508,670,1339,23
1/16/2021,406,433,509,671,1341,23
1/17/2021,406,433,509,671,1344,23
1/18/2021,409,441,515,694,1411,23
1/19/2021,420,443,522,705,1462,24
1/2/2021,177,166,193,243,295,9
1/20/2021,430,453,543,737,1564,25
1/21/2021,445,465,553,771,1772,25
1/22/2021,461,473,559,783,1835,26
1/23/2021,465,478,561,789,1948,26
1/24/2021,465,478,562,790,1957,26
1/25/2021,480,486,573,809,2022,26
1/26/2021,486,489,573,811,2036,26
1/27/2021,499,506,583,821,2209,30
1/28/2021,520,531,617,877,2454,30
1/29/2021,545,550,647,912,2567,34
1/3/2021,178,166,193,245,295,9
1/30/2021,576,562,658,928,2687,43
1/31/2021,576,562,658,929,2691,43
1/4/2021,192,185,223,284,343,9
1/5/2021,214,219,279,346,476,10
1/6/2021,226,246,317,402,611,12
1/7/2021,274,310,359,465,818,15
1/8/2021,307,340,406,528,994,16
1/9/2021,312,341,413,530,1013,16
12/17/2020,20,17,14,13,3,1
12/18/2020,33,29,19,18,8,1
12/19/2020,33,29,19,20,8,1
12/20/2020,33,30,19,20,8,1
12/21/2020,39,41,26,29,11,1
12/22/2020,42,45,31,35,15,1
12/23/2020,54,56,37,50,25,1
12/24/2020,69,70,50,70,32,1
12/25/2020,69,70,50,70,32,1
12/26/2020,74,76,56,78,35,1
12/27/2020,74,76,57,78,35,1
12/28/2020,93,96,84,108,69,5
12/29/2020,119,106,112,137,95,5
12/30/2020,147,130,140,167,140,6
12/31/2020,161,149,167,206,196,6
2/1/2021,595,576,675,952,2830,44
2/10/2021,722,668,834,1306,5146,59
2/11/2021,726,673,837,1322,5244,59
2/12/2021,742,680,845,1330,5318,66
2/13/2021,780,702,892,1418,5907,69
2/14/2021,817,742,945,1513,6116,74
2/15/2021,824,744,950,1528,6155,74
2/16/2021,837,751,962,1561,6407,76
2/17/2021,861,767,995,1608,6512,81
2/18/2021,889,784,1000,1620,6537,87
2/19/2021,891,785,1002,1623,6561,90
2/2/2021,612,592,705,1001,3120,44
2/20/2021,898,791,1002,1626,6575,100
2/21/2021,898,791,1002,1626,6578,100
2/22/2021,902,795,1007,1629,6592,102
2/23/2021,932,811,1030,1687,6673,112
2/24/2021,945,819,1045,1721,6747,115
2/25/2021,956,829,1051,1730,6773,118
2/26/2021,958,831,1058,1732,6796,118
2/27/2021,1010,903,1166,2072,7835,124
2/28/2021,1071,938,1270,2353,8203,128
2/3/2021,630,599,732,1066,3444,46
2/4/2021,645,612,745,1115,3939,49
2/5/2021,658,622,769,1168,4282,54
2/6/2021,677,632,789,1199,4469,56
2/7/2021,677,633,789,1201,4483,56
2/8/2021,693,643,798,1223,4624,57
2/9/2021,713,663,825,1268,4865,58
3/1/2021,1077,948,1283,2372,8268,131
3/10/2021,1180,1015,1398,2697,8730,143
3/11/2021,1201,1030,1417,2735,8790,147
3/12/2021,1216,1036,1423,2754,8831,150
3/13/2021,1232,1054,1464,2875,9003,157
3/14/2021,1235,1057,1470,2880,9018,157
3/15/2021,1237,1060,1476,2895,9052,159
3/16/2021,1263,1070,1500,2944,9120,162
3/17/2021,1270,1078,1514,2969,9146,166
3/18/2021,1274,1086,1523,2985,9172,167
3/19/2021,1281,1091,1528,3000,9188,168
3/2/2021,1094,957,1308,2416,8321,132
3/20/2021,1296,1111,1560,3084,9337,170
3/21/2021,1296,1111,1560,3087,9339,170
3/22/2021,1310,1121,1575,3137,9389,170
3/23/2021,1330,1131,1594,3165,9436,173
3/24/2021,1335,1135,1601,3186,9470,173
3/25/2021,1347,1139,1609,3208,9491,178
3/26/2021,1357,1144,1617,3216,9510,179
3/27/2021,1381,1156,1631,3256,9577,191
3/28/2021,1382,1158,1636,3264,9583,191
3/29/2021,1395,1165,1651,3286,9619,195
3/3/2021,1105,965,1317,2438,8387,135
3/30/2021,1407,1177,1665,3305,9652,199
3/31/2021,1414,1181,1679,3346,9687,200
3/4/2021,1117,984,1343,2568,8528,137
3/5/2021,1122,987,1345,2573,8556,137
3/6/2021,1123,989,1351,2581,8600,137
3/7/2021,1123,989,1351,2582,8601,137
3/8/2021,1130,993,1354,2591,8615,139
3/9/2021,1153,1002,1376,2637,8669,141
4/1/2021,1435,1197,1708,3403,9781,207
4/10/2021,1587,1291,1840,3662,10158,244
4/11/2021,1588,1294,1842,3666,10161,244
4/12/2021,1602,1306,1855,3694,10181,244
4/13/2021,1606,1314,1861,3718,10208,247
4/14/2021,1614,1318,1862,3724,10226,248
4/15/2021,1625,1326,1864,3732,10239,250
4/16/2021,1635,1330,1874,3739,10245,255
4/17/2021,1639,1331,1881,3751,10270,256
4/18/2021,1639,1331,1882,3754,10274,256
4/19/2021,1644,1335,1886,3767,10284,259
4/2/2021,1444,1209,1719,3423,9801,209
4/20/2021,1656,1340,1896,3784,10316,261
4/21/2021,1665,1349,1902,3794,10326,263
4/22/2021,1685,1357,1907,3801,10341,264
4/23/2021,1704,1364,1910,3812,10355,269
4/24/2021,1709,1365,1911,3812,10355,273
4/25/2021,1711,1366,1912,3816,10357,273
4/26/2021,1721,1368,1917,3826,10363,274
4/27/2021,1727,1372,1926,3836,10381,276
4/28/2021,1736,1385,1935,3846,10398,277
4/29/2021,1747,1390,1941,3854,10412,284
4/3/2021,1447,1210,1722,3423,9804,209
4/30/2021,1752,1391,1945,3866,10422,285
4/4/2021,1447,1210,1724,3425,9804,209
4/5/2021,1458,1219,1728,3445,9830,215
4/6/2021,1499,1238,1777,3559,9982,219
4/7/2021,1542,1261,1800,3582,10011,222
4/8/2021,1567,1273,1814,3619,10049,236
4/9/2021,1579,1281,1824,3634,10072,243
5/1/2021,1756,1394,1946,3867,10422,289
5/10/2021,1813,1422,1984,3920,10521,303
5/11/2021,1817,1425,1985,3922,10533,306
5/12/2021,1823,1427,1986,3928,10552,308
5/13/2021,1825,1428,1990,3938,10562,310
5/14/2021,1841,1441,1999,3954,10580,320
5/15/2021,1845,1445,2000,3960,10585,324
5/16/2021,1853,1445,2003,3963,10585,328
5/17/2021,1858,1446,2012,3971,10596,341
5/18/2021,1869,1455,2022,3994,10621,354
