date,pcr_tests_GRAHAM,pcr_pos_tests_GRAHAM,pcr_positivity_GRAHAM,ser_tests_GRAHAM,ser_pos_tests_GRAHAM,ser_positivity_GRAHAM
2021-04-19 00:00:00,39,1,0.0256410256410256,,,
2021-04-18 00:00:00,15,0,0,,,
2021-04-17 00:00:00,8,1,0.125,,,
2021-04-16 00:00:00,47,0,0,3.0,3.0,1
2021-04-15 00:00:00,246,3,0.0121951219512195,,,
2021-04-14 00:00:00,318,7,0.0220125786163522,,,
2021-04-13 00:00:00,163,4,0.0245398773006135,1.0,1.0,1
2021-04-12 00:00:00,43,2,0.0465116279069767,,,
2021-04-11 00:00:00,4,0,0,,,
2021-04-10 00:00:00,9,0,0,,,
2021-04-09 00:00:00,52,0,0,,,
2021-04-08 00:00:00,32,1,0.03125,,,
2021-04-07 00:00:00,30,1,0.0333333333333333,,,
2021-04-06 00:00:00,72,4,0.0555555555555556,4.0,4.0,1
2021-04-05 00:00:00,22,2,0.0909090909090909,1.0,0.0,0
2021-04-04 00:00:00,5,0,0,,,
2021-04-03 00:00:00,4,0,0,1.0,1.0,1
2021-04-02 00:00:00,26,1,0.0384615384615385,,,
2021-04-01 00:00:00,41,3,0.0731707317073171,3.0,0.0,0
2021-03-31 00:00:00,38,0,0,8.0,2.0,0.25
2021-03-30 00:00:00,84,2,0.0238095238095238,,,
2021-03-29 00:00:00,25,0,0,,,
2021-03-28 00:00:00,1,0,0,4.0,1.0,0.25
2021-03-27 00:00:00,18,0,0,1.0,0.0,0
2021-03-26 00:00:00,28,1,0.0357142857142857,11.0,2.0,0.1818181818181818
2021-03-25 00:00:00,60,1,0.0166666666666667,9.0,6.0,0.6666666666666666
2021-03-24 00:00:00,57,3,0.0526315789473684,24.0,11.0,0.4583333333333334
2021-03-23 00:00:00,125,0,0,14.0,11.0,0.7857142857142858
2021-03-22 00:00:00,34,3,0.0882352941176471,1.0,1.0,1
2021-03-21 00:00:00,12,0,0,,,
2021-03-20 00:00:00,32,0,0,,,
2021-03-19 00:00:00,65,0,0,,,
2021-03-18 00:00:00,110,3,0.0272727272727273,2.0,1.0,0.5
2021-03-17 00:00:00,346,0,0,,,
2021-03-16 00:00:00,211,4,0.018957345971564,3.0,3.0,1
2021-03-15 00:00:00,24,1,0.0416666666666667,6.0,0.0,0
2021-03-14 00:00:00,9,0,0,,,
2021-03-13 00:00:00,4,0,0,,,
2021-03-12 00:00:00,80,1,0.0125,1.0,1.0,1
2021-03-11 00:00:00,81,0,0,,,
2021-03-10 00:00:00,45,0,0,7.0,4.0,0.5714285714285714
2021-03-09 00:00:00,76,1,0.0131578947368421,1.0,0.0,0
2021-03-08 00:00:00,92,7,0.0760869565217391,3.0,0.0,0
2021-03-07 00:00:00,12,1,0.0833333333333333,,,
2021-03-06 00:00:00,15,0,0,,,
2021-03-05 00:00:00,48,1,0.0208333333333333,4.0,2.0,0.5
2021-03-04 00:00:00,59,1,0.0169491525423729,,,
