Category,value
Apache,549
Cochise,477
Coconino,421
Gila,316
Graham,159
Greenlee,30
La Paz,111
Maricopa,"13,952"
Mohave,"1,203"
Navajo,765
Pima,"3,242"
Pinal,"1,348"
Santa Cruz,207
Yavapai,995
Yuma,998
Female,10254
Male,14506
20-44y,1353
45-54y,1939
55-64y,3939
65+,17488
<20y,54
"White, non-Hispanic",12937
Hispanic or Latino,6750
"American Indian or Alaska Native, non-Hispanic",1798
"Black or African American, non-Hispanic",756
"Asian or Pacific Islander, non-Hispanic",303
Other Race,689
Unknown,1540
