date,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai
1/1/2021,311,411,430,647,444,6
1/1/2022,12455,8854,11418,21239,58870,6293
1/10/2021,565,700,798,1122,982,10
1/11/2021,574,708,807,1138,1010,11
1/12/2021,593,732,837,1184,1102,11
1/13/2021,638,780,924,1277,1294,12
1/14/2021,671,825,979,1349,1409,14
1/15/2021,686,836,991,1369,1459,14
1/16/2021,707,868,1035,1415,1606,16
1/17/2021,709,870,1038,1421,1622,17
1/18/2021,716,873,1053,1444,1779,19
1/19/2021,750,925,1107,1522,1935,20
1/2/2021,331,444,453,679,455,6
1/2/2022,12466,8861,11429,21248,58876,6303
1/20/2021,792,973,1174,1613,2220,20
1/21/2021,914,1131,1349,1854,2921,20
1/22/2021,1049,1265,1524,2105,3864,21
1/23/2021,1089,1322,1578,2212,5012,24
1/24/2021,1105,1339,1600,2287,6212,25
1/25/2021,1128,1363,1631,2366,6857,25
1/26/2021,1139,1374,1661,2410,7219,25
1/27/2021,1212,1429,1735,2593,8486,26
1/28/2021,1260,1501,1841,2795,9881,33
1/29/2021,1338,1559,1940,2965,11130,38
1/3/2021,331,446,453,681,457,6
1/3/2022,12493,8874,11439,21266,58909,6317
1/30/2021,1385,1586,1998,3052,11767,38
1/31/2021,1423,1611,2047,3141,12475,40
1/4/2021,340,450,463,693,463,6
1/4/2022,12511,8880,11447,21286,58937,6338
1/5/2021,347,459,479,712,486,6
1/5/2022,12538,8891,11459,21309,58964,6358
1/6/2021,355,466,490,739,523,7
1/6/2022,12562,8903,11468,21321,58992,6374
1/7/2021,438,565,633,878,722,8
1/7/2022,12591,8924,11482,21339,59029,6403
1/8/2021,531,670,760,1082,934,10
1/8/2022,12596,8925,11482,21344,59030,6408
1/9/2021,564,699,797,1122,979,10
10/1/2021,10979,7974,10416,19602,55048,4484
10/10/2021,11125,8044,10490,19678,55177,4526
10/11/2021,11141,8055,10493,19692,55207,4532
10/12/2021,11151,8058,10500,19700,55218,4542
10/13/2021,11165,8064,10507,19710,55229,4557
10/14/2021,11182,8076,10516,19727,55252,4560
10/15/2021,11202,8083,10524,19739,55272,4567
10/16/2021,11214,8088,10528,19744,55281,4577
10/17/2021,11229,8096,10537,19749,55287,4580
10/18/2021,11244,8103,10542,19755,55300,4585
10/19/2021,11265,8113,10547,19765,55311,4594
10/2/2021,11001,7981,10423,19611,55061,4490
10/20/2021,11281,8119,10552,19774,55337,4596
10/21/2021,11303,8129,10562,19790,55351,4602
10/22/2021,11320,8137,10574,19811,55400,4608
10/23/2021,11322,8139,10585,19821,55440,4610
10/24/2021,11326,8145,10588,19825,55461,4614
10/25/2021,11341,8151,10598,19838,55545,4620
10/26/2021,11347,8162,10607,19850,55637,4624
10/27/2021,11361,8168,10618,19869,55724,4627
10/28/2021,11385,8176,10626,19890,55813,4632
10/29/2021,11405,8187,10639,19900,55905,4638
10/3/2021,11010,7982,10424,19612,55064,4492
10/30/2021,11418,8189,10643,19906,55927,4639
10/31/2021,11422,8194,10644,19911,55949,4640
10/4/2021,11027,7991,10440,19623,55081,4495
10/5/2021,11046,8001,10448,19638,55107,4499
10/6/2021,11063,8012,10456,19647,55126,4501
10/7/2021,11078,8025,10465,19657,55141,4503
10/8/2021,11098,8033,10478,19672,55165,4521
10/9/2021,11113,8041,10486,19676,55172,4525
11/1/2021,11435,8204,10651,19928,56019,4646
11/10/2021,11592,8295,10762,20109,56621,4926
11/11/2021,11615,8304,10775,20144,56696,5000
11/12/2021,11638,8327,10792,20176,56803,5063
11/13/2021,11647,8342,10800,20188,56835,5073
11/14/2021,11658,8347,10809,20197,56859,5079
