Category,value
Apache,580
Cochise,532
Coconino,451
Gila,352
Graham,169
Greenlee,31
La Paz,129
Maricopa,"15,424"
Mohave,"1,350"
Navajo,844
Pima,"3,579"
Pinal,"1,516"
Santa Cruz,219
Yavapai,"1,121"
Yuma,"1,101"
Female,11324
Male,16059
20-44y,1508
45-54y,2165
55-64y,4359
65+,19306
<20y,60
"White, non-Hispanic",14535
Hispanic or Latino,7324
"American Indian or Alaska Native, non-Hispanic",1915
"Black or African American, non-Hispanic",847
"Asian or Pacific Islander, non-Hispanic",321
Other Race,746
Unknown,1710
