date,pcr_tests,pcr_positivity,ser_tests,ser_positivity
2020-09-13 00:00:00,10,0.0,,
2020-09-12 00:00:00,691,0.0709117221418234,78,0.0384615384615385
2020-09-11 00:00:00,5898,0.0417090539165819,1171,0.0982066609735269
2020-09-10 00:00:00,7588,0.0423036373220875,794,0.1234256926952141
2020-09-09 00:00:00,8983,0.0401870199265279,721,0.1470180305131761
2020-09-08 00:00:00,9208,0.0434404865334492,1005,0.1412935323383085
2020-09-07 00:00:00,2358,0.0322307039864292,425,0.0517647058823529
2020-09-06 00:00:00,2416,0.043046357615894,478,0.0606694560669456
2020-09-05 00:00:00,3294,0.042501517911354,511,0.0802348336594912
2020-09-04 00:00:00,7872,0.0311229674796748,964,0.1379668049792531
2020-09-03 00:00:00,7950,0.0379874213836478,784,0.1568877551020408
2020-09-02 00:00:00,7933,0.0417244422034539,838,0.1515513126491647
2020-09-01 00:00:00,10938,0.0334613274821722,1111,0.1431143114311431
2020-08-31 00:00:00,11568,0.0391597510373444,1234,0.1142625607779579
2020-08-30 00:00:00,2814,0.0419331911869225,379,0.0712401055408971
2020-08-29 00:00:00,3308,0.0510882708585248,524,0.0935114503816794
2020-08-28 00:00:00,6869,0.0432377347503276,1308,0.1146788990825688
2020-08-27 00:00:00,8306,0.0453888755116783,1065,0.1577464788732395
2020-08-26 00:00:00,9731,0.0392559860240469,1019,0.1521099116781158
2020-08-25 00:00:00,9404,0.0341344108889834,1496,0.1209893048128342
2020-08-24 00:00:00,10444,0.0530448104174646,1286,0.1306376360808709
2020-08-23 00:00:00,3862,0.046090108751942,402,0.082089552238806
2020-08-22 00:00:00,4662,0.0497640497640498,555,0.0990990990990991
2020-08-21 00:00:00,8902,0.0387553358795776,1454,0.1574965612104539
2020-08-20 00:00:00,8363,0.0392203754633505,1320,0.1507575757575758
2020-08-19 00:00:00,8837,0.0460563539662782,1119,0.1349419124218052
2020-08-18 00:00:00,10299,0.0401980774832508,1713,0.1284296555750146
2020-08-17 00:00:00,11486,0.041615880201985,1569,0.148502230720204
2020-08-16 00:00:00,4528,0.0412985865724382,477,0.0964360587002097
2020-08-15 00:00:00,5954,0.0589519650655022,574,0.1219512195121951
2020-08-14 00:00:00,9699,0.0461903288998866,1602,0.1423220973782772
2020-08-13 00:00:00,7937,0.0598462895300491,1457,0.1674673987645848
2020-08-12 00:00:00,9687,0.0494477134303706,1427,0.1471618780658725
2020-08-11 00:00:00,9912,0.0589184826472962,1868,0.1584582441113491
2020-08-10 00:00:00,10498,0.0605829681844161,1526,0.1343381389252949
2020-08-09 00:00:00,4911,0.0568112400733048,415,0.0867469879518072
2020-08-08 00:00:00,5754,0.0662148070907195,547,0.1042047531992687
2020-08-07 00:00:00,8099,0.0730954438819607,1683,0.1390374331550802
2020-08-06 00:00:00,7961,0.0788845622409245,1443,0.1656271656271656
2020-08-05 00:00:00,7910,0.0802781289506953,1275,0.2007843137254902
2020-08-04 00:00:00,7875,0.0822857142857143,1862,0.1299677765843179
2020-08-03 00:00:00,9353,0.0937667058697744,1901,0.1336138874276696
2020-08-02 00:00:00,4197,0.0903025970931618,410,0.0975609756097561
2020-08-01 00:00:00,6309,0.0814709145664923,549,0.1147540983606558
2020-07-31 00:00:00,9430,0.0778366914103924,1993,0.1354741595584546
2020-07-30 00:00:00,7916,0.1048509348155634,1868,0.1514989293361885
2020-07-29 00:00:00,8216,0.0976144109055502,1940,0.1324742268041237
2020-07-28 00:00:00,8367,0.1107923987092148,2433,0.1249486230990547
2020-07-27 00:00:00,9954,0.11402451275869,2217,0.1168245376635093
2020-07-26 00:00:00,4845,0.1186790505675955,356,0.0926966292134832
2020-07-25 00:00:00,7167,0.1167852658015906,531,0.1205273069679849
2020-07-24 00:00:00,10877,0.1100487266709571,2344,0.1390784982935154
2020-07-23 00:00:00,10304,0.1173330745341615,1996,0.1282565130260521
2020-07-22 00:00:00,11885,0.1156079091291544,1857,0.128163704900377
2020-07-21 00:00:00,12343,0.1195819492829944,2566,0.1188620420888543
2020-07-20 00:00:00,12235,0.1349407437678791,2487,0.1318858061921995
2020-07-19 00:00:00,5614,0.1264695404346277,387,0.1162790697674419
2020-07-18 00:00:00,10077,0.1299990076411631,562,0.097864768683274
2020-07-17 00:00:00,16205,0.1255168157975933,2333,0.1255893699099872
2020-07-16 00:00:00,14428,0.1462434155808151,1868,0.1397216274089936
2020-07-15 00:00:00,16408,0.1532179424670892,1872,0.1351495726495727
2020-07-14 00:00:00,16747,0.1642682271451603,2416,0.1196192052980133
2020-07-13 00:00:00,15234,0.1752658526979126,2404,0.1143926788685524
2020-07-12 00:00:00,6520,0.1960122699386503,475,0.1073684210526316
2020-07-11 00:00:00,9855,0.1856925418569254,704,0.1278409090909091
2020-07-10 00:00:00,17198,0.1750203512036283,2485,0.0885311871227364
2020-07-09 00:00:00,18889,0.1741754460267881,2294,0.0941586748038361
2020-07-08 00:00:00,18466,0.1900790642261454,2213,0.1012200632625396
2020-07-07 00:00:00,19152,0.1884920634920635,2780,0.0751798561151079
2020-07-06 00:00:00,18739,0.1953679491968622,2283,0.0797196671046868
2020-07-05 00:00:00,6506,0.2431601598524439,403,0.0620347394540943
2020-07-04 00:00:00,6221,0.2141134865777206,524,0.0763358778625954
2020-07-03 00:00:00,13409,0.1960623461853979,844,0.0521327014218009
2020-07-02 00:00:00,20664,0.1851045296167248,2621,0.0843189622281572
2020-07-01 00:00:00,20095,0.1970639462552874,2754,0.0729847494553377
2020-06-30 00:00:00,20299,0.2051332577959506,2739,0.0602409638554217
