Category,value
Apache,540
Cochise,456
Coconino,411
Gila,301
Graham,156
Greenlee,27
La Paz,106
Maricopa,"13,519"
Mohave,"1,156"
Navajo,736
Pima,"3,112"
Pinal,"1,289"
Santa Cruz,204
Yavapai,934
Yuma,966
Female,9890
Male,14010
20-44y,1299
45-54y,1861
55-64y,3776
65+,16925
<20y,52
"White, non-Hispanic",12365
Hispanic or Latino,6549
"American Indian or Alaska Native, non-Hispanic",1767
"Black or African American, non-Hispanic",728
"Asian or Pacific Islander, non-Hispanic",295
Other Race,666
Unknown,1543
