date,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
1/1/2021,928,866,654,485,244,5
1/10/2021,1269,1208,943,718,522,8
1/11/2021,1329,1296,1008,755,865,8
1/12/2021,1389,1366,1084,809,1189,9
1/13/2021,1474,1439,1160,872,1525,9
1/14/2021,1492,1460,1188,896,1613,9
1/15/2021,1521,1476,1209,925,1703,9
1/16/2021,1525,1477,1213,926,1708,9
1/17/2021,1527,1480,1214,927,1712,9
1/18/2021,1535,1487,1224,931,1730,9
1/19/2021,1578,1512,1256,960,1844,14
1/2/2021,930,867,654,487,245,5
1/20/2021,1592,1520,1265,971,1876,15
1/21/2021,1712,1707,1442,1071,2397,18
1/22/2021,1821,1802,1527,1150,3065,18
1/23/2021,1850,1841,1552,1181,3101,19
1/24/2021,1851,1843,1555,1184,3112,19
1/25/2021,1884,1917,1618,1236,3270,19
1/26/2021,2013,2058,1758,1373,3428,27
1/27/2021,2152,2212,1876,1470,3637,27
1/28/2021,2305,2363,2062,1688,4341,28
1/29/2021,2460,2493,2229,1830,5429,30
1/3/2021,932,868,654,487,245,5
1/30/2021,2498,2525,2267,1903,6290,30
1/31/2021,2499,2526,2267,1904,6307,30
1/4/2021,987,924,695,518,285,5
1/5/2021,1073,1020,761,564,320,5
1/6/2021,1186,1133,857,632,390,8
1/7/2021,1229,1175,914,671,421,8
1/8/2021,1262,1204,939,712,511,8
1/9/2021,1264,1205,943,716,516,8
10/1/2021,30691,17917,17841,19812,32226,15581
10/10/2021,31099,18095,17950,19883,32306,15775
10/11/2021,31148,18126,17968,19903,32315,15805
10/12/2021,31178,18150,17977,19908,32320,15832
10/13/2021,31213,18168,17989,19915,32326,15853
10/14/2021,31283,18190,18018,19932,32338,15881
10/15/2021,31346,18213,18036,19949,32347,15903
10/16/2021,31373,18225,18046,19961,32351,15916
10/17/2021,31387,18232,18050,19963,32351,15924
10/18/2021,31437,18267,18068,19978,32363,15972
10/19/2021,31472,18285,18080,19999,32379,16000
10/2/2021,30712,17925,17852,19818,32231,15605
10/20/2021,31499,18297,18091,20013,32387,16024
10/21/2021,31547,18323,18111,20030,32404,16036
10/22/2021,31644,18368,18135,20048,32434,16075
10/23/2021,31699,18389,18144,20063,32451,16090
10/24/2021,31714,18407,18156,20071,32458,16096
10/25/2021,31779,18436,18174,20084,32499,16125
10/26/2021,31833,18472,18187,20111,32543,16139
10/27/2021,31875,18497,18221,20127,32588,16158
10/28/2021,31932,18534,18247,20159,32629,16184
10/29/2021,32028,18568,18263,20181,32666,16203
10/3/2021,30719,17928,17857,19819,32233,15613
10/30/2021,32082,18584,18270,20187,32675,16217
10/31/2021,32091,18587,18275,20190,32678,16220
10/4/2021,30759,17947,17876,19829,32242,15636
10/5/2021,30907,17986,17894,19842,32257,15667
10/6/2021,30960,18024,17909,19852,32271,15703
10/7/2021,31001,18034,17923,19861,32277,15731
10/8/2021,31048,18066,17935,19871,32291,15755
10/9/2021,31084,18085,17941,19876,32300,15768
11/1/2021,32155,18615,18295,20211,32723,16289
11/10/2021,32616,18853,18485,20440,33074,19187
11/11/2021,32660,18871,18501,20460,33094,19349
11/12/2021,32727,18903,18524,20488,33140,19628
11/13/2021,32782,18933,18537,20503,33147,20207
11/14/2021,32804,18956,18549,20518,33156,20261
11/15/2021,32899,19010,18583,20542,33217,20620
11/16/2021,32950,19046,18614,20579,33277,20793
11/17/2021,33018,19090,18640,20614,33350,21050
11/18/2021,33125,19144,18684,20648,33413,21296
11/19/2021,33230,19203,18725,20681,33457,21508
11/2/2021,32210,18646,18317,20225,32775,16322
11/20/2021,33265,19218,18741,20700,33470,21593
11/21/2021,33288,19223,18753,20707,33478,21651
11/22/2021,33358,19252,18779,20741,33525,21850
11/23/2021,33554,19298,18818,20777,33588,22152
11/24/2021,33648,19332,18847,20815,33642,22396
11/25/2021,33649,19332,18847,20815,33642,22397
11/26/2021,33681,19350,18865,20837,33671,22501
11/27/2021,33702,19368,18887,20857,33692,22569
11/28/2021,33715,19383,18901,20873,33707,22589
11/29/2021,33768,19418,18929,20906,33782,22763
11/3/2021,32272,18668,18334,20248,32814,16448
11/30/2021,33837,19458,18981,20968,33870,22949
11/4/2021,32346,18700,18359,20282,32866,16567
11/5/2021,32390,18723,18385,20311,32894,16820
11/6/2021,32420,18738,18398,20329,32906,16947
11/7/2021,32440,18743,18407,20341,32917,17019
11/8/2021,32503,18783,18434,20386,32984,17258
11/9/2021,32560,18826,18454,20419,33031,17486
12/1/2020,1,1,2,,3,
12/1/2021,33916,19494,19008,21001,33957,23175
12/10/2020,1,2,4,,4,
12/10/2021,34441,19797,19267,21396,34868,24488
12/11/2020,1,2,4,,4,
12/11/2021,34459,19813,19275,21415,34903,24620
12/12/2020,1,2,6,,4,
12/12/2021,34485,19826,19297,21429,34931,24694
12/13/2020,1,2,6,,4,
12/13/2021,34529,19843,19317,21469,35072,24829
12/14/2020,1,2,6,,4,
12/14/2021,34569,19864,19343,21521,35206,24933
12/15/2020,1,2,6,,4,
12/15/2021,34615,19888,19373,21576,35343,25026
12/16/2020,3,3,7,1,5,
12/16/2021,34668,19915,19400,21626,35462,25140
12/17/2020,9,8,9,9,9,
12/17/2021,34699,19946,19416,21660,35554,25248
12/18/2020,9,8,10,9,9,
12/18/2021,34718,19962,19423,21672,35600,25272
12/19/2020,9,8,11,9,11,
12/19/2021,34743,19972,19438,21690,35651,25286
12/2/2020,1,1,2,,3,
12/2/2021,33989,19533,19037,21044,34071,23412
12/20/2020,9,10,11,10,11,
12/20/2021,34785,19993,19464,21737,35799,25388
12/21/2020,73,48,48,28,26,
12/21/2021,34848,20034,19483,21784,35947,25490
12/22/2020,248,247,174,138,61,
12/22/2021,34881,20059,19506,21837,36089,25566
12/23/2020,432,458,338,256,106,3
12/23/2021,34902,20071,19512,21851,36129,25597
12/24/2020,493,510,397,297,113,3
12/25/2020,493,510,397,297,113,3
12/26/2020,517,545,412,316,119,3
12/27/2020,517,545,412,316,120,3
12/28/2020,660,655,494,365,147,4
12/29/2020,756,747,550,413,181,5
12/3/2020,1,1,3,,3,
12/3/2021,34067,19581,19076,21092,34177,23606
12/30/2020,890,848,633,466,216,5
12/31/2020,922,863,647,481,224,5
12/4/2020,1,1,4,,3,
12/4/2021,34146,19611,19102,21144,34212,23728
12/5/2020,1,1,4,,3,
12/5/2021,34156,19619,19108,21154,34235,23754
12/6/2020,1,1,4,,3,
12/6/2021,34204,19650,19138,21199,34359,23910
12/7/2020,1,1,4,,3,
12/7/2021,34282,19677,19168,21259,34500,24035
12/8/2020,1,1,4,,4,
12/8/2021,34339,19720,19203,21309,34611,24222
12/9/2020,1,1,4,,4,
12/9/2021,34378,19751,19236,21365,34797,24362
2/1/2021,2544,2552,2288,1929,6912,30
2/10/2021,2875,2860,2666,2373,10039,45
2/11/2021,3004,2977,2791,2530,11059,52
2/12/2021,3056,3031,2849,2587,12144,53
2/13/2021,3082,3055,2864,2623,12793,55
2/14/2021,3087,3059,2864,2624,12799,55
2/15/2021,3093,3063,2868,2631,12838,55
2/16/2021,3116,3069,2877,2635,12884,57
2/17/2021,3153,3105,2929,2695,12939,57
2/18/2021,3180,3129,2945,2714,13072,57
2/19/2021,3246,3202,3030,2805,13225,59
2/2/2021,2576,2587,2323,1984,7611,34
2/20/2021,3285,3225,3054,2840,13276,62
2/21/2021,3286,3226,3057,2840,13287,62
2/22/2021,3289,3229,3058,2842,13296,62
2/23/2021,3326,3285,3094,2896,13475,66
2/24/2021,3345,3319,3119,2937,14478,68
2/25/2021,3414,3377,3187,3013,15476,70
2/26/2021,3474,3434,3228,3113,16482,72
2/27/2021,3504,3459,3244,3147,16850,74
2/28/2021,3524,3484,3281,3179,16971,74
2/3/2021,2697,2722,2491,2152,8314,37
2/4/2021,2746,2764,2549,2214,8642,40
2/5/2021,2783,2794,2581,2245,8773,42
2/6/2021,2792,2797,2582,2250,8797,43
2/7/2021,2793,2798,2583,2251,8815,43
2/8/2021,2812,2822,2601,2281,8919,43
2/9/2021,2833,2841,2636,2321,8961,43
3/1/2021,3552,3510,3301,3212,17128,75
3/10/2021,4503,4320,4297,4999,20205,97
3/11/2021,4724,4429,4416,5229,20533,106
3/12/2021,4777,4484,4528,5849,20892,110
3/13/2021,4853,4539,4575,5973,21045,111
3/14/2021,4865,4544,4583,6039,21113,111
3/15/2021,4985,4649,4709,6240,21225,116
3/16/2021,5226,4866,4941,6585,21413,124
3/17/2021,5802,5098,5145,6864,21976,129
3/18/2021,6176,5335,5480,7792,22785,146
3/19/2021,6516,5625,5875,8721,23425,161
3/2/2021,3581,3527,3328,3246,17255,76
3/20/2021,6599,5684,5962,9046,23750,168
3/21/2021,6616,5694,5983,9085,23783,170
3/22/2021,6647,5746,6025,9184,23864,174
3/23/2021,6893,5952,6249,9476,24013,191
3/24/2021,7410,6260,6625,9849,24279,249
3/25/2021,7907,6512,6893,10188,24460,282
3/26/2021,8200,6689,7157,10435,24674,319
3/27/2021,8243,6703,7179,10469,24710,322
3/28/2021,8264,6714,7193,10489,24723,323
3/29/2021,8531,6870,7391,10673,24907,436
3/3/2021,3610,3559,3360,3294,17420,78
3/30/2021,9349,7388,8082,11304,25303,609
3/31/2021,10263,7892,8709,11752,25645,787
3/4/2021,3718,3676,3491,3494,17761,83
3/5/2021,4039,3925,3782,3939,18677,89
3/6/2021,4055,3937,3794,4012,18755,89
3/7/2021,4065,3946,3808,4064,18804,91
3/8/2021,4090,3968,3844,4205,19273,92
3/9/2021,4304,4174,4077,4550,19831,94
4/1/2021,10954,8275,9168,12150,25965,985
4/10/2021,14663,10373,11319,14276,27682,2049
4/11/2021,14801,10447,11377,14368,27756,2117
4/12/2021,14946,10522,11479,14478,27865,2153
4/13/2021,15139,10623,11610,14619,27991,2202
4/14/2021,15511,10818,11818,14786,28122,2274
