date,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache
1/1/2021,166,154,194,242,281,3
1/10/2021,234,232,313,420,878,10
1/11/2021,246,246,328,445,1391,11
1/12/2021,257,261,350,482,1666,11
1/13/2021,268,285,388,533,1862,13
1/14/2021,307,321,416,604,2214,16
1/15/2021,327,341,449,647,2397,21
1/16/2021,327,341,450,650,2411,21
1/17/2021,327,341,451,650,2411,21
1/18/2021,334,348,463,660,2438,21
1/19/2021,352,368,482,698,2526,22
1/2/2021,171,157,195,243,282,3
1/20/2021,480,440,606,946,2665,61
1/21/2021,593,536,735,1142,2843,113
1/22/2021,650,597,804,1251,2968,125
1/23/2021,652,598,805,1253,2987,127
1/24/2021,652,598,805,1254,2989,127
1/25/2021,658,612,813,1268,3053,127
1/26/2021,671,625,828,1295,3145,133
1/27/2021,713,660,877,1371,3253,149
1/28/2021,820,753,1035,1577,3413,156
1/29/2021,866,802,1089,1652,3475,163
1/3/2021,171,157,195,243,282,3
1/30/2021,868,802,1089,1654,3476,170
1/31/2021,870,803,1089,1683,3485,174
1/4/2021,179,161,206,257,346,3
1/5/2021,187,176,226,281,423,6
1/6/2021,199,195,250,317,627,10
1/7/2021,210,217,284,384,796,10
1/8/2021,234,232,313,419,864,10
1/9/2021,234,232,313,420,877,10
10/1/2021,4124,2657,2888,3805,5716,5388
10/10/2021,4167,2689,2921,3850,5764,5411
10/11/2021,4168,2692,2922,3850,5772,5412
10/12/2021,4175,2699,2923,3853,5774,5415
10/13/2021,4176,2700,2926,3856,5780,5418
10/14/2021,4180,2703,2928,3859,5787,5422
10/15/2021,4183,2704,2930,3864,5789,5424
10/16/2021,4186,2705,2930,3866,5790,5424
10/17/2021,4187,2706,2930,3866,5790,5425
10/18/2021,4190,2711,2937,3871,5795,5432
10/19/2021,4198,2714,2940,3874,5803,5434
10/2/2021,4126,2658,2890,3808,5720,5389
10/20/2021,4204,2720,2940,3882,5814,5436
10/21/2021,4207,2725,2946,3887,5815,5439
10/22/2021,4211,2729,2947,3890,5820,5445
10/23/2021,4213,2731,2954,3898,5834,5446
10/24/2021,4214,2733,2954,3899,5838,5447
10/25/2021,4219,2735,2960,3905,5846,5452
10/26/2021,4229,2736,2965,3910,5854,5457
10/27/2021,4235,2748,2968,3919,5858,5469
10/28/2021,4242,2751,2972,3928,5866,5472
10/29/2021,4247,2754,2975,3936,5869,5473
10/3/2021,4128,2659,2893,3810,5721,5389
10/30/2021,4247,2756,2975,3938,5871,5474
