date,pcr_tests,pcr_pos_test,pcr_positivity,pcr_tests_APACHE,pcr_pos_test_APACHE,pcr_positivity_APACHE,pcr_tests_YUMA,pcr_pos_test_YUMA,pcr_positivity_YUMA,pcr_tests_YAVAPAI,pcr_pos_test_YAVAPAI,pcr_positivity_YAVAPAI,pcr_tests_SANTA_CRUZ,pcr_pos_test_SANTA_CRUZ,pcr_positivity_SANTA_CRUZ,pcr_tests_PINAL,pcr_pos_test_PINAL,pcr_positivity_PINAL,pcr_tests_PIMA,pcr_pos_test_PIMA,pcr_positivity_PIMA,pcr_tests_NAVAJO,pcr_pos_test_NAVAJO,pcr_positivity_NAVAJO,pcr_tests_MOHAVE,pcr_pos_test_MOHAVE,pcr_positivity_MOHAVE,pcr_tests_MARICOPA,pcr_pos_test_MARICOPA,pcr_positivity_MARICOPA,pcr_tests_LA_PAZ,pcr_pos_test_LA_PAZ,pcr_positivity_LA_PAZ,pcr_tests_GREENLEE,pcr_pos_test_GREENLEE,pcr_positivity_GREENLEE,pcr_tests_GRAHAM,pcr_pos_test_GRAHAM,pcr_positivity_GRAHAM,pcr_tests_GILA,pcr_pos_test_GILA,pcr_positivity_GILA,pcr_tests_COCONINO,pcr_pos_test_COCONINO,pcr_positivity_COCONINO,pcr_tests_COCHISE,pcr_pos_test_COCHISE,pcr_positivity_COCHISE
2022-01-03 00:00:00,72525,19511,0.2690244743192003,453.0,96.0,0.2119205298013245,1388.0,362.0,0.260806916426513,1127.0,197.0,0.1748003549245785,607.0,187.0,0.3080724876441516,4607.0,1434.0,0.3112654655958324,11027.0,2252.0,0.2042259907499773,1305.0,309.0,0.2367816091954023,1469.0,457.0,0.3110959836623554,43811.0,12798.0,0.2921184177489672,111.0,33.0,0.2972972972972973,4.0,1.0,0.25,56.0,9.0,0.1607142857142857,501.0,61.0,0.1217564870259481,2329.0,638.0,0.2739373121511378,1062.0,191.0,0.17984934086629
2022-01-02 00:00:00,30329,8918,0.2940420060008573,158.0,41.0,0.259493670886076,286.0,93.0,0.3251748251748252,442.0,89.0,0.2013574660633484,102.0,27.0,0.2647058823529412,1779.0,539.0,0.3029792017987634,4824.0,1226.0,0.2541459369817579,285.0,76.0,0.2666666666666667,550.0,188.0,0.3418181818181818,19691.0,6030.0,0.306231273170484,12.0,2.0,0.1666666666666667,1.0,1.0,1.0,20.0,1.0,0.05,62.0,12.0,0.1935483870967742,804.0,241.0,0.2997512437810945,326.0,94.0,0.2883435582822086
2022-01-01 00:00:00,14880,4278,0.2875,79.0,13.0,0.1645569620253165,171.0,40.0,0.2339181286549708,202.0,39.0,0.1930693069306931,30.0,10.0,0.3333333333333333,1227.0,372.0,0.3031784841075795,1272.0,189.0,0.1485849056603774,199.0,46.0,0.2311557788944724,121.0,37.0,0.3057851239669422,10503.0,3262.0,0.3105779301152052,19.0,4.0,0.2105263157894737,2.0,0.0,0.0,11.0,0.0,0.0,50.0,13.0,0.26,240.0,57.0,0.2375,116.0,14.0,0.1206896551724138
2021-12-31 00:00:00,32346,7903,0.2443269646942435,148.0,28.0,0.1891891891891892,599.0,134.0,0.2237061769616027,442.0,97.0,0.2194570135746606,102.0,18.0,0.1764705882352941,2212.0,610.0,0.2757685352622062,4605.0,866.0,0.188056460369164,335.0,88.0,0.2626865671641791,607.0,184.0,0.3031301482701812,20709.0,5295.0,0.2556859336520354,27.0,6.0,0.2222222222222222,4.0,0.0,0.0,34.0,7.0,0.2058823529411765,146.0,16.0,0.1095890410958904,811.0,205.0,0.2527743526510481,380.0,50.0,0.1315789473684211
2021-12-30 00:00:00,51286,10836,0.2112857309987131,306.0,53.0,0.173202614379085,1604.0,320.0,0.199501246882793,1025.0,142.0,0.1385365853658537,342.0,64.0,0.1871345029239766,3334.0,800.0,0.2399520095980804,7208.0,1218.0,0.1689789123196449,736.0,131.0,0.1779891304347826,1108.0,206.0,0.1859205776173285,30980.0,6927.0,0.2235958683021304,106.0,16.0,0.1509433962264151,2.0,0.0,0.0,97.0,2.0,0.0206185567010309,418.0,43.0,0.1028708133971292,1766.0,431.0,0.2440543601359004,765.0,110.0,0.1437908496732026
2021-12-29 00:00:00,48990,10626,0.2169014084507042,277.0,46.0,0.1660649819494585,1260.0,299.0,0.2373015873015873,893.0,115.0,0.1287793952967525,369.0,61.0,0.1653116531165312,3214.0,746.0,0.2321095208462975,7170.0,1301.0,0.1814504881450488,757.0,149.0,0.1968295904887715,1011.0,211.0,0.208704253214639,29391.0,6899.0,0.2347317205947399,253.0,4.0,0.0158102766798419,9.0,2.0,0.2222222222222222,39.0,3.0,0.0769230769230769,384.0,42.0,0.109375,1458.0,303.0,0.2078189300411523,793.0,114.0,0.1437578814627995
2021-12-28 00:00:00,48240,9807,0.2032960199004975,335.0,61.0,0.182089552238806,1196.0,232.0,0.1939799331103679,1129.0,164.0,0.1452612931798051,310.0,62.0,0.2,2957.0,612.0,0.206966520121745,6988.0,1140.0,0.1631368059530624,690.0,132.0,0.191304347826087,1392.0,175.0,0.1257183908045977,28590.0,6329.0,0.2213711087792935,312.0,5.0,0.016025641025641,3.0,0.0,0.0,61.0,1.0,0.0163934426229508,316.0,37.0,0.1170886075949367,1474.0,343.0,0.2327001356852103,582.0,103.0,0.1769759450171822
2021-12-27 00:00:00,46126,8926,0.1935134197632572,333.0,64.0,0.1921921921921922,780.0,102.0,0.1307692307692308,1076.0,155.0,0.1440520446096654,270.0,46.0,0.1703703703703704,3335.0,626.0,0.1877061469265367,6541.0,1019.0,0.1557865769759976,926.0,144.0,0.1555075593952484,1075.0,230.0,0.213953488372093,26558.0,5489.0,0.2066797198584231,61.0,9.0,0.1475409836065574,7.0,3.0,0.4285714285714286,17.0,3.0,0.1764705882352941,520.0,54.0,0.1038461538461539,1872.0,446.0,0.2382478632478633,666.0,106.0,0.1591591591591592
2021-12-26 00:00:00,19446,4021,0.2067777434948061,104.0,14.0,0.1346153846153846,287.0,43.0,0.1498257839721254,356.0,71.0,0.199438202247191,82.0,13.0,0.1585365853658537,1351.0,244.0,0.1806069578090304,3290.0,586.0,0.1781155015197568,243.0,53.0,0.2181069958847737,356.0,94.0,0.2640449438202247,11648.0,2558.0,0.2196085164835165,28.0,1.0,0.0357142857142857,2.0,1.0,0.5,24.0,1.0,0.0416666666666667,72.0,16.0,0.2222222222222222,490.0,132.0,0.2693877551020409,209.0,33.0,0.1578947368421053
2021-12-25 00:00:00,6408,1204,0.1878901373283396,69.0,11.0,0.1594202898550725,100.0,22.0,0.22,176.0,28.0,0.1590909090909091,35.0,6.0,0.1714285714285714,510.0,95.0,0.1862745098039216,829.0,73.0,0.0880579010856454,147.0,27.0,0.1836734693877551,82.0,15.0,0.1829268292682927,3913.0,836.0,0.2136468182979811,5.0,1.0,0.2,4.0,1.0,0.25,5.0,1.0,0.2,26.0,6.0,0.2307692307692308,183.0,33.0,0.180327868852459,67.0,5.0,0.0746268656716418
