date,pcr_tests_PIMA,pcr_positivity_PIMA,ser_tests_PIMA,ser_positivity_PIMA
2020-07-02 00:00:00,2778,0.1357091432685385,254.0,0.0708661417322835
2020-07-01 00:00:00,2811,0.1369619352543579,234.0,0.0598290598290598
2020-06-30 00:00:00,2357,0.1540093338990242,290.0,0.0551724137931035
2020-06-29 00:00:00,2392,0.1429765886287625,322.0,0.0372670807453416
2020-06-28 00:00:00,895,0.1497206703910615,68.0,0.0735294117647059
2020-06-27 00:00:00,1375,0.168,109.0,0.036697247706422
2020-06-26 00:00:00,1882,0.1344314558979809,337.0,0.0326409495548961
2020-06-25 00:00:00,2515,0.1240556660039762,249.0,0.0481927710843374
2020-06-24 00:00:00,2137,0.1160505381375761,248.0,0.0403225806451613
2020-06-23 00:00:00,2376,0.1372053872053872,415.0,0.1542168674698795
2020-06-22 00:00:00,2118,0.1284230406043437,289.0,0.027681660899654
2020-06-21 00:00:00,1087,0.1527138914443422,78.0,0
2020-06-20 00:00:00,1426,0.1669004207573633,84.0,0.0476190476190476
2020-06-19 00:00:00,2176,0.1346507352941177,359.0,0.0417827298050139
2020-06-18 00:00:00,1969,0.1356018283392585,253.0,0.0434782608695652
2020-06-17 00:00:00,1836,0.1318082788671024,226.0,0.0442477876106195
2020-06-16 00:00:00,1935,0.1111111111111111,307.0,0.0162866449511401
2020-06-15 00:00:00,2018,0.1149653121902874,432.0,0.0277777777777778
2020-06-14 00:00:00,798,0.1215538847117795,96.0,0.0104166666666667
2020-06-13 00:00:00,917,0.1723009814612868,123.0,0.024390243902439
2020-06-12 00:00:00,1373,0.1150764748725419,333.0,0.024024024024024
2020-06-11 00:00:00,1323,0.0997732426303855,267.0,0.0224719101123596
2020-06-10 00:00:00,1367,0.1207022677395757,462.0,0.0454545454545455
2020-06-09 00:00:00,1349,0.1163825055596738,358.0,0.0335195530726257
2020-06-08 00:00:00,1316,0.0911854103343465,479.0,0.0751565762004175
