date,Arizona_cume,Arizona,Apache_cume,Apache,Coconino_cume,Coconino,Cochise_cume,Cochise,Graham_cume,Graham,Greenlee_cume,Greenlee,Gila_cume,Gila,La Paz_cume,La Paz,Maricopa_cume,Maricopa,Mohave_cume,Mohave,Navajo_cume,Navajo,Pinal_cume,Pinal,Pima_cume,Pima,Santa Cruz_cume,Santa Cruz,Yavapai_cume,Yavapai,Yuma_cume,Yuma
2020-12-01,339,,2.0,,1.0,,4.0,,,,,,1.0,,,,203.0,,1.0,,2.0,,6.0,,95,,1.0,,2.0,,8.0,
2020-12-02,372,33.0,4.0,2.0,2.0,1.0,,,,,,,,,,,222.0,19.0,,,3.0,1.0,,,102,7.0,,,,,,
2020-12-03,404,32.0,7.0,3.0,3.0,1.0,,,,,,,,,,,234.0,12.0,,,,,7.0,1.0,111,9.0,2.0,1.0,,,9.0,1.0
2020-12-04,416,12.0,9.0,2.0,,,,,,,,,,,,,240.0,6.0,,,,,,,114,3.0,,,,,10.0,1.0
2020-12-05,420,4.0,,,,,,,,,,,,,,,242.0,2.0,,,,,,,115,1.0,,,,,,
2020-12-06,425,5.0,,,,,5.0,1.0,,,,,,,,,,,,,4.0,1.0,,,117,2.0,,,3.0,1.0,,
2020-12-07,453,28.0,11.0,2.0,,,,,,,,,,,,,252.0,10.0,,,6.0,2.0,,,121,4.0,,,,,,
2020-12-08,476,23.0,13.0,2.0,,,,,,,,,,,,,262.0,10.0,,,,,,,124,3.0,,,,,11.0,1.0
2020-12-09,502,26.0,16.0,3.0,,,,,,,,,,,,,271.0,9.0,,,,,8.0,1.0,135,11.0,,,,,,
2020-12-10,532,30.0,,,,,,,,,,,,,,,288.0,17.0,2.0,1.0,8.0,2.0,,,139,4.0,,,,,12.0,1.0
2020-12-11,550,18.0,,,,,,,,,,,,,,,296.0,8.0,,,,,,,148,9.0,,,,,,
2020-12-12,572,22.0,,,4.0,1.0,,,,,,,,,,,304.0,8.0,4.0,2.0,,,,,154,6.0,,,4.0,1.0,14.0,2.0
2020-12-13,588,16.0,17.0,1.0,,,,,,,,,,,,,314.0,10.0,,,9.0,1.0,9.0,1.0,156,2.0,,,,,,
2020-12-14,624,36.0,24.0,7.0,,,,,,,,,,,,,330.0,16.0,,,11.0,2.0,,,163,7.0,,,,,,
2020-12-15,791,167.0,71.0,47.0,14.0,10.0,6.0,1.0,,,,,,,,,372.0,42.0,,,27.0,16.0,,,193,30.0,,,,,,
2020-12-16,1574,783.0,182.0,111.0,147.0,133.0,7.0,1.0,,,,,,,,,434.0,62.0,6.0,2.0,76.0,49.0,13.0,4.0,205,12.0,,,7.0,3.0,20.0,6.0
2020-12-17,4983,3409.0,305.0,123.0,279.0,132.0,18.0,11.0,79.0,,,,70.0,69.0,,,1706.0,1272.0,,,178.0,102.0,45.0,32.0,1425,1220.0,9.0,7.0,11.0,4.0,45.0,25.0
2020-12-18,8885,3902.0,441.0,136.0,484.0,205.0,26.0,8.0,146.0,67.0,2.0,,110.0,40.0,,,3397.0,1691.0,8.0,2.0,272.0,94.0,74.0,29.0,2800,1375.0,16.0,7.0,,,46.0,1.0
2020-12-19,11501,2616.0,466.0,25.0,529.0,45.0,33.0,7.0,,,,,112.0,2.0,,,5070.0,1673.0,,,274.0,2.0,90.0,16.0,3537,737.0,19.0,3.0,14.0,3.0,49.0,3.0
2020-12-20,12624,1123.0,,,534.0,5.0,34.0,1.0,,,,,,,,,6091.0,1021.0,,,277.0,3.0,99.0,9.0,3565,28.0,21.0,2.0,18.0,4.0,52.0,3.0
2020-12-21,18324,5700.0,540.0,74.0,542.0,8.0,46.0,12.0,192.0,46.0,16.0,14.0,149.0,37.0,10.0,,9326.0,3235.0,20.0,12.0,292.0,15.0,212.0,113.0,5077,1512.0,23.0,2.0,22.0,4.0,226.0,174.0
2020-12-22,26240,7916.0,576.0,36.0,598.0,56.0,309.0,263.0,235.0,43.0,42.0,26.0,170.0,21.0,29.0,19.0,13481.0,4155.0,81.0,61.0,378.0,86.0,406.0,194.0,6642,1565.0,70.0,47.0,392.0,370.0,872.0,646.0
2020-12-23,36475,10235.0,982.0,406.0,904.0,306.0,732.0,423.0,361.0,126.0,49.0,7.0,223.0,53.0,41.0,12.0,18284.0,4803.0,291.0,210.0,578.0,200.0,692.0,286.0,8530,1888.0,93.0,23.0,844.0,452.0,1605.0,733.0
2020-12-24,40388,3913.0,993.0,11.0,1223.0,319.0,852.0,120.0,412.0,51.0,53.0,4.0,294.0,71.0,,,19859.0,1575.0,427.0,136.0,686.0,108.0,750.0,58.0,9600,1070.0,118.0,25.0,902.0,58.0,1825.0,220.0
2020-12-25,40537,149.0,995.0,2.0,1321.0,98.0,,,,,,,,,,,19865.0,6.0,,,690.0,4.0,,,9609,9.0,,,919.0,17.0,,
2020-12-26,47113,6576.0,998.0,3.0,1386.0,65.0,873.0,21.0,422.0,10.0,54.0,1.0,322.0,28.0,,,24899.0,5034.0,592.0,165.0,692.0,2.0,994.0,244.0,10400,791.0,124.0,6.0,959.0,40.0,1924.0,99.0
2020-12-27,49793,2680.0,,,1465.0,79.0,,,424.0,2.0,,,323.0,1.0,,,27162.0,2263.0,653.0,61.0,693.0,1.0,1043.0,49.0,10576,176.0,,,974.0,15.0,1925.0,1.0
2020-12-28,59399,9606.0,1096.0,98.0,1665.0,200.0,960.0,87.0,579.0,155.0,56.0,2.0,458.0,135.0,44.0,3.0,32402.0,5240.0,922.0,269.0,1043.0,350.0,1440.0,397.0,12377,1801.0,166.0,42.0,1053.0,79.0,2339.0,414.0
2020-12-29,72804,13405.0,1457.0,361.0,1991.0,326.0,1035.0,75.0,731.0,152.0,64.0,8.0,582.0,124.0,46.0,2.0,40262.0,7860.0,1306.0,384.0,1436.0,393.0,2005.0,565.0,14321,1944.0,226.0,60.0,1350.0,297.0,2670.0,331.0
2020-12-30,88116,15312.0,1673.0,216.0,2411.0,420.0,1240.0,205.0,848.0,117.0,85.0,21.0,739.0,157.0,63.0,17.0,48932.0,8670.0,1642.0,336.0,1838.0,402.0,2774.0,769.0,16417,2096.0,297.0,71.0,2122.0,772.0,3079.0,409.0
2020-12-31,96431,8315.0,1862.0,189.0,2642.0,231.0,1434.0,194.0,916.0,68.0,115.0,30.0,895.0,156.0,67.0,4.0,53014.0,4082.0,1918.0,276.0,2215.0,377.0,3308.0,534.0,17983,1566.0,360.0,63.0,2267.0,145.0,3164.0,85.0
2021-01-01,100181,3750.0,1866.0,4.0,2760.0,118.0,1474.0,40.0,922.0,6.0,117.0,2.0,901.0,6.0,,,54770.0,1756.0,1999.0,81.0,2315.0,100.0,3468.0,160.0,19172,1189.0,396.0,36.0,2302.0,35.0,3214.0,50.0
2021-01-02,108042,7861.0,1886.0,20.0,2829.0,69.0,1488.0,14.0,925.0,3.0,,,1098.0,197.0,,,60935.0,6165.0,2047.0,48.0,2318.0,3.0,3916.0,448.0,19845,673.0,397.0,1.0,2429.0,127.0,3221.0,7.0
2021-01-03,111347,3305.0,,,2834.0,5.0,1566.0,78.0,,,,,1101.0,3.0,,,63537.0,2602.0,2073.0,26.0,2322.0,4.0,4059.0,143.0,20219,374.0,403.0,6.0,2435.0,6.0,3225.0,4.0
2021-01-04,120635,9288.0,2082.0,196.0,3179.0,345.0,1619.0,53.0,1056.0,131.0,118.0,1.0,1253.0,152.0,70.0,3.0,68286.0,4749.0,2265.0,192.0,2601.0,279.0,4616.0,557.0,22056,1837.0,472.0,69.0,2485.0,50.0,3453.0,228.0
2021-01-05,130314,9679.0,2419.0,337.0,3544.0,365.0,1707.0,88.0,1167.0,111.0,140.0,22.0,1561.0,308.0,72.0,2.0,72676.0,4390.0,2398.0,133.0,3075.0,474.0,5230.0,614.0,23835,1779.0,549.0,77.0,2564.0,79.0,3787.0,334.0
2021-01-06,142950,12636.0,2851.0,432.0,3985.0,441.0,1811.0,104.0,1286.0,119.0,155.0,15.0,1834.0,273.0,103.0,31.0,77655.0,4979.0,2653.0,255.0,3621.0,546.0,6005.0,775.0,25955,2120.0,668.0,119.0,2662.0,98.0,4259.0,472.0
2021-01-07,156204,13254.0,3264.0,413.0,4572.0,587.0,1890.0,79.0,1518.0,232.0,193.0,38.0,2323.0,489.0,157.0,54.0,83061.0,5406.0,2908.0,255.0,4402.0,781.0,6736.0,731.0,28176,2221.0,836.0,168.0,3342.0,680.0,4473.0,214.0
2021-01-08,168733,12529.0,3522.0,258.0,5166.0,594.0,2054.0,164.0,1780.0,262.0,209.0,16.0,2704.0,381.0,,,87702.0,4641.0,3168.0,260.0,4845.0,443.0,7595.0,859.0,30824,2648.0,997.0,161.0,4102.0,760.0,4745.0,272.0
