Category,value
Apache,576
Cochise,528
Coconino,448
Gila,346
Graham,168
Greenlee,31
La Paz,127
Maricopa,"15,308"
Mohave,"1,333"
Navajo,832
Pima,"3,553"
Pinal,"1,499"
Santa Cruz,217
Yavapai,"1,110"
Yuma,"1,088"
Female,11245
Male,15904
20-44y,1500
45-54y,2155
55-64y,4324
65+,19125
<20y,60
"White, non-Hispanic",14344
Hispanic or Latino,7265
"American Indian or Alaska Native, non-Hispanic",1897
"Black or African American, non-Hispanic",841
"Asian or Pacific Islander, non-Hispanic",320
Other Race,743
Unknown,1754
