date,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham
1/1/2021,163,176,157,182,237,3
1/1/2022,3651,2680,2516,2841,4440,2297
1/10/2021,255,286,291,298,510,4
1/10/2022,3693,2695,2527,2854,4451,2410
1/11/2021,261,298,298,312,547,4
1/11/2022,3694,2698,2527,2854,4453,2432
1/12/2021,270,305,312,340,604,6
1/12/2022,3699,2700,2529,2856,4455,2444
1/13/2021,280,315,323,358,693,6
1/13/2022,3709,2705,2536,2858,4459,2470
1/14/2021,293,345,348,402,805,6
1/14/2022,3718,2713,2537,2860,4459,2510
1/15/2021,401,459,456,526,930,21
1/15/2022,3719,2714,2543,2860,4459,2510
1/16/2021,402,459,456,526,984,21
1/16/2022,3719,2714,2543,2860,4459,2510
1/17/2021,402,459,456,526,985,21
1/17/2022,3725,2717,2544,2862,4459,2515
1/18/2021,414,463,468,541,1031,21
1/18/2022,3732,2717,2544,2864,4460,2530
1/19/2021,420,478,476,561,1073,22
1/19/2022,3736,2719,2544,2864,4460,2539
1/2/2021,164,176,157,183,238,3
1/2/2022,3651,2680,2518,2841,4440,2298
1/20/2021,443,486,490,579,1133,22
1/20/2022,3747,2722,2545,2864,4462,2566
1/21/2021,456,492,499,601,1239,23
1/21/2022,3760,2723,2545,2865,4462,2584
1/22/2021,523,547,534,642,1297,27
1/22/2022,3761,2723,2545,2866,4462,2585
1/23/2021,529,558,544,649,1506,27
1/23/2022,3762,2724,2545,2866,4462,2585
1/24/2021,529,558,546,649,1506,27
1/24/2022,3770,2728,2545,2867,4463,2604
1/25/2021,540,567,559,667,1536,28
1/25/2022,3774,2730,2546,2868,4463,2613
1/26/2021,548,571,562,674,1602,28
1/26/2022,3777,2730,2547,2869,4464,2622
1/27/2021,561,579,581,686,1668,29
1/27/2022,3786,2732,2550,2870,4466,2628
1/28/2021,583,607,613,712,1732,29
1/28/2022,3791,2734,2552,2874,4467,2656
1/29/2021,627,639,631,746,1947,35
1/29/2022,3794,2737,2553,2874,4467,2663
1/3/2021,164,176,157,183,238,3
1/3/2022,3657,2683,2518,2842,4441,2309
1/30/2021,661,663,653,754,1953,38
1/30/2022,3795,2737,2553,2874,4467,2663
1/31/2021,661,663,653,755,1953,38
1/31/2022,3795,2739,2554,2875,4468,2671
1/4/2021,183,207,185,201,273,3
1/4/2022,3659,2685,2518,2844,4442,2323
1/5/2021,193,221,199,215,329,3
1/5/2022,3661,2685,2519,2846,4442,2334
1/6/2021,211,244,216,234,367,4
1/6/2022,3672,2688,2520,2848,4446,2349
1/7/2021,233,256,239,252,454,4
1/7/2022,3680,2692,2522,2848,4448,2389
1/8/2021,255,286,291,298,509,4
1/8/2022,3682,2694,2524,2851,4449,2400
1/9/2021,255,286,291,298,510,4
1/9/2022,3685,2694,2524,2851,4449,2401
10/1/2021,3244,2459,2346,2709,4296,1466
10/10/2021,3279,2481,2364,2715,4305,1482
10/11/2021,3284,2488,2366,2715,4306,1484
10/12/2021,3286,2491,2370,2716,4308,1487
10/13/2021,3290,2491,2372,2718,4309,1489
10/14/2021,3298,2496,2377,2718,4309,1490
10/15/2021,3311,2502,2380,2720,4310,1492
10/16/2021,3316,2503,2381,2720,4311,1494
10/17/2021,3318,2504,2381,2720,4311,1494
10/18/2021,3323,2508,2384,2720,4312,1496
10/19/2021,3326,2511,2387,2721,4313,1498
10/2/2021,3245,2460,2346,2709,4296,1470
10/20/2021,3332,2513,2387,2722,4313,1501
10/21/2021,3341,2518,2388,2724,4315,1507
10/22/2021,3347,2521,2391,2728,4315,1515
10/23/2021,3349,2522,2391,2729,4316,1518
10/24/2021,3349,2522,2391,2731,4316,1519
10/25/2021,3354,2523,2391,2733,4318,1520
10/26/2021,3359,2525,2391,2733,4320,1521
10/27/2021,3365,2527,2391,2734,4323,1523
10/28/2021,3373,2543,2397,2736,4324,1535
10/29/2021,3376,2545,2400,2737,4326,1539
10/3/2021,3245,2462,2346,2709,4296,1470
10/30/2021,3380,2545,2402,2738,4328,1539
10/31/2021,3381,2545,2402,2738,4328,1539
10/4/2021,3247,2466,2350,2710,4296,1471
10/5/2021,3254,2469,2353,2710,4298,1473
10/6/2021,3259,2470,2357,2711,4300,1473
10/7/2021,3269,2476,2360,2712,4302,1477
10/8/2021,3273,2478,2361,2712,4304,1482
10/9/2021,3277,2479,2363,2714,4304,1482
11/1/2021,3384,2545,2403,2738,4329,1542
11/10/2021,3423,2562,2416,2750,4346,1628
11/11/2021,3424,2563,2417,2750,4346,1637
11/12/2021,3428,2565,2422,2753,4348,1655
11/13/2021,3429,2566,2423,2754,4349,1660
11/14/2021,3430,2566,2423,2754,4350,1660
11/15/2021,3438,2567,2426,2758,4355,1673
11/16/2021,3443,2571,2429,2759,4357,1689
11/17/2021,3448,2575,2432,2764,4358,1703
11/18/2021,3454,2578,2438,2768,4361,1761
11/19/2021,3461,2581,2444,2772,4364,1806
11/2/2021,3387,2546,2404,2739,4332,1547
11/20/2021,3462,2582,2445,2772,4366,1809
11/21/2021,3465,2583,2445,2773,4366,1811
11/22/2021,3475,2586,2447,2775,4367,1821
11/23/2021,3480,2591,2449,2775,4369,1832
11/24/2021,3487,2597,2450,2776,4369,1842
11/25/2021,3487,2597,2450,2776,4369,1842
11/26/2021,3491,2597,2452,2776,4369,1853
11/27/2021,3494,2597,2455,2776,4369,1854
11/28/2021,3495,2597,2455,2777,4369,1854
11/29/2021,3499,2600,2458,2783,4371,1864
11/3/2021,3389,2548,2405,2739,4334,1550
11/30/2021,3512,2607,2461,2791,4376,1872
11/4/2021,3395,2550,2408,2741,4339,1553
11/5/2021,3404,2552,2411,2745,4340,1590
11/6/2021,3406,2554,2412,2745,4341,1591
11/7/2021,3406,2555,2413,2746,4341,1592
11/8/2021,3410,2558,2414,2747,4343,1607
11/9/2021,3417,2559,2414,2747,4344,1619
12/1/2021,3518,2611,2463,2791,4378,1885
12/10/2021,3574,2639,2487,2816,4410,2023
12/11/2021,3576,2640,2488,2818,4410,2024
12/12/2021,3576,2640,2489,2818,4410,2025
12/13/2021,3579,2642,2492,2821,4415,2030
12/14/2021,3586,2645,2493,2822,4417,2036
12/15/2021,3589,2650,2495,2824,4417,2041
12/16/2021,3596,2656,2498,2827,4424,2110
12/17/2020,23,17,11,19,8,1
12/17/2021,3603,2662,2501,2829,4425,2134
12/18/2020,39,35,21,37,13,1
12/18/2021,3604,2662,2501,2830,4426,2134
