date,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache
1/1/2021,165,154,193,242,280,3
1/10/2021,232,231,312,420,877,10
1/11/2021,244,245,326,445,1390,11
1/12/2021,255,260,348,484,1663,11
1/13/2021,266,284,386,535,1858,13
1/14/2021,305,320,414,606,2210,16
1/15/2021,325,340,447,648,2391,21
1/16/2021,325,340,448,651,2405,21
1/17/2021,325,340,449,651,2405,21
1/18/2021,332,347,461,661,2432,21
1/19/2021,350,367,480,699,2520,22
1/2/2021,170,157,194,243,281,3
1/20/2021,478,440,604,947,2659,61
1/21/2021,592,537,732,1143,2836,113
1/22/2021,649,597,801,1252,2961,126
1/23/2021,651,598,802,1255,2979,128
1/24/2021,651,598,802,1256,2981,128
1/25/2021,657,612,810,1270,3045,128
1/26/2021,670,625,825,1297,3137,134
1/27/2021,712,660,875,1372,3245,150
1/28/2021,819,755,1033,1576,3405,157
1/29/2021,865,804,1088,1651,3466,164
1/3/2021,170,157,194,243,281,3
1/30/2021,867,804,1088,1653,3467,171
1/31/2021,868,805,1088,1682,3476,175
1/4/2021,177,161,205,257,344,3
1/5/2021,185,176,225,281,421,6
1/6/2021,197,194,249,317,625,10
1/7/2021,208,216,283,384,795,10
1/8/2021,232,231,312,419,863,10
1/9/2021,232,231,312,420,876,10
10/1/2021,4100,2652,2887,3795,5693,5405
10/10/2021,4143,2685,2919,3840,5741,5428
10/11/2021,4144,2688,2920,3840,5749,5429
10/12/2021,4151,2695,2921,3843,5751,5432
10/13/2021,4152,2696,2924,3846,5757,5435
10/14/2021,4156,2698,2926,3849,5764,5437
10/15/2021,4159,2699,2928,3854,5766,5439
10/16/2021,4162,2700,2928,3856,5767,5439
10/17/2021,4163,2701,2928,3856,5767,5439
10/18/2021,4166,2706,2935,3861,5772,5446
10/19/2021,4174,2709,2938,3864,5780,5448
10/2/2021,4102,2653,2889,3798,5697,5406
10/20/2021,4180,2715,2938,3872,5791,5450
10/21/2021,4183,2720,2944,3877,5792,5453
10/22/2021,4187,2724,2945,3880,5797,5459
10/23/2021,4189,2726,2952,3888,5811,5460
10/24/2021,4190,2728,2952,3889,5815,5461
10/25/2021,4195,2730,2958,3895,5823,5466
10/26/2021,4205,2731,2963,3900,5830,5471
10/27/2021,4211,2743,2966,3909,5834,5481
10/28/2021,4218,2746,2970,3918,5842,5484
10/29/2021,4223,2749,2973,3926,5845,5485
10/3/2021,4104,2655,2891,3800,5698,5406
10/30/2021,4223,2751,2973,3928,5847,5486
10/31/2021,4229,2753,2975,3930,5850,5486
10/4/2021,4111,2659,2892,3806,5704,5415
10/5/2021,4117,2665,2897,3812,5707,5416
10/6/2021,4120,2668,2905,3818,5713,5420
10/7/2021,4129,2677,2911,3827,5727,5422
10/8/2021,4134,2681,2916,3832,5732,5428
10/9/2021,4140,2684,2919,3840,5740,5428
11/1/2021,4238,2760,2980,3939,5861,5490
11/10/2021,4290,2796,3025,4001,5917,6014
11/11/2021,4294,2802,3030,4004,5918,6103
11/12/2021,4297,2806,3038,4006,5923,6320
11/13/2021,4307,2812,3044,4017,5937,6356
11/14/2021,4319,2815,3050,4018,5942,6403
11/15/2021,4323,2818,3056,4024,5948,6478
11/16/2021,4333,2826,3065,4031,5951,6589
11/17/2021,4340,2837,3074,4043,5961,6675
11/18/2021,4352,2847,3082,4044,5977,6747
11/19/2021,4362,2848,3085,4055,5984,6864
11/2/2021,4240,2766,2992,3951,5872,5493
11/20/2021,4373,2860,3095,4067,5988,6904
11/21/2021,4384,2864,3097,4069,5991,6930
11/22/2021,4391,2872,3102,4080,6000,7079
11/23/2021,4400,2878,3109,4086,6010,7154
11/24/2021,4408,2882,3118,4090,6013,7213
11/25/2021,4408,2882,3118,4090,6013,7213
11/26/2021,4419,2886,3124,4094,6016,7257
11/27/2021,4420,2887,3125,4097,6016,7267
11/28/2021,4422,2890,3126,4100,6018,7292
11/29/2021,4428,2895,3133,4103,6024,7329
11/3/2021,4244,2769,3004,3963,5878,5517
11/30/2021,4440,2909,3141,4111,6030,7375
11/4/2021,4254,2774,3013,3977,5884,5636
11/5/2021,4262,2775,3015,3983,5890,5667
11/6/2021,4269,2780,3016,3984,5891,5731
11/7/2021,4272,2785,3019,3987,5894,5806
11/8/2021,4280,2789,3021,3994,5902,5869
11/9/2021,4288,2791,3021,3997,5908,5903
12/1/2020,,,2,,,
12/1/2021,4450,2915,3145,4122,6037,7419
12/10/2020,2,2,3,3,,1
12/10/2021,4535,2970,3190,4168,6088,7818
12/11/2020,2,2,3,3,,1
12/12/2020,2,2,3,3,,1
12/13/2020,2,2,3,3,1,1
12/14/2020,2,2,3,3,1,1
12/15/2020,3,3,3,5,1,1
12/16/2020,7,9,9,16,3,1
12/17/2020,14,21,24,29,3,1
12/18/2020,21,27,32,38,11,1
12/19/2020,21,27,33,38,11,1
12/2/2020,,1,2,,,
12/2/2021,4460,2924,3148,4125,6050,7444
12/20/2020,21,27,33,38,11,1
12/21/2020,25,28,36,46,12,1
12/22/2020,26,31,40,49,12,1
12/23/2020,62,57,66,98,40,1
12/24/2020,65,58,67,100,42,1
12/25/2020,65,58,67,101,43,1
12/26/2020,65,58,69,101,43,1
12/27/2020,65,58,69,101,43,1
12/28/2020,81,65,77,118,67,1
12/29/2020,123,121,142,178,175,1
12/3/2020,1,1,2,1,,
12/3/2021,4470,2930,3151,4133,6053,7574
12/30/2020,151,137,172,216,217,3
12/31/2020,165,154,193,242,277,3
12/4/2020,1,1,2,2,,
12/4/2021,4484,2939,3156,4139,6057,7601
12/5/2020,1,1,2,2,,
12/5/2021,4489,2944,3159,4141,6057,7616
12/6/2020,1,1,2,2,,
