date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
1/1/2021,11634,13038,12205,9834,6022,99
1/10/2021,19814,20055,19069,15992,11785,201
1/11/2021,21046,21167,20290,16968,13617,233
1/12/2021,23024,23140,22305,18648,18422,312
1/13/2021,25029,25264,24523,20318,23971,375
1/14/2021,26960,27391,26797,22223,29987,412
1/15/2021,29158,29400,28916,24014,34881,468
1/16/2021,30519,30591,30189,25187,38058,497
1/17/2021,31477,31491,31149,26153,41196,522
1/18/2021,32520,32423,32300,27273,46368,550
1/19/2021,33791,33636,33613,28566,52645,611
1/2/2021,13160,14412,13451,10920,6768,119
1/20/2021,35071,34910,35239,30103,59635,651
1/21/2021,36548,36407,37096,31967,67773,698
1/22/2021,39415,39039,40050,34980,75690,786
1/23/2021,42017,41102,42528,37459,80532,858
1/24/2021,43279,42279,43811,38868,85656,901
1/25/2021,44578,43432,45242,40452,93116,946
1/26/2021,46235,44877,46971,42340,103965,1001
1/27/2021,47710,46188,48473,43986,114336,1035
1/28/2021,48919,47269,49700,45404,125179,1064
1/29/2021,50946,48939,51415,47235,135865,1126
1/3/2021,13893,14992,13966,11356,7013,134
1/30/2021,52677,50342,53006,48804,140862,1183
1/31/2021,53294,50888,53646,49487,144518,1208
1/4/2021,14915,15926,14917,12151,7880,141
1/5/2021,15864,16766,15778,12959,8660,156
1/6/2021,17035,17720,16744,13885,9405,165
1/7/2021,17945,18526,17560,14667,10158,176
1/8/2021,18753,19201,18219,15237,10649,182
1/9/2021,19439,19750,18758,15693,11460,197
10/1/2021,491230,348653,361523,382243,617440,217049
10/10/2021,496707,351548,363876,384023,619831,219783
10/11/2021,497527,351978,364226,384316,620247,220179
10/12/2021,497896,352153,364395,384444,620427,220391
10/13/2021,498475,352460,364676,384660,620767,220665
10/14/2021,499188,352803,365000,384908,621118,220943
10/15/2021,500082,353246,365394,385184,621401,221280
10/16/2021,500693,353489,365614,385359,621545,221527
10/17/2021,501128,353669,365741,385450,621635,221684
10/18/2021,501854,354055,366078,385722,622007,221966
10/19/2021,502477,354418,366322,385945,622315,222257
10/2/2021,491884,348973,361804,382443,617640,217406
10/20/2021,503123,354766,366567,386171,622609,222594
10/21/2021,503747,355110,366849,386376,622891,222857
10/22/2021,504492,355552,367227,386689,623309,223217
10/23/2021,504945,355799,367476,386833,623505,223449
10/24/2021,505237,355969,367620,386962,623666,223584
10/25/2021,505939,356368,367939,387270,624145,223885
10/26/2021,506602,356730,368260,387518,624628,224157
10/27/2021,507289,357088,368626,387817,625122,224456
10/28/2021,507939,357446,368930,388093,625591,224716
10/29/2021,508594,357891,369320,388405,625963,225038
10/3/2021,492187,349116,361909,382535,617749,217557
10/30/2021,508957,358093,369487,388569,626106,225205
10/31/2021,509164,358206,369581,388646,626223,225277
10/4/2021,493008,349513,362246,382776,618189,217926
