date,Gila_cume,Gila
2020-12-01,1,
2020-12-17,69,68
2020-12-18,109,40
2020-12-19,111,2
2020-12-20,112,1
2020-12-21,148,36
2020-12-22,170,22
2020-12-23,224,54
2020-12-24,293,69
2020-12-26,321,28
2020-12-27,322,1
2020-12-28,457,135
2020-12-29,582,125
2020-12-30,738,156
2020-12-31,895,157
2021-01-01,901,6
2021-01-02,1097,196
2021-01-03,1100,3
2021-01-04,1251,151
2021-01-05,1562,311
2021-01-06,1838,276
2021-01-07,2328,490
2021-01-08,2713,385
2021-01-09,2749,36
2021-01-10,2750,1
2021-01-11,2936,186
2021-01-12,3030,94
2021-01-13,3127,97
2021-01-14,3375,248
2021-01-15,3626,251
2021-01-16,3632,6
2021-01-17,3635,3
2021-01-18,3758,123
2021-01-19,3949,191
2021-01-20,4230,281
2021-01-21,4556,326
2021-01-22,4676,120
2021-01-23,4826,150
2021-01-24,4839,13
2021-01-25,5045,206
2021-01-26,5164,119
2021-01-27,5507,343
2021-01-28,6017,510
2021-01-29,6317,300
2021-01-30,6553,236
2021-01-31,6561,8
2021-02-01,6917,356
2021-02-02,7575,658
2021-02-03,8268,693
2021-02-04,9276,1008
2021-02-05,10053,777
2021-02-06,10501,448
2021-02-07,10520,19
2021-02-08,10852,332
2021-02-09,11293,441
2021-02-10,11699,406
2021-02-11,12038,339
2021-02-12,12369,331
2021-02-13,13164,795
2021-02-14,13609,445
2021-02-15,13792,183
2021-02-16,14185,393
2021-02-17,14511,326
2021-02-18,14802,291
2021-02-19,15120,318
2021-02-20,15322,202
2021-02-21,15326,4
2021-02-22,15467,141
2021-02-23,15733,266
2021-02-24,15942,209
2021-02-25,16331,389
2021-02-26,16709,378
2021-02-27,18458,1749
2021-02-28,19342,884
2021-03-01,19593,251
2021-03-02,19949,356
2021-03-03,20277,328
2021-03-04,20999,722
2021-03-05,21259,260
2021-03-06,21648,389
2021-03-07,21660,12
2021-03-08,21878,218
2021-03-09,22163,285
2021-03-10,22472,309
2021-03-11,23753,1281
2021-03-12,24130,377
2021-03-13,25232,1102
2021-03-14,25650,418
2021-03-15,25828,178
2021-03-16,26129,301
2021-03-17,26275,146
2021-03-18,26596,321
2021-03-19,26846,250
2021-03-20,27179,333
2021-03-21,27193,14
2021-03-22,27367,174
2021-03-23,27535,168
2021-03-24,27662,127
2021-03-25,27919,257
2021-03-26,28091,172
2021-03-27,29757,1666
2021-03-28,30555,798
2021-03-29,30817,262
2021-03-30,30939,122
2021-03-31,31092,153
2021-04-01,31719,627
2021-04-02,31912,193
2021-04-03,31955,43
2021-04-04,31960,5
2021-04-05,32097,137
2021-04-06,32515,418
2021-04-07,32695,180
2021-04-08,32981,286
2021-04-09,33169,188
2021-04-10,33701,532
2021-04-11,33718,17
2021-04-12,33879,161
2021-04-13,33989,110
2021-04-14,34056,67
2021-04-15,34245,189
2021-04-16,34365,120
2021-04-17,34728,363
2021-04-18,34744,16
2021-04-19,34859,115
2021-04-20,34963,104
