date,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino
1/1/2021,628,743,579,453,363,3
1/1/2022,24579,12850,11859,13692,20513,12866
1/10/2021,1139,1164,961,808,733,11
1/10/2022,24818,12933,11920,13751,20548,13324
1/11/2021,1209,1248,1040,859,801,12
1/11/2022,24837,12939,11920,13754,20555,13349
1/12/2021,1314,1335,1115,943,1002,13
1/12/2022,24861,12950,11922,13766,20561,13401
1/13/2021,1372,1404,1197,1017,1266,14
1/13/2022,24876,12953,11927,13772,20564,13414
1/14/2021,1472,1493,1289,1104,1538,14
1/14/2022,24930,12974,11935,13779,20576,13497
1/15/2021,1590,1588,1370,1193,2289,14
1/15/2022,24954,12977,11937,13783,20579,13534
1/16/2021,1602,1604,1385,1216,2393,14
1/16/2022,24965,12978,11939,13784,20579,13556
1/17/2021,1608,1612,1393,1220,2400,14
1/17/2022,24973,12979,11942,13786,20581,13562
1/18/2021,1677,1683,1451,1276,2464,15
1/18/2022,24977,12982,11942,13788,20586,13574
1/19/2021,1767,1746,1514,1354,2724,15
1/2/2021,654,759,587,467,374,3
1/2/2022,24585,12855,11863,13693,20513,12874
1/20/2021,2015,2018,1837,1648,2946,20
1/21/2021,2161,2134,1938,1749,3165,21
1/22/2021,2257,2211,2034,1862,3510,22
1/23/2021,2300,2246,2068,1897,3713,25
1/24/2021,2306,2249,2068,1898,3732,25
1/25/2021,2355,2299,2132,1997,4043,26
1/26/2021,2416,2355,2188,2073,4413,28
1/27/2021,2667,2500,2337,2234,4803,30
1/28/2021,2861,2624,2473,2395,5209,35
1/29/2021,2959,2709,2552,2506,5553,39
1/3/2021,654,760,587,468,376,3
1/3/2022,24606,12864,11871,13701,20516,12924
1/30/2021,3020,2752,2581,2545,5670,46
1/31/2021,3030,2754,2582,2548,5696,46
1/4/2021,722,835,652,537,439,4
1/4/2022,24631,12872,11878,13707,20518,12960
1/5/2021,807,908,706,601,510,7
1/5/2022,24664,12879,11883,13718,20527,13024
1/6/2021,890,961,761,653,580,7
1/6/2022,24700,12895,11894,13723,20529,13120
1/7/2021,1005,1048,848,723,680,7
1/7/2022,24751,12914,11905,13738,20535,13215
1/8/2021,1125,1156,949,788,723,11
1/8/2022,24776,12922,11914,13741,20545,13266
1/9/2021,1139,1163,959,805,731,11
1/9/2022,24796,12926,11917,13747,20547,13301
10/1/2021,22647,11953,11109,12846,19480,8185
10/10/2021,22793,12005,11168,12878,19532,8255
10/11/2021,22801,12010,11174,12880,19540,8262
10/12/2021,22809,12019,11176,12880,19541,8272
10/13/2021,22831,12025,11186,12883,19555,8281
10/14/2021,22845,12027,11187,12894,19563,8289
10/15/2021,22861,12034,11197,12896,19573,8297
10/16/2021,22874,12035,11198,12901,19574,8302
10/17/2021,22895,12039,11201,12901,19575,8310
10/18/2021,22906,12048,11204,12906,19583,8314
10/19/2021,22925,12052,11205,12912,19587,8320
10/2/2021,22660,11954,11110,12846,19485,8189
10/20/2021,22939,12060,11214,12916,19595,8329
10/21/2021,22955,12067,11218,12922,19601,8334
10/22/2021,22978,12079,11228,12939,19627,8342
10/23/2021,22996,12086,11234,12949,19645,8352
10/24/2021,23004,12091,11236,12950,19654,8355
10/25/2021,23020,12100,11246,12961,19681,8363
10/26/2021,23036,12108,11253,12976,19703,8385
10/27/2021,23067,12121,11267,12991,19747,8398
10/28/2021,23083,12126,11274,12998,19769,8404
10/29/2021,23119,12150,11287,13021,19804,8420
10/3/2021,22675,11954,11114,12849,19489,8196
10/30/2021,23139,12165,11303,13029,19816,8433
10/31/2021,23154,12172,11313,13035,19822,8439
10/4/2021,22698,11958,11120,12855,19498,8203
10/5/2021,22713,11963,11124,12860,19506,8209
10/6/2021,22741,11978,11136,12865,19511,8220
10/7/2021,22752,11988,11143,12873,19514,8230
10/8/2021,22773,12000,11164,12877,19519,8243
10/9/2021,22784,12004,11167,12878,19528,8250
11/1/2021,23176,12182,11320,13051,19840,8442
11/10/2021,23388,12287,11399,13156,19963,9651
11/11/2021,23419,12297,11408,13170,19968,9720
11/12/2021,23450,12310,11428,13185,19986,10048
11/13/2021,23467,12319,11436,13191,19993,10184
11/14/2021,23489,12323,11441,13198,19995,10229
11/15/2021,23513,12335,11454,13215,20017,10288
11/16/2021,23540,12351,11460,13228,20026,10379
11/17/2021,23564,12364,11468,13239,20054,10580
11/18/2021,23603,12378,11481,13250,20073,10654
11/19/2021,23657,12399,11494,13271,20089,10833
11/2/2021,23191,12187,11329,13060,19855,8453
11/20/2021,23677,12416,11503,13279,20101,10974
11/21/2021,23698,12423,11508,13287,20108,11015
11/22/2021,23725,12434,11523,13304,20125,11076
11/23/2021,23752,12440,11540,13315,20143,11133
11/24/2021,23773,12452,11545,13320,20155,11183
11/25/2021,23773,12452,11545,13320,20155,11183
11/26/2021,23797,12461,11548,13337,20163,11232
11/27/2021,23812,12463,11552,13343,20166,11243
11/28/2021,23820,12467,11555,13348,20168,11249
11/29/2021,23843,12478,11560,13359,20190,11298
11/3/2021,23222,12202,11337,13070,19871,8463
11/30/2021,23869,12487,11571,13369,20203,11380
11/4/2021,23248,12213,11344,13086,19888,8469
11/5/2021,23290,12235,11365,13107,19904,8576
11/6/2021,23312,12246,11376,13118,19913,8981
11/7/2021,23322,12256,11378,13124,19923,9041
11/8/2021,23340,12261,11384,13133,19933,9206
11/9/2021,23362,12270,11392,13139,19942,9364
12/1/2020,,,,1,,
12/1/2021,23893,12505,11578,13384,20227,11434
12/10/2020,,1,,1,1,
12/10/2021,24184,12643,11680,13508,20340,11997
12/11/2020,,1,,1,1,
12/11/2021,24204,12656,11690,13518,20347,12046
12/12/2020,,2,,1,1,
12/12/2021,24213,12664,11695,13528,20350,12070
12/13/2020,,2,,1,1,
12/13/2021,24242,12672,11703,13542,20370,12102
12/14/2020,,2,,1,1,
12/14/2021,24263,12679,11717,13549,20381,12137
12/15/2020,2,4,1,3,3,
12/15/2021,24286,12689,11728,13562,20394,12170
12/16/2020,23,45,36,25,16,
12/16/2021,24320,12695,11742,13575,20402,12229
12/17/2020,52,80,69,53,21,
12/17/2021,24354,12712,11755,13592,20415,12304
12/18/2020,99,138,115,84,41,
12/18/2021,24368,12715,11762,13602,20422,12387
12/19/2020,109,150,123,98,42,
12/19/2021,24395,12725,11773,13603,20423,12413
12/2/2020,,1,,1,,
12/2/2021,23922,12517,11585,13393,20241,11452
12/20/2020,110,152,123,98,44,
12/20/2021,24415,12732,11790,13614,20432,12474
12/21/2020,112,153,125,98,45,
12/21/2021,24439,12739,11799,13627,20447,12515
12/22/2020,119,172,139,109,50,1
12/22/2021,24465,12749,11812,13634,20463,12576
12/23/2020,172,282,218,149,74,2
12/23/2021,24481,12760,11820,13647,20475,12603
12/24/2020,250,384,289,207,87,2
12/24/2021,24487,12763,11821,13651,20480,12607
12/25/2020,276,411,310,227,92,2
12/25/2021,24487,12763,11821,13651,20480,12607
12/26/2020,295,435,323,238,94,2
12/26/2021,24493,12776,11825,13652,20485,12618
12/27/2020,321,458,337,250,97,2
12/27/2021,24510,12796,11832,13655,20487,12689
12/28/2020,375,515,384,280,109,3
12/28/2021,24524,12807,11838,13664,20496,12768
12/29/2020,436,594,429,330,204,3
12/29/2021,24546,12827,11851,13675,20504,12814
12/3/2020,,1,,1,1,
12/3/2021,23975,12537,11603,13418,20250,11551
12/30/2020,534,681,504,394,306,3
12/30/2021,24571,12846,11859,13687,20510,12856
12/31/2020,587,721,552,432,356,3
12/31/2021,24578,12848,11859,13691,20513,12864
12/4/2020,,1,,1,1,
12/4/2021,23992,12544,11608,13425,20251,11643
12/5/2020,,1,,1,1,
12/5/2021,24015,12559,11615,13432,20258,11672
12/6/2020,,1,,1,1,
12/6/2021,24031,12561,11622,13443,20278,11703
12/7/2020,,1,,1,1,
12/7/2021,24048,12567,11630,13456,20294,11744
12/8/2020,,1,,1,1,
12/8/2021,24090,12585,11642,13469,20312,11838
12/9/2020,,1,,1,1,
12/9/2021,24138,12617,11659,13488,20328,11906
2/1/2021,3091,2821,2644,2660,6154,46
2/10/2021,4998,3705,3620,3961,10192,193
2/11/2021,5155,3831,3750,4137,10838,200
2/12/2021,5587,4141,4042,4520,11584,245
2/13/2021,5989,4365,4222,4714,12102,283
2/14/2021,5999,4368,4226,4718,12130,283
2/15/2021,6135,4501,4337,4831,12465,290
