date,pcr_tests_MARICOPA,pcr_pos_test_MARICOPA,pcr_positivity_MARICOPA
2022-01-18 00:00:00,272,63,0.2316176470588236
2022-01-17 00:00:00,6170,1907,0.3090761750405187
2022-01-16 00:00:00,15080,5690,0.3773209549071618
2022-01-15 00:00:00,21729,8625,0.3969349716968107
2022-01-14 00:00:00,39987,14302,0.3576662415284968
2022-01-13 00:00:00,42979,14989,0.3487517159543033
2022-01-12 00:00:00,46723,16293,0.3487147657470625
2022-01-11 00:00:00,49715,17352,0.3490294679674143
2022-01-10 00:00:00,50888,17274,0.3394513441282817
2022-01-09 00:00:00,26814,9701,0.3617886178861789
2022-01-08 00:00:00,27134,9559,0.3522886415567185
2022-01-07 00:00:00,43074,13257,0.307772670288341
2022-01-06 00:00:00,44458,13285,0.298821359485357
2022-01-05 00:00:00,42617,13727,0.3221015087875731
2022-01-04 00:00:00,42705,13051,0.305608242594544
2022-01-03 00:00:00,43654,12775,0.2926421404682275
2022-01-02 00:00:00,19603,6029,0.3075549660766209
2022-01-01 00:00:00,10477,3259,0.3110623270020044
2021-12-31 00:00:00,20358,5291,0.2598978288633461
2021-12-30 00:00:00,30892,6910,0.2236825067978765
2021-12-29 00:00:00,29209,6890,0.2358861994590709
2021-12-28 00:00:00,28455,6321,0.222140221402214
2021-12-27 00:00:00,26481,5485,0.2071296401193309
2021-12-26 00:00:00,11614,2558,0.2202514206991562
2021-12-25 00:00:00,3909,836,0.2138654387311333
2021-12-24 00:00:00,14176,2260,0.1594243792325056
2021-12-23 00:00:00,25302,3622,0.1431507390720101
2021-12-22 00:00:00,26065,3574,0.1371187416075197
2021-12-21 00:00:00,25415,3058,0.1203226441078104
2021-12-20 00:00:00,25121,2970,0.1182277775566259
2021-12-19 00:00:00,12851,1508,0.1173449537001012
2021-12-18 00:00:00,13084,1528,0.1167838581473556
2021-12-17 00:00:00,20194,2137,0.1058235119342379
2021-12-16 00:00:00,22370,2290,0.102369244523916
2021-12-15 00:00:00,20291,2346,0.1156177615691686
2021-12-14 00:00:00,23135,2408,0.1040847201210288
2021-12-13 00:00:00,22990,2547,0.1107872988255763
2021-12-12 00:00:00,11643,1485,0.127544447307395
2021-12-11 00:00:00,12848,1515,0.1179171855541719
2021-12-10 00:00:00,19475,2122,0.1089602053915276
2021-12-09 00:00:00,20969,2146,0.1023415518145834
2021-12-08 00:00:00,20968,2514,0.1198969858832507
2021-12-07 00:00:00,23646,2435,0.1029772477374609
2021-12-06 00:00:00,24789,2902,0.1170680543789584
2021-12-05 00:00:00,12105,1580,0.1305245766212309
2021-12-04 00:00:00,12244,1764,0.1440705651747795
2021-12-03 00:00:00,22283,2545,0.1142126284611587
2021-12-02 00:00:00,21942,2542,0.1158508795916507
2021-12-01 00:00:00,22179,3061,0.1380134361332793
2021-11-30 00:00:00,23197,2746,0.1183773763848774
2021-11-29 00:00:00,26152,3425,0.1309651269501377
2021-11-28 00:00:00,12873,2085,0.1619669074807737
2021-11-27 00:00:00,11302,1921,0.1699699168288799
2021-11-26 00:00:00,15316,2139,0.1396578741185688
2021-11-25 00:00:00,5267,714,0.1355610404404785
2021-11-24 00:00:00,19257,2580,0.1339772550241471
2021-11-23 00:00:00,24012,2779,0.1157337997667833
2021-11-22 00:00:00,23916,2967,0.1240592072252885
2021-11-21 00:00:00,12047,1744,0.1447663318668548
