date,ED_covid
2022-01-18,2366
2022-01-17,2160
2022-01-16,2200
2022-01-15,2297
2022-01-14,2285
2022-01-13,2336
2022-01-12,2408
2022-01-11,2589
2022-01-10,2223
2022-01-09,2303
2022-01-08,2110
2022-01-07,2248
2022-01-06,2312
2022-01-05,2371
2022-01-04,2229
2022-01-03,1916
2022-01-02,1905
2022-01-01,1645
2021-12-31,1919
2021-12-30,1684
2021-12-29,1892
2021-12-28,1939
2021-12-27,1407
2021-12-26,1468
2021-12-25,1534
2021-12-24,1647
2021-12-23,1459
2021-12-22,1634
2021-12-21,1645
2021-12-20,1548
2021-12-19,1573
2021-12-18,1515
2021-12-17,1582
2021-12-16,1597
2021-12-15,1655
2021-12-14,1652
2021-12-13,1594
2021-12-12,1475
2021-12-11,1627
2021-12-10,1769
2021-12-09,1773
2021-12-08,1875
2021-12-07,1792
2021-12-06,1661
2021-12-05,1738
2021-12-04,1780
2021-12-03,1789
2021-12-02,1892
2021-12-01,1954
2021-11-30,1863
2021-11-29,1794
2021-11-28,1706
2021-11-27,1692
2021-11-26,1546
2021-11-25,1759
2021-11-24,1866
2021-11-23,1805
2021-11-22,1591
2021-11-21,1621
2021-11-20,1680
2021-11-19,1670
2021-11-18,1778
2021-11-17,1819
2021-11-16,1735
2021-11-15,1546
2021-11-14,1518
2021-11-13,1617
2021-11-12,1617
2021-11-11,1661
2021-11-10,1709
2021-11-09,1618
2021-11-08,1554
2021-11-07,1491
2021-11-06,1569
2021-11-05,1623
2021-11-04,1529
2021-11-03,1526
2021-11-02,1517
2021-11-01,1342
2021-10-31,1379
2021-10-30,1325
2021-10-29,1436
2021-10-28,1429
2021-10-27,1542
2021-10-26,1548
2021-10-25,1343
2021-10-24,1397
2021-10-23,1337
2021-10-22,1327
2021-10-21,1487
2021-10-20,1479
2021-10-19,1463
2021-10-18,1297
2021-10-17,1322
2021-10-16,1375
2021-10-15,1480
2021-10-14,1385
2021-10-13,1407
2021-10-12,1415
2021-10-11,1261
2021-10-10,1321
2021-10-09,1360
2021-10-08,1321
2021-10-07,1415
2021-10-06,1428
2021-10-05,1444
2021-10-04,1291
2021-10-03,1259
2021-10-02,1339
2021-10-01,1372
2021-09-30,1392
2021-09-29,1665
2021-09-28,1714
2021-09-27,1494
2021-09-26,1532
2021-09-25,1653
2021-09-24,1673
2021-09-23,1726
2021-09-22,1492
2021-09-21,1499
2021-09-20,1286
2021-09-19,1311
2021-09-18,1491
2021-09-17,1496
2021-09-16,1472
2021-09-15,1512
2021-09-14,1538
2021-09-13,1454
2021-09-12,1385
2021-09-11,1482
2021-09-10,1530
2021-09-09,1668
2021-09-08,1663
2021-09-07,1532
2021-09-06,1444
2021-09-05,1417
2021-09-04,1499
2021-09-03,1610
2021-09-02,1546
2021-09-01,1603
2021-08-31,1659
2021-08-30,1502
2021-08-29,1542
2021-08-28,1617
2021-08-27,1650
2021-08-26,1681
2021-08-25,1702
2021-08-24,1778
2021-08-23,1630
2021-08-22,1474
2021-08-21,1604
2021-08-20,1560
2021-08-19,1683
2021-08-18,1648
2021-08-17,1608
2021-08-16,1476
2021-08-15,1466
2021-08-14,1545
2021-08-13,1532
2021-08-12,1486
2021-08-11,1465
2021-08-10,1460
2021-08-09,1473
2021-08-08,1406
2021-08-07,1501
2021-08-06,1428
2021-08-05,1368
2021-08-04,1293
2021-08-03,1286
2021-08-02,1196
2021-08-01,1126
