date,Mohave_cume,Mohave
1/1/2021,1,
1/10/2021,2,1
1/11/2021,3,1
1/12/2021,5,2
1/13/2021,17,12
1/14/2021,78,61
1/15/2021,288,210
1/16/2021,421,133
1/17/2021,585,164
1/18/2021,646,61
1/19/2021,915,269
1/2/2021,1296,381
1/20/2021,1634,338
1/21/2021,1910,276
1/22/2021,1964,54
1/23/2021,2012,48
1/24/2021,2038,26
1/25/2021,2226,188
1/26/2021,2358,132
1/27/2021,2609,251
1/28/2021,2861,252
1/29/2021,3118,257
1/3/2021,3174,56
1/30/2021,3223,49
1/31/2021,3422,199
1/4/2021,3706,284
1/5/2021,4009,303
1/6/2021,4391,382
1/7/2021,4803,412
1/8/2021,5158,355
1/9/2021,5189,31
10/1/2021,5522,333
10/10/2021,5850,328
10/11/2021,6412,562
10/12/2021,6819,407
10/13/2021,7234,415
10/14/2021,8040,806
10/15/2021,8657,617
10/16/2021,9211,554
10/17/2021,9837,626
10/18/2021,10646,809
10/19/2021,11552,906
10/2/2021,12078,526
10/3/2021,12539,461
10/4/2021,13068,529
10/5/2021,13733,665
10/6/2021,14344,611
10/7/2021,15464,1120
10/8/2021,16172,708
10/9/2021,16834,662
12/1/2020,17174,340
12/12/2020,17359,185
12/16/2020,17756,397
12/18/2020,18199,443
12/21/2020,19156,957
12/22/2020,19794,638
12/23/2020,20697,903
12/24/2020,21196,499
12/26/2020,21305,109
12/27/2020,21845,540
12/28/2020,22409,564
12/29/2020,22945,536
12/30/2020,23325,380
12/31/2020,23741,416
2/1/2021,23899,158
2/10/2021,23960,61
2/11/2021,24267,307
2/12/2021,24506,239
2/13/2021,25251,745
2/14/2021,26272,1021
2/15/2021,27161,889
2/16/2021,27983,822
2/17/2021,28500,517
2/18/2021,29365,865
2/19/2021,30310,945
2/2/2021,32555,2245
2/20/2021,34047,1492
2/21/2021,35595,1548
2/22/2021,36418,823
2/23/2021,36845,427
2/24/2021,37641,796
2/25/2021,38601,960
2/26/2021,40525,1924
2/27/2021,42111,1586
2/28/2021,43518,1407
2/3/2021,44340,822
2/4/2021,44709,369
2/5/2021,45510,801
2/6/2021,46509,999
2/7/2021,48225,1716
2/8/2021,49539,1314
2/9/2021,50723,1184
3/1/2021,51890,1167
3/10/2021,52433,543
3/11/2021,53691,1258
3/12/2021,54913,1222
3/13/2021,56439,1526
3/14/2021,57844,1405
3/15/2021,59378,1534
3/16/2021,60384,1006
3/17/2021,61190,806
3/18/2021,62723,1533
3/19/2021,64229,1506
3/2/2021,66465,2236
3/20/2021,68178,1713
3/21/2021,69686,1508
3/22/2021,70405,719
3/23/2021,70696,291
3/24/2021,71902,1206
3/25/2021,73261,1359
3/26/2021,74947,1686
3/27/2021,76433,1486
3/28/2021,78037,1604
3/29/2021,79007,970
3/3/2021,79441,434
3/30/2021,81428,1987
3/31/2021,82492,1064
3/4/2021,84218,1726
3/5/2021,85724,1506
3/6/2021,86976,1252
3/7/2021,87853,877
3/8/2021,88284,431
3/9/2021,89309,1025
4/1/2021,90475,1166
4/10/2021,91848,1373
4/11/2021,93087,1239
4/12/2021,94382,1295
4/13/2021,95164,782
4/14/2021,95491,327
4/15/2021,96684,1193
4/16/2021,98035,1351
4/17/2021,99282,1247
4/18/2021,100445,1163
4/19/2021,101657,1212
4/2/2021,102316,659
4/20/2021,102557,241
4/21/2021,103370,813
4/22/2021,104230,860
4/23/2021,105170,940
4/24/2021,105978,808
4/25/2021,106822,844
4/26/2021,107413,591
4/27/2021,107550,137
4/28/2021,108131,581
4/29/2021,108737,606
4/3/2021,109271,534
4/30/2021,110041,770
4/4/2021,110730,689
4/5/2021,111143,413
4/6/2021,111313,170
4/7/2021,112550,1237
4/8/2021,113146,596
4/9/2021,113807,661
5/1/2021,114494,687
5/10/2021,115169,675
5/11/2021,115534,365
5/12/2021,115662,128
5/13/2021,116107,445
5/14/2021,116557,450
5/15/2021,116927,370
5/16/2021,117321,394
5/17/2021,117841,520
5/18/2021,117975,134
5/19/2021,118046,71
5/2/2021,118121,75
5/20/2021,118571,450
5/21/2021,118926,355
5/22/2021,119268,342
5/23/2021,119676,408
5/24/2021,119883,207
5/25/2021,119958,75
5/26/2021,120368,410
