date,Navajo_cume,Navajo
1/1/2021,1,
1/10/2021,2,1
1/11/2021,3,1
1/12/2021,4,1
1/13/2021,5,1
1/14/2021,7,2
1/15/2021,30,23
1/16/2021,99,69
1/17/2021,163,64
1/18/2021,165,2
1/19/2021,167,2
1/2/2021,173,6
1/20/2021,250,77
1/21/2021,414,164
1/22/2021,521,107
1/23/2021,525,4
1/24/2021,526,1
1/25/2021,527,1
1/26/2021,868,341
1/27/2021,1242,374
1/28/2021,1609,367
1/29/2021,1952,343
1/3/2021,2044,92
1/30/2021,2046,2
1/31/2021,2050,4
1/4/2021,2294,244
1/5/2021,2707,413
1/6/2021,3185,478
1/7/2021,3880,695
1/8/2021,4266,386
1/9/2021,4277,11
10/1/2021,4279,2
10/10/2021,4678,399
10/11/2021,5121,443
10/12/2021,5447,326
10/13/2021,5865,418
10/14/2021,6328,463
10/15/2021,6345,17
10/16/2021,6354,9
10/17/2021,6533,179
10/18/2021,6983,450
10/19/2021,7501,518
10/2/2021,8179,678
10/3/2021,8630,451
10/4/2021,8861,231
10/5/2021,8883,22
10/6/2021,9457,574
10/7/2021,10012,555
10/8/2021,10749,737
10/9/2021,11825,1076
12/10/2020,12508,683
12/14/2020,12648,140
12/15/2020,12664,16
12/16/2020,13369,705
12/17/2020,14113,744
12/18/2020,15205,1092
12/19/2020,16104,899
12/2/2020,16774,670
12/20/2020,17483,709
12/21/2020,17498,15
12/22/2020,18248,750
12/23/2020,19119,871
12/24/2020,19960,841
12/25/2020,21009,1049
12/26/2020,21900,891
12/27/2020,22535,635
12/28/2020,22594,59
12/29/2020,22814,220
12/30/2020,23707,893
12/31/2020,24726,1019
12/4/2020,25527,801
12/7/2020,26069,542
2/1/2021,26202,133
2/10/2021,26242,40
2/11/2021,26648,406
2/12/2021,27295,647
2/13/2021,27902,607
2/14/2021,28833,931
2/15/2021,29609,776
2/16/2021,30021,412
2/17/2021,30055,34
2/18/2021,30708,653
2/19/2021,31308,600
2/2/2021,32099,791
2/20/2021,32834,735
2/21/2021,33323,489
2/22/2021,34000,677
2/23/2021,34041,41
2/24/2021,34503,462
2/25/2021,35041,538
2/26/2021,36053,1012
2/27/2021,37113,1060
2/28/2021,37831,718
2/3/2021,38443,612
2/4/2021,38513,70
2/5/2021,39109,596
2/6/2021,39715,606
2/7/2021,40473,758
2/8/2021,41419,946
2/9/2021,41920,501
3/1/2021,42071,151
3/10/2021,42133,62
3/11/2021,42603,470
3/12/2021,43336,733
3/13/2021,44126,790
3/14/2021,44985,859
3/15/2021,45572,587
3/16/2021,45726,154
3/17/2021,45786,60
3/18/2021,46257,471
3/19/2021,46687,430
3/2/2021,47487,800
3/20/2021,47947,460
3/21/2021,48332,385
3/22/2021,48531,199
3/23/2021,48566,35
3/24/2021,48918,352
3/25/2021,49355,437
3/26/2021,49780,425
3/27/2021,50466,686
3/28/2021,50852,386
3/29/2021,51045,193
3/3/2021,51116,71
3/30/2021,51654,538
3/31/2021,52030,376
3/4/2021,52504,474
3/5/2021,53031,527
3/6/2021,53408,377
3/7/2021,53500,92
3/8/2021,53551,51
3/9/2021,53951,400
4/1/2021,54268,317
4/10/2021,54624,356
4/11/2021,54970,346
4/12/2021,55271,301
4/13/2021,55420,149
4/14/2021,55453,33
4/15/2021,55715,262
4/16/2021,56003,288
4/17/2021,56309,306
4/18/2021,56678,369
4/19/2021,56908,230
4/2/2021,56984,76
4/20/2021,57001,17
4/21/2021,57169,168
4/22/2021,57434,265
4/23/2021,57620,186
4/24/2021,57947,327
4/25/2021,58107,160
4/26/2021,58165,58
4/27/2021,58182,17
4/28/2021,58367,185
4/29/2021,58549,182
4/3/2021,58744,195
4/30/2021,59076,332
4/4/2021,59546,470
4/5/2021,59615,69
4/6/2021,59665,50
4/7/2021,59973,308
4/8/2021,60303,330
4/9/2021,60711,408
5/1/2021,61061,350
5/10/2021,61322,261
5/11/2021,61603,281
5/12/2021,61652,49
5/13/2021,61869,217
5/14/2021,62135,266
5/15/2021,62343,208
5/16/2021,62563,220
5/17/2021,62707,144
5/18/2021,62741,34
5/19/2021,62763,22
5/2/2021,62794,31
5/20/2021,63013,219
5/21/2021,63148,135
5/22/2021,63380,232
