date,Cochise_cume,Cochise
2020-12-16 00:00:00,1,
2020-12-17 00:00:00,57,56
2020-12-18 00:00:00,195,138
2020-12-19 00:00:00,269,74
2020-12-20 00:00:00,305,36
2020-12-21 00:00:00,643,338
2020-12-22 00:00:00,1095,452
2020-12-23 00:00:00,1542,447
2020-12-24 00:00:00,1670,128
2020-12-25 00:00:00,1671,1
2020-12-26 00:00:00,1693,22
2020-12-28 00:00:00,1798,105
2020-12-29 00:00:00,1875,77
2020-12-30 00:00:00,2092,217
2020-12-31 00:00:00,2308,216
2021-01-01 00:00:00,2314,6
2021-01-02 00:00:00,2315,1
2021-01-03 00:00:00,2317,2
2021-01-04 00:00:00,2373,56
2021-01-05 00:00:00,2458,85
2021-01-06 00:00:00,2566,108
2021-01-07 00:00:00,2630,64
2021-01-08 00:00:00,2791,161
2021-01-09 00:00:00,3163,372
2021-01-10 00:00:00,3165,2
2021-01-11 00:00:00,3529,364
2021-01-12 00:00:00,3780,251
2021-01-13 00:00:00,4209,429
2021-01-14 00:00:00,4537,328
2021-01-15 00:00:00,5006,469
2021-01-16 00:00:00,5404,398
2021-01-17 00:00:00,5420,16
2021-01-18 00:00:00,5662,242
2021-01-19 00:00:00,6097,435
2021-01-20 00:00:00,6801,704
2021-01-21 00:00:00,7455,654
2021-01-22 00:00:00,7787,332
2021-01-23 00:00:00,8353,566
2021-01-24 00:00:00,8464,111
2021-01-25 00:00:00,8905,441
2021-01-26 00:00:00,9384,479
2021-01-27 00:00:00,10168,784
2021-01-28 00:00:00,11187,1019
2021-01-29 00:00:00,11878,691
2021-01-30 00:00:00,11899,21
2021-01-31 00:00:00,11912,13
2021-02-01 00:00:00,12180,268
2021-02-02 00:00:00,12398,218
2021-02-03 00:00:00,12957,559
2021-02-04 00:00:00,13363,406
2021-02-05 00:00:00,13839,476
2021-02-06 00:00:00,14003,164
2021-02-07 00:00:00,14014,11
2021-02-08 00:00:00,14540,526
2021-02-09 00:00:00,15370,830
2021-02-10 00:00:00,16748,1378
2021-02-11 00:00:00,18705,1957
2021-02-12 00:00:00,20098,1393
2021-02-13 00:00:00,20440,342
2021-02-14 00:00:00,20451,11
2021-02-15 00:00:00,20860,409
2021-02-16 00:00:00,21547,687
2021-02-17 00:00:00,22067,520
2021-02-18 00:00:00,22755,688
2021-02-19 00:00:00,23130,375
2021-02-20 00:00:00,23478,348
2021-02-21 00:00:00,23593,115
2021-02-22 00:00:00,23862,269
2021-02-23 00:00:00,24096,234
2021-02-24 00:00:00,25007,911
2021-02-25 00:00:00,27088,2081
2021-02-26 00:00:00,28558,1470
2021-02-27 00:00:00,29447,889
2021-02-28 00:00:00,29474,27
2021-03-01 00:00:00,29985,511
2021-03-02 00:00:00,30505,520
2021-03-03 00:00:00,31701,1196
2021-03-04 00:00:00,33340,1639
2021-03-05 00:00:00,34407,1067
2021-03-06 00:00:00,35425,1018
2021-03-07 00:00:00,35475,50
2021-03-08 00:00:00,36026,551
2021-03-09 00:00:00,36987,961
2021-03-10 00:00:00,38584,1597
2021-03-11 00:00:00,40654,2070
2021-03-12 00:00:00,42211,1557
2021-03-13 00:00:00,43025,814
2021-03-14 00:00:00,43052,27
2021-03-15 00:00:00,43983,931
2021-03-16 00:00:00,44910,927
2021-03-17 00:00:00,45872,962
2021-03-18 00:00:00,47220,1348
2021-03-19 00:00:00,48236,1016
2021-03-20 00:00:00,49142,906
2021-03-21 00:00:00,49175,33
2021-03-22 00:00:00,49732,557
2021-03-23 00:00:00,50101,369
2021-03-24 00:00:00,51094,993
2021-03-25 00:00:00,53492,2398
2021-03-26 00:00:00,54994,1502
2021-03-27 00:00:00,56028,1034
2021-03-28 00:00:00,56050,22
2021-03-29 00:00:00,56605,555
2021-03-30 00:00:00,57271,666
2021-03-31 00:00:00,58723,1452
2021-04-01 00:00:00,60953,2230
2021-04-02 00:00:00,62308,1355
2021-04-03 00:00:00,63622,1314
2021-04-04 00:00:00,63668,46
2021-04-05 00:00:00,64361,693
2021-04-06 00:00:00,65284,923
2021-04-07 00:00:00,66922,1638
2021-04-08 00:00:00,68588,1666
2021-04-09 00:00:00,69714,1126
2021-04-10 00:00:00,70497,783
2021-04-11 00:00:00,70584,87
2021-04-12 00:00:00,71290,706
2021-04-13 00:00:00,71839,549
2021-04-14 00:00:00,72952,1113
2021-04-15 00:00:00,75103,2151
2021-04-16 00:00:00,76251,1148
2021-04-17 00:00:00,77568,1317
2021-04-18 00:00:00,77606,38
