date,20-34,35-44,45-54,55-64,65+,<20,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino,20-34_Cochise,35-44_Cochise,45-54_Cochise,55-64_Cochise,65+_Cochise,<20_Cochise,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham,20-34_Greenlee,35-44_Greenlee,45-54_Greenlee,55-64_Greenlee,65+_Greenlee,<20_Greenlee,20-34_Gila,35-44_Gila,45-54_Gila,55-64_Gila,65+_Gila,<20_Gila,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave,20-34_Navajo,35-44_Navajo,45-54_Navajo,55-64_Navajo,65+_Navajo,<20_Navajo,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
1/1/2021,21118,22685,20628,17978,11981,203,145.0,138.0,180.0,183.0,232.0,3.0,643.0,728.0,560.0,430,347.0,3.0,345.0,314.0,268.0,278.0,199,3.0,179.0,185.0,162.0,186.0,241.0,5.0,16.0,16.0,27.0,20.0,36.0,,161.0,149.0,168.0,207.0,196.0,6.0,11.0,8.0,20.0,14.0,16.0,,11866,12920,12005,9676,5494,117,302.0,387.0,428.0,501.0,326.0,7.0,213.0,262.0,261.0,317.0,887.0,7.0,647.0,993.0,932,749,498.0,5.0,4390,4413,3650,3441,2020,26.0,315.0,413.0,430.0,647.0,401,8.0,112.0,94.0,53.0,59.0,47.0,1.0,946,864,630,481.0,217,7.0
1/10/2021,34847,34783,32724,29614,28676,481,178.0,187.0,251.0,293.0,654.0,10.0,1162.0,1134.0,934.0,781,696.0,16.0,468.0,448.0,377.0,389.0,627,6.0,275.0,303.0,303.0,311.0,518.0,8.0,23.0,21.0,39.0,33.0,88.0,1.0,312.0,342.0,412.0,530.0,1013.0,16.0,29.0,19.0,41.0,39.0,30.0,,20198,19883,18811,15779,10954,242,455.0,560.0,637.0,749.0,786.0,12.0,366.0,445.0,457.0,559.0,2143.0,33.0,1198.0,1730.0,1713,1464,2242.0,17.0,6689,6375,5524,5356,4489,68.0,573.0,697.0,805.0,1114.0,913,12.0,268.0,206.0,156.0,152.0,178.0,8.0,1292,1201,920,709.0,492,12.0
1/11/2021,36784,36593,34666,31290,32416,541,182.0,192.0,259.0,308.0,736.0,11.0,1235.0,1218.0,1011.0,832,759.0,17.0,480.0,462.0,399.0,405.0,825,6.0,282.0,315.0,311.0,326.0,564.0,8.0,23.0,21.0,39.0,33.0,88.0,1.0,327.0,359.0,429.0,563.0,1089.0,16.0,29.0,19.0,41.0,40.0,33.0,,21444,20994,20019,16748,12707,278,472.0,574.0,668.0,788.0,884.0,12.0,402.0,495.0,522.0,607.0,2323.0,36.0,1248.0,1815.0,1798,1529,2420.0,21.0,7006,6651,5794,5643,4864,79.0,582.0,706.0,813.0,1132.0,939,13.0,285.0,226.0,182.0,170.0,193.0,8.0,1353,1288,983,748.0,832,12.0
1/12/2021,39597,39276,37449,33808,39936,655,191.0,203.0,271.0,337.0,852.0,11.0,1342.0,1306.0,1083.0,916,954.0,18.0,486.0,468.0,403.0,414.0,1039,6.0,291.0,323.0,324.0,355.0,629.0,11.0,26.0,27.0,44.0,39.0,105.0,1.0,335.0,364.0,438.0,578.0,1123.0,16.0,29.0,19.0,42.0,40.0,39.0,,23459,22968,22038,18408,17445,370,492.0,598.0,697.0,835.0,1046.0,12.0,428.0,523.0,582.0,676.0,2539.0,37.0,1340.0,1931.0,1916,1629,2701.0,23.0,7336,6909,6059,5903,5370,90.0,601.0,732.0,841.0,1183.0,1024,13.0,305.0,241.0,205.0,197.0,238.0,9.0,1416,1355,1059,802.0,1153,14.0
1/13/2021,42384,42184,40545,36502,48661,747,193.0,213.0,291.0,367.0,937.0,13.0,1404.0,1371.0,1161.0,994,1208.0,19.0,505.0,499.0,424.0,438.0,1349,6.0,302.0,332.0,336.0,372.0,727.0,11.0,29.0,33.0,45.0,42.0,133.0,1.0,340.0,371.0,447.0,585.0,1159.0,16.0,57.0,47.0,79.0,83.0,63.0,,25505,25092,24244,20067,22935,442,510.0,629.0,741.0,879.0,1210.0,13.0,448.0,542.0,606.0,741.0,2693.0,38.0,1453.0,2073.0,2063,1805,3107.0,26.0,7557,7145,6300,6149,5805,100.0,646.0,780.0,930.0,1274.0,1205,14.0,314.0,250.0,211.0,206.0,406.0,9.0,1503,1429,1134,864.0,1488,14.0
1/14/2021,45160,45219,43768,39501,57984,817,210.0,236.0,308.0,422.0,1154.0,16.0,1505.0,1456.0,1254.0,1081,1476.0,19.0,510.0,507.0,437.0,449.0,1597,6.0,318.0,364.0,363.0,420.0,849.0,12.0,37.0,40.0,61.0,64.0,143.0,1.0,350.0,387.0,466.0,615.0,1304.0,16.0,58.0,47.0,79.0,84.0,67.0,1.0,27478,27217,26510,21958,28888,486,543.0,660.0,790.0,944.0,1409.0,14.0,479.0,587.0,644.0,825.0,2883.0,47.0,1553.0,2261.0,2221,1952,3627.0,27.0,7867,7455,6616,6444,6223,105.0,679.0,825.0,985.0,1348.0,1315,16.0,325.0,261.0,220.0,217.0,568.0,9.0,1522,1446,1163,887.0,1576,14.0
1/15/2021,48657,48450,47130,42614,67073,937,218.0,237.0,325.0,446.0,1224.0,21.0,1620.0,1553.0,1331.0,1181,2211.0,20.0,515.0,514.0,447.0,459.0,2024,6.0,427.0,478.0,470.0,546.0,977.0,32.0,40.0,41.0,65.0,66.0,148.0,1.0,406.0,433.0,507.0,671.0,1338.0,23.0,60.0,47.0,79.0,84.0,70.0,1.0,29699,29241,28613,23727,33685,555,568.0,705.0,828.0,1010.0,1642.0,15.0,511.0,631.0,702.0,902.0,3123.0,48.0,1676.0,2418.0,2396,2088,4000.0,29.0,8500,8024,7194,7009,7512,116.0,694.0,836.0,998.0,1367.0,1361,16.0,341.0,275.0,231.0,226.0,733.0,10.0,1551,1462,1183,914.0,1665,14.0
1/16/2021,50458,50029,48803,44227,72434,984,218.0,237.0,326.0,449.0,1238.0,21.0,1631.0,1569.0,1346.0,1204,2314.0,20.0,531.0,519.0,455.0,471.0,2380,6.0,430.0,478.0,471.0,546.0,1032.0,32.0,40.0,41.0,65.0,66.0,149.0,1.0,406.0,434.0,508.0,672.0,1340.0,23.0,60.0,48.0,79.0,85.0,71.0,1.0,31080,30442,29880,24890,36838,590,579.0,722.0,844.0,1050.0,1909.0,17.0,515.0,632.0,703.0,904.0,3131.0,48.0,1737.0,2509.0,2494,2180,4618.0,32.0,8742,8217,7379,7176,7778,120.0,716.0,866.0,1042.0,1414.0,1505,18.0,347.0,277.0,231.0,226.0,738.0,10.0,1555,1464,1186,915.0,1670,14.0
1/17/2021,51574,51051,49874,45315,75884,1025,218.0,237.0,327.0,449.0,1238.0,21.0,1637.0,1578.0,1353.0,1208,2321.0,20.0,534.0,520.0,458.0,472.0,2393,6.0,431.0,478.0,471.0,546.0,1034.0,32.0,40.0,41.0,65.0,66.0,149.0,1.0,406.0,434.0,508.0,672.0,1343.0,23.0,60.0,48.0,79.0,86.0,72.0,1.0,32058,31341,30841,25858,39942,626,580.0,725.0,844.0,1053.0,1933.0,17.0,517.0,633.0,703.0,905.0,3133.0,48.0,1756.0,2541.0,2537,2215,4672.0,32.0,8825,8278,7424,7233,7907,123.0,718.0,868.0,1045.0,1418.0,1521,19.0,348.0,278.0,231.0,227.0,742.0,10.0,1557,1467,1187,916.0,1674,14.0
1/18/2021,53228,52588,51610,47041,83649,1069,225.0,244.0,339.0,458.0,1265.0,21.0,1705.0,1650.0,1409.0,1260,2386.0,23.0,537.0,525.0,465.0,481.0,2570,6.0,444.0,482.0,485.0,559.0,1109.0,32.0,43.0,42.0,66.0,70.0,156.0,1.0,409.0,442.0,514.0,695.0,1410.0,23.0,61.0,49.0,80.0,88.0,79.0,1.0,33107,32284,31992,26974,44904,657,598.0,743.0,866.0,1083.0,2143.0,18.0,530.0,644.0,733.0,933.0,3155.0,48.0,1822.0,2656.0,2604,2307,4889.0,33.0,9171,8593,7740,7522,9474,130.0,725.0,871.0,1058.0,1439.0,1668,20.0,350.0,283.0,233.0,232.0,748.0,10.0,1566,1473,1196,920.0,1691,14.0
