date,20-34_Navajo,35-44_Navajo,45-54_Navajo,55-64_Navajo,65+_Navajo,<20_Navajo
1/1/2021,213,262,261,317,887,7
1/10/2021,366,445,457,559,2143,33
1/11/2021,402,495,522,607,2323,36
1/12/2021,428,523,582,676,2539,37
1/13/2021,448,542,606,741,2693,38
1/14/2021,479,587,644,825,2883,47
1/15/2021,511,631,702,902,3123,48
1/16/2021,515,632,703,904,3131,48
1/17/2021,517,633,703,905,3133,48
1/18/2021,530,644,733,933,3155,48
1/19/2021,562,669,772,1014,3303,49
1/2/2021,214,262,261,317,888,7
1/20/2021,585,706,825,1100,3450,55
1/21/2021,666,783,924,1240,3637,71
1/22/2021,736,837,976,1337,3761,87
1/23/2021,740,839,979,1342,3886,121
1/24/2021,741,840,979,1343,3899,123
1/25/2021,754,853,1003,1394,4012,125
1/26/2021,781,873,1032,1447,4150,127
1/27/2021,802,893,1055,1483,4310,140
1/28/2021,950,978,1163,1603,4520,190
1/29/2021,1023,1024,1228,1696,4751,249
1/3/2021,214,262,261,318,889,7
1/30/2021,1035,1041,1279,1725,4771,249
1/31/2021,1035,1042,1281,1726,4777,249
1/4/2021,229,281,278,346,1013,7
1/5/2021,273,313,317,381,1234,7
1/6/2021,286,335,337,408,1575,26
1/7/2021,325,405,425,504,1948,32
1/8/2021,365,444,456,554,2140,33
1/9/2021,366,445,456,559,2143,33
12/10/2020,,,,1,1,1
12/11/2020,,,,1,1,1
12/12/2020,,,,1,1,1
12/13/2020,,,,1,1,1
12/14/2020,,,,2,1,1
12/15/2020,,1,1,2,1,1
12/16/2020,5,4,5,4,2,1
12/17/2020,7,11,13,14,5,1
12/18/2020,15,23,23,19,16,1
12/19/2020,16,23,23,20,16,1
12/2/2020,,,,,,1
12/20/2020,16,23,23,21,16,1
12/21/2020,17,23,23,21,19,2
12/22/2020,20,35,39,28,57,2
12/23/2020,48,66,61,58,106,3
12/24/2020,61,84,76,72,151,3
12/25/2020,63,85,77,72,151,3
12/26/2020,63,85,78,72,151,3
12/27/2020,64,85,78,72,151,3
12/28/2020,102,137,136,147,267,3
12/29/2020,125,184,188,212,450,4
12/3/2020,,,,,,1
12/30/2020,166,224,229,265,632,5
12/31/2020,210,259,261,314,807,7
12/4/2020,,,,1,,1
12/5/2020,,,,1,,1
12/6/2020,,,,1,,1
12/7/2020,,,,1,,1
12/8/2020,,,,1,,1
12/9/2020,,,,1,,1
2/1/2021,1054,1061,1313,1811,5027,262
2/10/2021,1251,1298,1704,2448,6710,457
2/11/2021,1372,1381,1771,2553,6968,495
2/12/2021,1434,1430,1817,2625,7220,513
2/13/2021,1637,1533,1908,2703,7326,552
2/14/2021,1640,1534,1911,2709,7356,554
2/15/2021,1648,1539,1918,2723,7446,555
2/16/2021,1677,1561,1952,2760,7730,577
2/17/2021,1727,1603,2004,2806,7970,661
2/18/2021,1763,1633,2041,2863,8176,681
2/19/2021,1811,1662,2078,2907,8261,696
2/2/2021,1069,1075,1341,1839,5265,269
2/20/2021,1842,1677,2093,2922,8280,717
2/21/2021,1844,1677,2095,2923,8292,720
2/22/2021,1900,1716,2136,2958,8346,732
2/23/2021,1970,1755,2169,3028,8471,767
2/24/2021,2006,1778,2187,3076,8596,777
2/25/2021,2053,1826,2235,3152,8882,908
2/26/2021,2115,1869,2281,3187,9002,990
2/27/2021,2129,1877,2287,3202,9040,992
2/28/2021,2132,1877,2291,3206,9046,994
2/3/2021,1091,1102,1371,1900,5573,272
2/4/2021,1106,1130,1417,1954,5792,291
2/5/2021,1122,1147,1448,2083,5948,298
2/6/2021,1158,1198,1586,2317,6045,397
2/7/2021,1158,1198,1587,2317,6053,398
2/8/2021,1188,1238,1625,2345,6250,411
2/9/2021,1198,1263,1657,2389,6458,422
3/1/2021,2173,1902,2312,3232,9137,1003
3/10/2021,2417,2054,2525,3751,10072,1162
3/11/2021,2449,2086,2546,3875,10264,1170
3/12/2021,2471,2097,2564,3950,10362,1175
3/13/2021,2481,2099,2572,3970,10393,1178
3/14/2021,2481,2100,2573,3979,10407,1179
3/15/2021,2506,2121,2627,4142,10563,1193
3/16/2021,2533,2138,2654,4184,10639,1199
3/17/2021,2577,2177,2700,4296,10749,1202
3/18/2021,2624,2208,2738,4440,10956,1228
3/19/2021,2651,2232,2768,4509,11046,1237
3/2/2021,2210,1922,2333,3276,9259,1011
3/20/2021,2658,2235,2770,4518,11069,1242
3/21/2021,2660,2235,2774,4521,11086,1246
3/22/2021,2693,2264,2797,4574,11161,1251
3/23/2021,2732,2307,2853,4689,11372,1288
3/24/2021,2780,2365,2906,4787,11486,1323
3/25/2021,2819,2389,2948,4863,11587,1358
3/26/2021,2851,2416,2992,4926,11646,1396
3/27/2021,2890,2435,3012,4941,11659,1402
3/28/2021,2898,2437,3014,4947,11662,1404
3/29/2021,2940,2468,3057,5007,11745,1412
