date,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham
1/1/2021,179,185,162,186,241,5
1/10/2021,275,303,303,311,518,8
1/11/2021,282,315,311,326,564,8
1/12/2021,291,323,324,355,629,11
1/13/2021,302,332,336,372,727,11
1/14/2021,318,364,363,420,849,12
1/15/2021,427,478,470,546,977,32
1/16/2021,430,478,471,546,1032,32
1/17/2021,431,478,471,546,1034,32
1/18/2021,444,482,485,559,1109,32
1/19/2021,452,495,493,579,1162,33
1/2/2021,180,185,162,187,242,5
1/20/2021,477,506,509,599,1242,33
1/21/2021,491,514,517,622,1374,35
1/22/2021,557,571,553,663,1438,41
1/23/2021,564,581,563,670,1646,41
1/24/2021,565,581,565,670,1646,41
1/25/2021,579,591,582,687,1691,42
1/26/2021,588,597,586,700,1761,42
1/27/2021,614,612,608,718,1870,44
1/28/2021,639,641,647,748,1953,44
1/29/2021,684,671,668,781,2174,53
1/3/2021,180,185,162,187,242,5
1/30/2021,719,697,689,788,2180,56
1/31/2021,719,697,689,789,2180,56
1/4/2021,199,218,197,207,276,6
1/5/2021,211,231,213,223,330,7
1/6/2021,229,256,230,244,366,8
1/7/2021,252,271,253,262,458,8
1/8/2021,275,303,303,311,517,8
1/9/2021,275,303,303,311,518,8
12/17/2020,24,18,9,19,9,1
12/18/2020,41,35,20,37,13,1
12/19/2020,41,35,20,37,13,1
12/20/2020,41,35,20,37,13,2
12/21/2020,56,45,29,46,17,2
12/22/2020,61,59,38,58,23,2
12/23/2020,92,90,74,81,33,2
12/24/2020,110,101,80,98,42,2
12/25/2020,110,101,80,98,42,2
12/26/2020,111,103,82,99,46,2
12/27/2020,112,103,83,99,46,2
12/28/2020,133,124,100,125,110,4
12/29/2020,154,150,123,140,178,4
12/30/2020,165,172,144,167,215,5
12/31/2020,179,183,162,186,239,5
2/1/2021,729,706,699,794,2228,57
2/10/2021,872,777,791,891,3006,74
2/11/2021,892,804,827,925,3074,76
2/12/2021,928,830,850,972,3144,82
2/13/2021,933,835,851,988,3286,82
2/14/2021,933,835,851,988,3286,82
2/15/2021,938,838,856,991,3318,82
2/16/2021,956,850,867,1009,3356,85
2/17/2021,969,861,877,1019,3401,87
2/18/2021,1007,902,920,1048,3438,97
2/19/2021,1042,927,942,1073,3463,100
2/2/2021,739,714,711,806,2290,58
2/20/2021,1051,932,949,1082,3477,117
2/21/2021,1051,932,949,1082,3477,117
2/22/2021,1065,938,959,1093,3499,120
2/23/2021,1083,952,972,1110,3538,122
2/24/2021,1106,966,989,1128,3571,126
2/25/2021,1131,987,1008,1152,3620,127
2/26/2021,1139,999,1020,1170,3654,127
2/27/2021,1145,1009,1022,1172,3656,128
2/28/2021,1145,1009,1023,1172,3664,128
2/3/2021,751,725,718,812,2423,59
2/4/2021,756,732,725,823,2517,60
2/5/2021,774,740,744,847,2592,61
2/6/2021,807,754,755,859,2783,64
2/7/2021,807,754,755,859,2783,64
2/8/2021,840,762,762,866,2841,72
2/9/2021,851,767,772,872,2914,73
3/1/2021,1166,1025,1040,1196,3689,135
3/10/2021,1323,1138,1159,1504,3889,150
3/11/2021,1343,1151,1177,1565,3918,150
3/12/2021,1410,1195,1216,1656,3951,156
3/13/2021,1416,1198,1222,1732,3964,158
3/14/2021,1417,1198,1222,1732,3966,158
3/15/2021,1429,1213,1243,1814,4026,161
3/16/2021,1435,1223,1254,1867,4053,161
3/17/2021,1457,1238,1280,1928,4096,164
3/18/2021,1479,1248,1305,1960,4130,167
3/19/2021,1508,1258,1326,1984,4149,176
3/2/2021,1194,1042,1061,1238,3712,138
3/20/2021,1511,1258,1326,1988,4155,176
3/21/2021,1512,1259,1327,1988,4156,176
3/22/2021,1542,1292,1358,2000,4168,177
3/23/2021,1582,1316,1389,2039,4183,184
