date,icu_covid,icu_non_covid,icu_empty
2021-05-27,170,1313,263
2021-05-26,154,1331,261
2021-05-25,151,1327,268
2021-05-24,144,1296,301
2021-05-23,144,1305,299
2021-05-22,137,1339,268
2021-05-21,160,1332,255
2021-05-20,167,1310,269
2021-05-19,174,1311,253
2021-05-18,176,1299,261
2021-05-17,193,1264,276
2021-05-16,199,1255,280
2021-05-15,189,1277,272
2021-05-14,188,1286,268
2021-05-13,193,1291,259
2021-05-12,198,1297,248
2021-05-11,190,1301,252
2021-05-10,185,1273,280
2021-05-09,191,1270,274
2021-05-08,190,1314,236
2021-05-07,184,1328,237
2021-05-06,182,1313,236
2021-05-05,191,1291,249
2021-05-04,183,1280,267
2021-05-03,184,1273,274
2021-05-02,189,1288,250
2021-05-01,196,1294,241
2021-04-30,187,1294,255
2021-04-29,189,1310,237
2021-04-28,189,1327,221
2021-04-27,190,1301,235
2021-04-26,185,1287,253
2021-04-25,184,1303,233
2021-04-24,185,1303,239
2021-04-23,174,1305,246
2021-04-22,187,1287,253
2021-04-21,175,1305,254
2021-04-20,169,1320,248
2021-04-19,155,1301,280
2021-04-18,145,1301,291
2021-04-17,150,1310,275
2021-04-16,154,1340,247
2021-04-15,154,1332,254
2021-04-14,162,1325,247
2021-04-13,150,1314,269
2021-04-12,150,1292,287
2021-04-11,148,1324,260
2021-04-10,149,1315,269
2021-04-09,147,1331,256
2021-04-08,149,1325,264
2021-04-07,140,1347,246
2021-04-06,152,1350,235
2021-04-05,149,1308,274
2021-04-04,148,1308,273
2021-04-03,162,1318,259
2021-04-02,153,1322,264
2021-04-01,152,1322,264
2021-03-31,168,1311,254
2021-03-30,164,1287,280
2021-03-28,169,1290,274
2021-03-27,160,1302,274
2021-03-26,181,1298,252
2021-03-25,165,1298,263
2021-03-24,165,1304,261
2021-03-23,162,1299,269
2021-03-22,175,1277,276
2021-03-21,180,1285,263
2021-03-20,173,1305,254
2021-03-19,182,1293,259
2021-03-18,184,1279,266
2021-03-17,200,1287,252
2021-03-16,208,1252,277
2021-03-15,206,1231,299
2021-03-14,210,1256,280
2021-03-13,215,1264,276
2021-03-12,238,1250,262
2021-03-11,236,1295,221
2021-03-10,250,1257,236
2021-03-09,251,1231,264
2021-03-08,255,1202,283
2021-03-07,256,1224,269
2021-03-06,273,1223,255
2021-03-05,280,1208,263
2021-03-04,325,1202,233
2021-03-03,343,1187,235
2021-03-02,381,1158,221
2021-03-01,385,1104,253
