Category,value
Apache,571
Cochise,517
Coconino,442
Gila,341
Graham,165
Greenlee,30
La Paz,118
Maricopa,"14,936"
Mohave,"1,292"
Navajo,819
Pima,"3,484"
Pinal,"1,457"
Santa Cruz,214
Yavapai,"1,080"
Yuma,"1,064"
Female,10978
Male,15539
20-44y,1473
45-54y,2110
55-64y,4232
65+,18656
<20y,59
"White, non-Hispanic",13983
Hispanic or Latino,7112
"American Indian or Alaska Native, non-Hispanic",1866
"Black or African American, non-Hispanic",814
"Asian or Pacific Islander, non-Hispanic",314
Other Race,726
Unknown,1715
