date,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham
1/1/2021,164,177,156,182,237,4
1/1/2022,3638,2680,2516,2830,4434,2294
1/10/2021,256,288,289,298,510,5
1/10/2022,3680,2695,2527,2844,4445,2407
1/11/2021,262,300,296,312,547,5
1/11/2022,3681,2698,2527,2844,4447,2429
1/12/2021,271,307,310,340,604,7
1/12/2022,3686,2700,2529,2846,4449,2441
1/13/2021,281,317,321,358,693,7
1/13/2022,3696,2705,2536,2848,4453,2467
1/14/2021,294,347,346,402,805,7
1/14/2022,3706,2713,2537,2850,4453,2507
1/15/2021,402,461,455,526,929,22
1/15/2022,3707,2714,2543,2850,4453,2507
1/16/2021,403,461,455,526,983,22
1/16/2022,3707,2714,2543,2850,4453,2507
1/17/2021,403,461,455,526,984,22
1/17/2022,3713,2717,2544,2852,4453,2512
1/18/2021,416,466,465,540,1031,22
1/18/2022,3720,2717,2544,2854,4454,2527
1/19/2021,423,480,473,560,1072,23
1/19/2022,3724,2719,2544,2854,4454,2536
1/2/2021,165,177,156,183,238,4
1/2/2022,3638,2680,2518,2830,4434,2295
1/20/2021,446,488,487,578,1132,23
1/20/2022,3735,2722,2545,2854,4456,2563
1/21/2021,459,494,496,600,1238,24
1/21/2022,3748,2723,2545,2855,4456,2581
1/22/2021,526,549,531,641,1296,28
1/22/2022,3749,2723,2545,2856,4456,2582
1/23/2021,532,560,541,648,1505,28
1/23/2022,3750,2724,2545,2856,4456,2582
1/24/2021,532,560,543,648,1505,28
1/24/2022,3759,2728,2545,2857,4457,2602
1/25/2021,543,569,556,666,1535,29
1/25/2022,3763,2730,2546,2858,4457,2611
1/26/2021,551,573,559,673,1601,29
1/26/2022,3766,2730,2547,2859,4458,2620
1/27/2021,564,581,578,685,1667,30
1/27/2022,3775,2732,2550,2860,4461,2626
1/28/2021,587,609,610,711,1731,30
1/28/2022,3780,2734,2552,2864,4462,2654
1/29/2021,631,640,629,744,1946,36
1/29/2022,3783,2737,2553,2864,4462,2661
1/3/2021,165,177,156,183,238,4
1/3/2022,3644,2683,2518,2831,4435,2306
1/30/2021,665,664,651,752,1952,39
1/30/2022,3784,2737,2553,2864,4462,2661
1/31/2021,665,664,651,753,1952,39
1/31/2022,3784,2739,2554,2865,4463,2669
1/4/2021,184,208,184,201,273,4
1/4/2022,3645,2685,2518,2833,4436,2320
1/5/2021,194,222,198,215,329,4
1/5/2022,3648,2685,2519,2835,4436,2331
1/6/2021,212,245,215,234,367,5
1/6/2022,3659,2688,2520,2837,4440,2346
1/7/2021,234,258,237,252,454,5
1/7/2022,3667,2692,2522,2837,4442,2386
1/8/2021,256,288,289,298,509,5
1/8/2022,3669,2694,2524,2840,4443,2397
1/9/2021,256,288,289,298,510,5
1/9/2022,3672,2694,2524,2840,4443,2398
10/1/2021,3242,2463,2351,2707,4296,1466
10/10/2021,3276,2485,2369,2713,4305,1482
10/11/2021,3281,2492,2371,2713,4306,1484
10/12/2021,3283,2495,2375,2714,4308,1487
10/13/2021,3287,2495,2377,2716,4309,1489
10/14/2021,3295,2501,2382,2716,4309,1490
10/15/2021,3308,2507,2385,2718,4310,1492
10/16/2021,3313,2508,2386,2718,4311,1494
10/17/2021,3315,2509,2386,2718,4311,1494
10/18/2021,3320,2513,2389,2718,4312,1496
10/19/2021,3323,2515,2392,2719,4313,1498
10/2/2021,3242,2464,2351,2707,4296,1470
10/20/2021,3328,2517,2392,2720,4313,1502
10/21/2021,3335,2522,2393,2722,4315,1508
10/22/2021,3341,2525,2396,2726,4315,1515
10/23/2021,3343,2526,2396,2727,4315,1518
10/24/2021,3343,2526,2396,2729,4315,1519
10/25/2021,3349,2527,2396,2731,4317,1520
10/26/2021,3354,2529,2396,2731,4319,1521
10/27/2021,3360,2531,2396,2731,4322,1523
10/28/2021,3368,2547,2402,2733,4323,1535
10/29/2021,3371,2549,2405,2734,4325,1539
10/3/2021,3242,2466,2351,2707,4296,1470
10/30/2021,3375,2549,2407,2735,4326,1539
10/31/2021,3376,2549,2407,2735,4326,1539
10/4/2021,3244,2470,2355,2708,4296,1471
10/5/2021,3250,2473,2358,2708,4298,1473
10/6/2021,3255,2474,2362,2709,4300,1473
10/7/2021,3265,2480,2365,2710,4302,1477
10/8/2021,3269,2482,2366,2710,4304,1482
10/9/2021,3273,2483,2368,2712,4304,1482
11/1/2021,3379,2549,2408,2735,4327,1542
11/10/2021,3417,2566,2421,2745,4344,1626
11/11/2021,3418,2567,2422,2745,4344,1635
11/12/2021,3422,2569,2427,2748,4346,1653
11/13/2021,3423,2570,2427,2748,4347,1658
11/14/2021,3424,2570,2427,2748,4348,1658
11/15/2021,3430,2571,2430,2751,4352,1670
11/16/2021,3432,2575,2431,2751,4354,1686
