Category,value
Apache,542
Cochise,469
Coconino,416
Gila,311
Graham,158
Greenlee,27
La Paz,109
Maricopa,"13,737"
Mohave,"1,183"
Navajo,750
Pima,"3,177"
Pinal,"1,320"
Santa Cruz,206
Yavapai,964
Yuma,985
Female,10078
Male,14263
20-44y,1330
45-54y,1901
55-64y,3850
65+,17220
<20y,53
"White, non-Hispanic",12622
Hispanic or Latino,6643
"American Indian or Alaska Native, non-Hispanic",1787
"Black or African American, non-Hispanic",742
"Asian or Pacific Islander, non-Hispanic",301
Other Race,676
Unknown,1583
