date,pcr_tests_YUMA,pcr_pos_tests_YUMA,pcr_positivity_YUMA,ser_tests_YUMA,ser_pos_tests_YUMA,ser_positivity_YUMA
2021-06-05 00:00:00,2,0,0,,,
2021-06-04 00:00:00,150,1,0.0066666666666667,,,
2021-06-03 00:00:00,148,5,0.0337837837837838,3.0,3.0,1
2021-06-02 00:00:00,173,2,0.0115606936416185,7.0,5.0,0.7142857142857144
2021-06-01 00:00:00,239,2,0.0083682008368201,8.0,5.0,0.625
2021-05-31 00:00:00,47,0,0,,,
2021-05-30 00:00:00,71,1,0.0140845070422535,1.0,0.0,0
2021-05-29 00:00:00,87,1,0.0114942528735632,,,
2021-05-28 00:00:00,249,7,0.0281124497991968,5.0,2.0,0.4
2021-05-27 00:00:00,152,7,0.0460526315789474,6.0,6.0,1
2021-05-26 00:00:00,192,7,0.0364583333333333,9.0,7.0,0.7777777777777778
2021-05-25 00:00:00,204,5,0.0245098039215686,4.0,2.0,0.5
2021-05-24 00:00:00,237,5,0.0210970464135021,2.0,2.0,1
2021-05-23 00:00:00,74,7,0.0945945945945946,,,
2021-05-22 00:00:00,85,1,0.0117647058823529,3.0,1.0,0.3333333333333333
2021-05-21 00:00:00,303,10,0.033003300330033,5.0,2.0,0.4
2021-05-20 00:00:00,338,1,0.0029585798816568,7.0,4.0,0.5714285714285714
2021-05-19 00:00:00,183,4,0.0218579234972678,6.0,4.0,0.6666666666666666
2021-05-18 00:00:00,230,8,0.0347826086956522,4.0,3.0,0.75
2021-05-17 00:00:00,390,3,0.0076923076923077,3.0,3.0,1
2021-05-16 00:00:00,56,2,0.0357142857142857,2.0,2.0,1
2021-05-15 00:00:00,78,2,0.0256410256410256,1.0,0.0,0
2021-05-14 00:00:00,241,3,0.012448132780083,19.0,11.0,0.5789473684210528
2021-05-13 00:00:00,242,5,0.0206611570247934,39.0,19.0,0.4871794871794872
2021-05-12 00:00:00,250,6,0.024,56.0,37.0,0.6607142857142858
2021-05-11 00:00:00,320,7,0.021875,3.0,2.0,0.6666666666666666
2021-05-10 00:00:00,366,8,0.0218579234972678,4.0,3.0,0.75
2021-05-09 00:00:00,65,1,0.0153846153846154,,,
2021-05-08 00:00:00,84,2,0.0238095238095238,4.0,2.0,0.5
2021-05-07 00:00:00,240,4,0.0166666666666667,3.0,1.0,0.3333333333333333
2021-05-06 00:00:00,260,9,0.0346153846153846,5.0,3.0,0.6
2021-05-05 00:00:00,344,6,0.0174418604651163,5.0,3.0,0.6
2021-05-04 00:00:00,333,10,0.03003003003003,13.0,8.0,0.6153846153846154
2021-05-03 00:00:00,476,10,0.0210084033613445,11.0,5.0,0.4545454545454546
2021-05-02 00:00:00,60,3,0.05,1.0,1.0,1
2021-05-01 00:00:00,81,3,0.037037037037037,1.0,0.0,0
2021-04-30 00:00:00,250,14,0.056,12.0,6.0,0.5
2021-04-29 00:00:00,218,9,0.0412844036697248,9.0,8.0,0.8888888888888888
2021-04-28 00:00:00,249,8,0.0321285140562249,4.0,1.0,0.25
2021-04-27 00:00:00,368,7,0.0190217391304348,12.0,8.0,0.6666666666666666
2021-04-26 00:00:00,296,6,0.0202702702702703,8.0,1.0,0.125
2021-04-25 00:00:00,62,3,0.0483870967741936,,,
2021-04-24 00:00:00,91,4,0.043956043956044,1.0,1.0,1
2021-04-23 00:00:00,273,15,0.0549450549450549,8.0,5.0,0.625
2021-04-22 00:00:00,227,5,0.0220264317180617,11.0,5.0,0.4545454545454546
2021-04-21 00:00:00,283,4,0.0141342756183746,11.0,6.0,0.5454545454545454
