date,pcr_tests_COCHISE,pcr_pos_tests_COCHISE,pcr_positivity_COCHISE,ser_tests_COCHISE,ser_pos_tests_COCHISE,ser_positivity_COCHISE
2021-03-26 00:00:00,217,8,0.0368663594470046,8.0,4.0,0.5
2021-03-25 00:00:00,248,10,0.0403225806451613,21.0,10.0,0.4761904761904762
2021-03-24 00:00:00,210,6,0.0285714285714286,19.0,6.0,0.3157894736842105
2021-03-23 00:00:00,299,17,0.0568561872909699,32.0,16.0,0.5
2021-03-22 00:00:00,297,15,0.0505050505050505,7.0,2.0,0.2857142857142857
2021-03-21 00:00:00,93,6,0.0645161290322581,,,
2021-03-20 00:00:00,116,13,0.1120689655172414,1.0,0.0,0
2021-03-19 00:00:00,236,7,0.0296610169491525,14.0,4.0,0.2857142857142857
2021-03-18 00:00:00,191,7,0.0366492146596859,13.0,2.0,0.1538461538461539
2021-03-17 00:00:00,223,12,0.0538116591928251,20.0,11.0,0.55
2021-03-16 00:00:00,280,8,0.0285714285714286,14.0,9.0,0.642857142857143
2021-03-15 00:00:00,309,12,0.0388349514563107,12.0,6.0,0.5
2021-03-14 00:00:00,74,6,0.0810810810810811,,,
2021-03-13 00:00:00,108,5,0.0462962962962963,,,
2021-03-12 00:00:00,246,18,0.0731707317073171,12.0,4.0,0.3333333333333333
2021-03-11 00:00:00,365,18,0.0493150684931507,14.0,6.0,0.4285714285714286
2021-03-10 00:00:00,252,6,0.0238095238095238,8.0,5.0,0.625
2021-03-09 00:00:00,297,6,0.0202020202020202,7.0,1.0,0.1428571428571429
2021-03-08 00:00:00,332,14,0.0421686746987952,4.0,2.0,0.5
2021-03-07 00:00:00,119,4,0.0336134453781513,,,
2021-03-06 00:00:00,133,9,0.0676691729323308,2.0,1.0,0.5
2021-03-05 00:00:00,200,20,0.1,8.0,2.0,0.25
2021-03-04 00:00:00,290,12,0.0413793103448276,12.0,4.0,0.3333333333333333
2021-03-03 00:00:00,259,11,0.0424710424710425,13.0,1.0,0.0769230769230769
2021-03-02 00:00:00,293,12,0.0409556313993174,7.0,3.0,0.4285714285714286
2021-03-01 00:00:00,403,12,0.0297766749379653,18.0,5.0,0.2777777777777778
2021-02-28 00:00:00,106,11,0.1037735849056604,,,
2021-02-27 00:00:00,154,14,0.0909090909090909,,,
2021-02-26 00:00:00,323,15,0.0464396284829721,7.0,1.0,0.1428571428571429
2021-02-25 00:00:00,351,17,0.0484330484330484,8.0,3.0,0.375
2021-02-24 00:00:00,258,11,0.0426356589147287,10.0,1.0,0.1
2021-02-23 00:00:00,519,16,0.0308285163776493,14.0,6.0,0.4285714285714286
2021-02-22 00:00:00,523,19,0.0363288718929254,23.0,4.0,0.1739130434782609
2021-02-21 00:00:00,130,18,0.1384615384615385,,,
2021-02-20 00:00:00,200,21,0.105,,,
2021-02-19 00:00:00,362,33,0.0911602209944751,18.0,5.0,0.2777777777777778
2021-02-18 00:00:00,397,14,0.035264483627204,8.0,1.0,0.125
2021-02-17 00:00:00,573,38,0.0663176265270506,15.0,7.0,0.4666666666666668
2021-02-16 00:00:00,1024,57,0.0556640625,13.0,4.0,0.3076923076923077
2021-02-15 00:00:00,373,20,0.0536193029490617,7.0,5.0,0.7142857142857144
2021-02-14 00:00:00,125,12,0.096,1.0,0.0,0
2021-02-13 00:00:00,208,20,0.0961538461538462,,,
2021-02-12 00:00:00,353,18,0.0509915014164306,18.0,11.0,0.6111111111111112
2021-02-11 00:00:00,435,13,0.0298850574712644,13.0,6.0,0.4615384615384616
2021-02-10 00:00:00,292,20,0.0684931506849315,14.0,8.0,0.5714285714285714
2021-02-09 00:00:00,382,22,0.0575916230366492,13.0,2.0,0.1538461538461539
2021-02-08 00:00:00,552,13,0.0235507246376812,26.0,12.0,0.4615384615384616
2021-02-07 00:00:00,147,9,0.0612244897959184,1.0,0.0,0
2021-02-06 00:00:00,190,22,0.1157894736842105,1.0,0.0,0
2021-02-05 00:00:00,414,30,0.072463768115942,14.0,5.0,0.3571428571428572
2021-02-04 00:00:00,400,28,0.07,7.0,2.0,0.2857142857142857
2021-02-03 00:00:00,368,25,0.0679347826086957,16.0,5.0,0.3125
2021-02-02 00:00:00,560,38,0.0678571428571429,16.0,4.0,0.25
2021-02-01 00:00:00,409,34,0.0831295843520782,22.0,3.0,0.1363636363636364
2021-01-31 00:00:00,163,19,0.1165644171779141,,,
2021-01-30 00:00:00,301,32,0.106312292358804,,,
2021-01-29 00:00:00,452,44,0.0973451327433628,9.0,0.0,0
2021-01-28 00:00:00,436,29,0.0665137614678899,8.0,3.0,0.375
2021-01-27 00:00:00,385,46,0.1194805194805195,14.0,6.0,0.4285714285714286
2021-01-26 00:00:00,462,45,0.0974025974025974,16.0,8.0,0.5
2021-01-25 00:00:00,582,39,0.0670103092783505,22.0,6.0,0.2727272727272727
2021-01-24 00:00:00,181,20,0.1104972375690608,,,
2021-01-23 00:00:00,375,40,0.1066666666666667,2.0,0.0,0
2021-01-22 00:00:00,443,60,0.1354401805869075,18.0,6.0,0.3333333333333333
2021-01-21 00:00:00,594,79,0.132996632996633,14.0,5.0,0.3571428571428572
2021-01-20 00:00:00,543,64,0.1178637200736648,17.0,6.0,0.3529411764705883
2021-01-19 00:00:00,692,81,0.1170520231213873,10.0,3.0,0.3
2021-01-18 00:00:00,1028,78,0.075875486381323,13.0,6.0,0.4615384615384616
2021-01-17 00:00:00,305,41,0.1344262295081967,2.0,1.0,0.5
2021-01-16 00:00:00,393,54,0.1374045801526718,5.0,4.0,0.8
2021-01-15 00:00:00,604,73,0.1208609271523179,16.0,8.0,0.5
2021-01-14 00:00:00,645,70,0.1085271317829457,22.0,5.0,0.2272727272727273
2021-01-13 00:00:00,587,77,0.131175468483816,11.0,5.0,0.4545454545454546
2021-01-12 00:00:00,654,76,0.1162079510703364,15.0,6.0,0.4
2021-01-11 00:00:00,1014,109,0.1074950690335306,17.0,4.0,0.2352941176470588
2021-01-10 00:00:00,424,68,0.160377358490566,,,
2021-01-09 00:00:00,426,70,0.1643192488262911,,,
2021-01-08 00:00:00,734,99,0.1348773841961853,19.0,1.0,0.0526315789473684
2021-01-07 00:00:00,1054,120,0.1138519924098672,11.0,2.0,0.1818181818181818
2021-01-06 00:00:00,503,117,0.2326043737574553,9.0,2.0,0.2222222222222222
2021-01-05 00:00:00,982,184,0.1873727087576375,27.0,4.0,0.1481481481481482
2021-01-04 00:00:00,1235,194,0.157085020242915,21.0,4.0,0.1904761904761905
2021-01-03 00:00:00,300,61,0.2033333333333334,1.0,0.0,0
2021-01-02 00:00:00,540,104,0.1925925925925926,1.0,1.0,1
2021-01-01 00:00:00,200,29,0.145,,,
2020-12-31 00:00:00,1053,158,0.1500474833808167,10.0,2.0,0.2
2020-12-30 00:00:00,552,101,0.1829710144927536,15.0,2.0,0.1333333333333333
2020-12-29 00:00:00,768,127,0.1653645833333334,20.0,3.0,0.15
2020-12-28 00:00:00,1227,173,0.1409942950285249,9.0,3.0,0.3333333333333333
2020-12-27 00:00:00,243,61,0.2510288065843622,1.0,0.0,0
2020-12-26 00:00:00,164,46,0.2804878048780488,1.0,1.0,1
2020-12-25 00:00:00,82,16,0.1951219512195122,,,
2020-12-24 00:00:00,647,76,0.1174652241112828,3.0,1.0,0.3333333333333333
2020-12-23 00:00:00,753,110,0.1460823373173971,15.0,4.0,0.2666666666666667
2020-12-22 00:00:00,760,134,0.1763157894736842,10.0,1.0,0.1
2020-12-21 00:00:00,1144,126,0.1101398601398601,17.0,3.0,0.1764705882352941
2020-12-20 00:00:00,421,53,0.1258907363420428,,,
2020-12-19 00:00:00,803,81,0.1008717310087173,1.0,0.0,0
2020-12-18 00:00:00,730,99,0.1356164383561644,12.0,6.0,0.5
2020-12-17 00:00:00,802,101,0.1259351620947631,17.0,3.0,0.1764705882352941
2020-12-16 00:00:00,532,105,0.1973684210526316,14.0,1.0,0.0714285714285714
2020-12-15 00:00:00,658,108,0.1641337386018237,20.0,3.0,0.15
2020-12-14 00:00:00,1162,149,0.1282271944922547,24.0,5.0,0.2083333333333334
2020-12-13 00:00:00,303,47,0.1551155115511551,3.0,1.0,0.3333333333333333
2020-12-12 00:00:00,315,47,0.1492063492063492,,,
2020-12-11 00:00:00,555,91,0.163963963963964,13.0,0.0,0
2020-12-10 00:00:00,778,115,0.1478149100257069,14.0,3.0,0.2142857142857143
2020-12-09 00:00:00,839,155,0.1847437425506556,7.0,1.0,0.1428571428571429
2020-12-08 00:00:00,865,127,0.1468208092485549,12.0,2.0,0.1666666666666667
2020-12-07 00:00:00,903,122,0.1351052048726468,24.0,3.0,0.125
2020-12-06 00:00:00,290,46,0.1586206896551724,2.0,1.0,0.5
2020-12-05 00:00:00,471,60,0.1273885350318471,1.0,0.0,0
2020-12-04 00:00:00,537,77,0.143389199255121,21.0,1.0,0.0476190476190476
2020-12-03 00:00:00,701,100,0.1426533523537803,30.0,6.0,0.2
2020-12-02 00:00:00,568,110,0.1936619718309859,17.0,3.0,0.1764705882352941
2020-12-01 00:00:00,954,132,0.1383647798742138,11.0,2.0,0.1818181818181818
2020-11-30 00:00:00,792,112,0.1414141414141414,20.0,1.0,0.05
2020-11-29 00:00:00,221,47,0.2126696832579186,1.0,0.0,0
2020-11-28 00:00:00,417,62,0.1486810551558753,3.0,1.0,0.3333333333333333
2020-11-27 00:00:00,238,44,0.184873949579832,7.0,1.0,0.1428571428571429
2020-11-26 00:00:00,55,5,0.0909090909090909,,,
2020-11-25 00:00:00,471,53,0.1125265392781316,16.0,3.0,0.1875
2020-11-24 00:00:00,534,73,0.1367041198501873,21.0,2.0,0.0952380952380952
2020-11-23 00:00:00,644,70,0.108695652173913,14.0,1.0,0.0714285714285714
2020-11-22 00:00:00,324,42,0.1296296296296296,,,
2020-11-21 00:00:00,679,71,0.1045655375552283,1.0,0.0,0
2020-11-20 00:00:00,413,63,0.152542372881356,20.0,2.0,0.1
