date,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham
1/1/2021,176,182,163,192,245,5
1/10/2021,271,300,302,315,530,6
1/11/2021,278,312,310,329,577,6
1/12/2021,287,319,324,357,643,9
1/13/2021,298,328,336,374,741,9
1/14/2021,314,359,362,421,866,10
1/15/2021,422,474,470,548,995,27
1/16/2021,425,474,471,548,1050,27
1/17/2021,426,474,471,548,1052,27
1/18/2021,438,479,484,560,1130,27
1/19/2021,445,494,492,580,1183,28
1/2/2021,177,182,163,193,246,5
1/20/2021,469,505,508,600,1264,28
1/21/2021,484,513,518,623,1398,29
1/22/2021,552,569,553,665,1463,33
1/23/2021,558,580,563,672,1672,33
1/24/2021,559,580,565,672,1672,33
1/25/2021,572,591,580,691,1717,34
1/26/2021,581,597,584,704,1788,34
1/27/2021,607,611,607,721,1899,36
1/28/2021,631,641,645,750,1984,36
1/29/2021,676,673,664,784,2205,43
1/3/2021,177,182,163,193,246,5
1/30/2021,711,697,687,791,2211,46
1/31/2021,711,697,687,792,2211,46
1/4/2021,196,216,197,212,282,5
1/5/2021,208,230,213,228,336,5
1/6/2021,226,254,230,249,374,6
1/7/2021,249,269,251,267,468,6
1/8/2021,271,300,302,315,529,6
1/9/2021,271,300,302,315,530,6
10/1/2021,3733,2810,2693,3177,5143,1663
10/10/2021,3784,2841,2716,3187,5158,1686
10/11/2021,3792,2849,2717,3187,5159,1688
10/12/2021,3795,2855,2722,3188,5161,1691
10/13/2021,3800,2855,2726,3192,5162,1695
10/14/2021,3810,2860,2731,3192,5162,1697
10/15/2021,3821,2867,2736,3195,5164,1699
10/16/2021,3828,2868,2737,3196,5165,1701
10/17/2021,3830,2869,2737,3196,5165,1701
10/18/2021,3837,2879,2740,3196,5166,1703
10/19/2021,3842,2881,2743,3197,5167,1705
10/2/2021,3734,2811,2693,3177,5145,1663
10/20/2021,3846,2883,2743,3198,5167,1709
10/21/2021,3853,2890,2745,3200,5169,1715
10/22/2021,3861,2893,2747,3204,5171,1725
10/23/2021,3865,2894,2747,3205,5171,1729
10/24/2021,3866,2894,2747,3207,5171,1731
10/25/2021,3875,2895,2748,3210,5173,1732
10/26/2021,3882,2897,2749,3210,5175,1734
10/27/2021,3887,2899,2749,3210,5177,1735
10/28/2021,3897,2915,2755,3212,5179,1748
10/29/2021,3904,2917,2759,3216,5182,1754
10/3/2021,3735,2813,2693,3177,5145,1663
10/30/2021,3908,2917,2761,3217,5183,1756
10/31/2021,3909,2917,2761,3217,5183,1756
10/4/2021,3738,2822,2697,3179,5146,1666
10/5/2021,3747,2824,2700,3180,5148,1668
10/6/2021,3755,2826,2708,3181,5150,1668
10/7/2021,3769,2833,2711,3183,5153,1678
10/8/2021,3776,2838,2714,3183,5157,1683
10/9/2021,3782,2839,2715,3186,5157,1686
11/1/2021,3911,2917,2762,3217,5184,1759
11/10/2021,3956,2935,2775,3229,5206,1851
11/11/2021,3958,2936,2777,3230,5208,1860
11/12/2021,3963,2940,2780,3233,5210,1879
11/13/2021,3965,2941,2780,3233,5212,1892
11/14/2021,3966,2941,2781,3233,5214,1893
11/15/2021,3972,2943,2783,3236,5218,1904
11/16/2021,3976,2944,2783,3236,5221,1919
11/17/2021,3980,2946,2787,3239,5222,1942
11/18/2021,3984,2949,2791,3242,5225,2002
11/19/2021,3992,2955,2799,3248,5229,2054
11/2/2021,3915,2919,2762,3217,5186,1763
11/20/2021,3994,2957,2800,3248,5231,2057
11/21/2021,4000,2958,2800,3250,5232,2059
11/22/2021,4010,2962,2803,3252,5233,2076
11/23/2021,4016,2968,2807,3252,5236,2089
11/24/2021,4024,2974,2808,3253,5236,2101
11/25/2021,4024,2974,2808,3253,5236,2101
11/26/2021,4030,2974,2810,3253,5237,2112
11/27/2021,4031,2974,2812,3253,5237,2112
11/28/2021,4032,2974,2812,3254,5237,2112
11/29/2021,4035,2975,2814,3261,5238,2122
11/3/2021,3917,2921,2762,3217,5192,1767
11/30/2021,4047,2982,2818,3268,5243,2134
11/4/2021,3926,2921,2764,3218,5196,1771
11/5/2021,3938,2924,2768,3222,5197,1808
11/6/2021,3940,2926,2769,3223,5198,1812
11/7/2021,3941,2927,2770,3224,5198,1813
11/8/2021,3945,2930,2772,3225,5201,1829
11/9/2021,3952,2931,2772,3225,5203,1841
12/1/2021,4053,2985,2822,3270,5246,2158
12/10/2021,4115,3011,2853,3294,5283,2309
12/11/2021,4117,3012,2853,3295,5283,2310
12/12/2021,4118,3014,2854,3295,5283,2311
12/13/2021,4120,3016,2856,3295,5287,2314
12/17/2020,23,18,10,19,9,1
12/18/2020,39,36,20,37,14,1
12/19/2020,39,36,20,37,14,1
12/2/2021,4064,2991,2826,3273,5256,2186
12/20/2020,39,36,20,37,14,2
12/21/2020,54,46,29,46,18,2
12/22/2020,59,60,36,60,24,2
12/23/2020,90,91,71,84,34,2
12/24/2020,108,101,77,101,44,2
12/25/2020,108,101,77,101,44,2
12/26/2020,109,103,79,102,48,2
12/27/2020,110,103,80,102,48,2
12/28/2020,130,124,96,130,112,4
12/29/2020,151,148,121,145,180,4
12/3/2021,4074,3001,2834,3282,5264,2237
12/30/2020,162,170,142,172,217,5
12/31/2020,176,181,159,192,241,5
12/4/2021,4079,3003,2837,3284,5268,2240
12/5/2021,4080,3004,2838,3284,5269,2240
12/6/2021,4085,3005,2840,3287,5272,2257
12/7/2021,4092,3005,2844,3289,5273,2263
12/8/2021,4097,3005,2844,3289,5274,2276
12/9/2021,4101,3006,2850,3293,5283,2283
2/1/2021,721,706,700,796,2266,47
2/10/2021,861,779,791,895,3046,62
2/11/2021,881,805,828,928,3115,64
2/12/2021,918,831,851,975,3184,70
2/13/2021,923,836,851,990,3327,70
2/14/2021,923,836,851,990,3327,70
2/15/2021,928,839,856,992,3356,70
2/16/2021,945,851,867,1010,3394,73
2/17/2021,958,863,876,1020,3439,74
2/18/2021,996,904,918,1049,3478,83
2/19/2021,1033,928,940,1074,3504,84
2/2/2021,731,714,712,807,2329,48
2/20/2021,1043,933,947,1082,3518,100
2/21/2021,1043,933,947,1082,3518,100
2/22/2021,1057,939,957,1093,3539,103
2/23/2021,1075,953,970,1110,3577,105
2/24/2021,1099,967,986,1129,3611,108
2/25/2021,1124,987,1005,1152,3662,109
2/26/2021,1132,998,1017,1171,3695,109
2/27/2021,1138,1008,1019,1173,3698,110
2/28/2021,1138,1008,1021,1173,3706,110
2/3/2021,743,725,717,815,2462,49
2/4/2021,749,731,725,826,2556,49
2/5/2021,766,740,744,850,2631,50
2/6/2021,799,754,756,862,2822,52
2/7/2021,799,754,756,862,2822,52
2/8/2021,830,764,762,870,2880,60
2/9/2021,840,770,771,877,2953,61
3/1/2021,1160,1024,1039,1198,3732,117
3/10/2021,1320,1133,1158,1508,3939,129
3/11/2021,1339,1147,1175,1568,3970,129
3/12/2021,1405,1190,1216,1659,4003,134
3/13/2021,1411,1193,1222,1731,4020,136
3/14/2021,1412,1193,1222,1731,4022,136
3/15/2021,1425,1208,1243,1810,4086,138
3/16/2021,1431,1218,1254,1861,4115,138
3/17/2021,1451,1235,1280,1920,4160,141
3/18/2021,1473,1245,1304,1952,4195,144
3/19/2021,1505,1255,1324,1977,4214,150
3/2/2021,1189,1041,1059,1240,3756,120
3/20/2021,1508,1255,1324,1981,4220,150
3/21/2021,1509,1256,1324,1982,4221,150
3/22/2021,1538,1291,1354,1995,4233,150
3/23/2021,1581,1313,1386,2033,4250,154
3/24/2021,1625,1334,1415,2074,4278,162
3/25/2021,1660,1355,1451,2113,4299,163
3/26/2021,1702,1383,1485,2148,4322,166
3/27/2021,1739,1408,1499,2155,4332,176
3/28/2021,1739,1408,1499,2155,4333,176
3/29/2021,1754,1424,1528,2203,4349,183
3/3/2021,1228,1065,1077,1279,3813,123
3/30/2021,1776,1443,1547,2225,4367,186
3/31/2021,1811,1473,1617,2274,4387,186
3/4/2021,1256,1086,1100,1324,3841,125
3/5/2021,1262,1096,1111,1348,3853,125
3/6/2021,1269,1098,1116,1362,3859,126
3/7/2021,1270,1098,1116,1362,3860,127
3/8/2021,1280,1106,1128,1395,3886,127
3/9/2021,1299,1119,1144,1445,3911,128
4/1/2021,1853,1503,1650,2317,4399,191
4/10/2021,2076,1727,1829,2437,4487,232
4/11/2021,2076,1727,1830,2440,4488,232
4/12/2021,2083,1733,1839,2452,4500,233
