date,Mohave_cume,Mohave
2020-12-01,1,
2020-12-12,2,1
2020-12-16,4,2
2020-12-18,6,2
2020-12-21,18,12
2020-12-22,79,61
2020-12-23,289,210
2020-12-24,423,134
2020-12-26,587,164
2020-12-27,648,61
2020-12-28,917,269
2020-12-29,1298,381
2020-12-30,1636,338
2020-12-31,1912,276
2021-01-01,1982,70
2021-01-02,2031,49
2021-01-03,2057,26
2021-01-04,2245,188
2021-01-05,2379,134
2021-01-06,2631,252
2021-01-07,2883,252
2021-01-08,3141,258
2021-01-09,3197,56
2021-01-10,3247,50
2021-01-11,3446,199
2021-01-12,3731,285
2021-01-13,4037,306
2021-01-14,4421,384
2021-01-15,4834,413
2021-01-16,5189,355
2021-01-17,5220,31
2021-01-18,5592,372
2021-01-19,5921,329
2021-01-20,6486,565
2021-01-21,6932,446
2021-01-22,7348,416
2021-01-23,8155,807
2021-01-24,8772,617
2021-01-25,9327,555
2021-01-26,9953,626
2021-01-27,10763,810
2021-01-28,11675,912
2021-01-29,12201,526
2021-01-30,12662,461
2021-01-31,13191,529
2021-02-01,13868,677
2021-02-02,14482,614
2021-02-03,15633,1151
2021-02-04,16346,713
2021-02-05,17009,663
2021-02-06,17349,340
2021-02-07,17535,186
2021-02-08,17932,397
2021-02-09,18375,443
2021-02-10,19338,963
2021-02-11,19977,639
2021-02-12,20883,906
2021-02-13,21382,499
2021-02-14,21491,109
2021-02-15,22034,543
2021-02-16,22602,568
2021-02-17,23138,536
2021-02-18,23518,380
2021-02-19,23934,416
2021-02-20,24094,160
2021-02-21,24157,63
2021-02-22,24464,307
2021-02-23,24704,240
2021-02-24,25452,748
2021-02-25,26473,1021
2021-02-26,27362,889
2021-02-27,28187,825
2021-02-28,28708,521
2021-03-01,29586,878
2021-03-02,30535,949
2021-03-03,32786,2251
2021-03-04,34284,1498
2021-03-05,35836,1552
2021-03-06,36662,826
2021-03-07,37090,428
2021-03-08,37890,800
2021-03-09,38852,962
2021-03-10,40780,1928
2021-03-11,42371,1591
2021-03-12,43780,1409
2021-03-13,44604,824
2021-03-14,44974,370
2021-03-15,45777,803
2021-03-16,46780,1003
2021-03-17,48575,1795
2021-03-18,49889,1314
2021-03-19,51073,1184
2021-03-20,52242,1169
2021-03-21,52788,546
2021-03-22,54046,1258
2021-03-23,55271,1225
2021-03-24,56801,1530
2021-03-25,58210,1409
2021-03-26,59747,1537
2021-03-27,60756,1009
2021-03-28,61565,809
2021-03-29,63099,1534
2021-03-30,64610,1511
2021-03-31,66848,2238
2021-04-01,68571,1723
2021-04-02,70086,1515
2021-04-03,70807,721
2021-04-04,71099,292
2021-04-05,72310,1211
2021-04-06,73674,1364
2021-04-07,75360,1686
2021-04-08,76851,1491
2021-04-09,78457,1606
2021-04-10,79428,971
2021-04-11,79862,434
2021-04-12,81856,1994
2021-04-13,82921,1065
2021-04-14,84647,1726
2021-04-15,86153,1506
2021-04-16,87407,1254
2021-04-17,88286,879
2021-04-18,88717,431
2021-04-19,89743,1026
2021-04-20,90911,1168
2021-04-21,92287,1376
2021-04-22,93555,1268
2021-04-23,94856,1301
2021-04-24,95648,792
2021-04-25,95976,328
2021-04-26,97169,1193
2021-04-27,98520,1351
2021-04-28,99771,1251
2021-04-29,100938,1167
2021-04-30,102157,1219
2021-05-01,102823,666
2021-05-02,103065,242
2021-05-03,103882,817
2021-05-04,104742,860
2021-05-05,105682,940
2021-05-06,106491,809
2021-05-07,107335,844
2021-05-08,107927,592
2021-05-09,108064,137
2021-05-10,108648,584
2021-05-11,109255,607
2021-05-12,109790,535
2021-05-13,110561,771
2021-05-14,111250,689
2021-05-15,111663,413
2021-05-16,111833,170
2021-05-17,113071,1238
2021-05-18,113668,597
2021-05-19,114330,662
2021-05-20,115018,688
2021-05-21,115694,676
2021-05-22,116061,367
2021-05-23,116189,128
2021-05-24,116636,447
2021-05-25,117087,451
2021-05-26,117457,370
2021-05-27,117852,395
2021-05-28,118376,524
2021-05-29,118510,134
2021-05-30,118581,71
2021-05-31,118656,75
2021-06-01,119109,453
2021-06-02,119465,356
2021-06-03,119808,343
2021-06-04,120216,408
2021-06-05,120423,207
2021-06-06,120498,75
2021-06-07,120908,410
2021-06-08,121182,274
2021-06-09,121604,422
2021-06-10,121951,347
2021-06-11,122395,444
2021-06-12,122667,272
2021-06-13,122754,87
2021-06-14,123068,314
2021-06-15,123418,350
2021-06-16,123736,318
2021-06-17,123992,256
2021-06-18,124345,353
2021-06-19,124524,179
2021-06-20,124615,91
2021-06-21,124850,235
2021-06-22,125106,256
2021-06-23,125370,264
2021-06-24,125591,221
2021-06-25,125912,321
2021-06-26,126053,141
2021-06-27,126121,68
2021-06-28,126331,210
2021-06-29,126563,232
2021-06-30,126825,262
2021-07-01,127064,239
2021-07-02,127375,311
2021-07-03,127472,97
2021-07-04,127496,24
2021-07-05,127686,190
2021-07-06,127888,202
2021-07-07,128099,211
2021-07-08,128328,229
2021-07-09,128605,277
2021-07-10,128790,185
2021-07-11,128858,68
2021-07-12,129089,231
