Category,value
Apache,528
Cochise,429
Coconino,400
Gila,290
Graham,143
Greenlee,23
La Paz,105
Maricopa,"13,222"
Mohave,"1,099"
Navajo,711
Pima,"3,020"
Pinal,"1,240"
Santa Cruz,202
Yavapai,886
Yuma,945
Female,9609
Male,13621
20-44y,1251
45-54y,1799
55-64y,3645
65+,16498
<20y,50
"White, non-Hispanic",12034
Hispanic or Latino,6410
"American Indian or Alaska Native, non-Hispanic",1743
"Black or African American, non-Hispanic",712
"Asian or Pacific Islander, non-Hispanic",289
Other Race,645
Unknown,1410
