date,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa
1/1/2021,11638,13031,12209,9838,6031,99
1/10/2021,19815,20052,19075,16002,11804,199
1/11/2021,21047,21164,20296,16978,13637,231
1/12/2021,23026,23135,22312,18659,18444,310
1/13/2021,25029,25259,24532,20329,23994,373
1/14/2021,26960,27384,26805,22236,30012,410
1/15/2021,29156,29394,28924,24025,34909,466
1/16/2021,30516,30585,30198,25198,38086,495
1/17/2021,31474,31484,31159,26164,41225,520
1/18/2021,32518,32416,32311,27287,46411,548
1/19/2021,33790,33627,33625,28582,52687,608
1/2/2021,13163,14405,13455,10924,6777,119
1/20/2021,35071,34901,35248,30121,59680,647
1/21/2021,36547,36400,37103,31986,67819,693
1/22/2021,39412,39031,40058,34999,75740,781
1/23/2021,42015,41089,42538,37480,80583,852
1/24/2021,43276,42266,43819,38890,85708,895
1/25/2021,44575,43419,45250,40474,93168,940
1/26/2021,46234,44863,46978,42362,104017,993
1/27/2021,47707,46173,48480,44007,114388,1027
1/28/2021,48914,47255,49707,45426,125232,1056
1/29/2021,50941,48924,51423,47257,135917,1118
1/3/2021,13895,14985,13970,11360,7022,134
1/30/2021,52672,50326,53014,48826,140916,1175
1/31/2021,53289,50872,53654,49508,144573,1200
1/4/2021,14916,15920,14920,12158,7890,141
1/5/2021,15865,16760,15781,12967,8670,156
1/6/2021,17033,17717,16744,13894,9417,165
1/7/2021,17944,18525,17564,14677,10175,176
1/8/2021,18754,19199,18224,15247,10667,180
1/9/2021,19440,19747,18764,15703,11479,195
10/1/2021,491274,348606,361551,382263,617648,216870
10/10/2021,496751,351499,363907,384043,620040,219603
10/11/2021,497570,351930,364257,384336,620456,219999
10/12/2021,497939,352105,364426,384463,620638,220211
10/13/2021,498518,352412,364707,384680,620978,220485
10/14/2021,499231,352755,365031,384928,621329,220763
10/15/2021,500126,353198,365425,385204,621612,221099
10/16/2021,500737,353440,365646,385379,621756,221346
10/17/2021,501172,353620,365773,385470,621846,221503
10/18/2021,501898,354006,366110,385742,622218,221785
10/19/2021,502521,354369,366353,385966,622526,222075
10/2/2021,491928,348925,361833,382463,617848,217227
10/20/2021,503167,354717,366598,386192,622820,222412
10/21/2021,503791,355061,366880,386397,623102,222675
10/22/2021,504536,355503,367258,386710,623520,223035
10/23/2021,504990,355751,367507,386855,623716,223267
10/24/2021,505282,355921,367651,386984,623877,223402
10/25/2021,505984,356320,367970,387292,624356,223703
10/26/2021,506648,356681,368292,387540,624839,223974
10/27/2021,507336,357039,368658,387839,625333,224272
10/28/2021,507987,357396,368963,388115,625802,224531
10/29/2021,508643,357841,369353,388427,626173,224853
10/3/2021,492231,349068,361938,382555,617957,217378
10/30/2021,509006,358043,369520,388591,626317,225020
10/31/2021,509213,358156,369614,388667,626435,225092
10/4/2021,493052,349464,362276,382796,618397,217747
10/5/2021,493827,349899,362615,383038,618833,218112
10/6/2021,494597,350303,362950,383272,619169,218501
10/7/2021,495119,350627,363214,383494,619443,218784
10/8/2021,495812,350991,363500,383729,619703,219158
10/9/2021,496410,351313,363752,383919,619885,219456
11/1/2021,509857,358469,369914,388912,626817,225321
11/10/2021,515520,361474,372572,390970,629763,240581
11/11/2021,516185,361805,372878,391213,630162,243697
11/12/2021,516904,362212,373229,391474,630501,246389
11/13/2021,517360,362481,373428,391654,630669,250596
11/14/2021,517705,362661,373600,391783,630828,251462
11/15/2021,518448,363063,373936,392081,631257,253311
11/16/2021,519161,363427,374260,392367,631712,254960
11/17/2021,519822,363778,374555,392682,632249,257032
