Category,value
tests,10486516
day,
pos,
est_pos,
total_pos,
0_5,
Less than 20 years,1594272
20 - 44 years,4530476
45 - 54 years,1413907
55 - 64 years,1326003
65 years and older,1603293
Unknown,18565
positive,0.0970295568137216
