date,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima
1/1/2021,4330,4476,3757,3542,2341,25
1/10/2021,6601,6471,5636,5474,4935,57
1/11/2021,6913,6749,5906,5761,5327,68
1/12/2021,7241,7011,6171,6023,5851,76
1/13/2021,7457,7251,6413,6273,6305,84
1/14/2021,7760,7560,6732,6567,6738,89
1/15/2021,8382,8130,7314,7134,8057,97
1/16/2021,8622,8325,7498,7298,8335,100
1/17/2021,8704,8384,7544,7355,8472,103
1/18/2021,9048,8692,7864,7648,10043,108
1/19/2021,9419,8975,8191,7975,11718,118
1/2/2021,4503,4601,3859,3655,2469,26
1/20/2021,9914,9518,8706,8459,13863,129
1/21/2021,10314,9960,9198,8945,16978,138
1/22/2021,11010,10643,9947,9690,20042,151
1/23/2021,11288,10877,10139,9891,21835,156
1/24/2021,11431,11007,10250,9997,22162,159
1/25/2021,12148,11649,10993,10753,25431,174
1/26/2021,12859,12226,11654,11402,28475,183
1/27/2021,13582,12820,12317,12121,31663,191
1/28/2021,14419,13458,12995,12842,35007,204
1/29/2021,15338,14187,13724,13597,38100,222
1/3/2021,4591,4693,3930,3711,2523,28
1/30/2021,15986,14621,14075,13999,40826,228
1/31/2021,16156,14732,14190,14136,41579,232
1/4/2021,4927,5017,4193,3996,2786,37
1/5/2021,5261,5343,4457,4284,3109,40
1/6/2021,5676,5681,4880,4651,3451,47
1/7/2021,5977,5916,5090,4930,3870,51
1/8/2021,6251,6202,5377,5211,4132,54
1/9/2021,6503,6375,5548,5398,4862,57
10/1/2021,130493,83442,82876,99983,199959,57881
10/10/2021,131901,84183,83390,100433,200479,58592
10/11/2021,132094,84297,83464,100497,200558,58706
10/12/2021,132212,84350,83496,100515,200600,58761
10/13/2021,132351,84433,83553,100564,200660,58841
10/14/2021,132560,84536,83623,100625,200742,58932
10/15/2021,132795,84645,83736,100699,200808,59028
10/16/2021,132906,84703,83772,100740,200842,59067
10/17/2021,132988,84739,83798,100752,200859,59107
10/18/2021,133175,84845,83865,100815,200916,59172
10/19/2021,133306,84926,83938,100875,200991,59247
10/2/2021,130598,83498,82925,100016,199994,57952
10/20/2021,133456,84991,84010,100929,201048,59322
10/21/2021,133609,85071,84101,100986,201098,59397
10/22/2021,133802,85176,84176,101068,201231,59476
10/23/2021,133905,85226,84214,101115,201321,59532
10/24/2021,133960,85251,84232,101139,201378,59574
10/25/2021,134131,85330,84292,101202,201585,59635
10/26/2021,134281,85437,84373,101292,201794,59719
10/27/2021,134476,85558,84458,101375,201996,59930
10/28/2021,134642,85632,84522,101454,202203,59986
10/29/2021,134837,85739,84607,101552,202382,60066
10/3/2021,130677,83534,82950,100031,200020,57991
10/30/2021,134914,85780,84631,101588,202485,60101
10/31/2021,134960,85805,84652,101603,202529,60118
10/4/2021,130901,83634,83032,100083,200106,58084
10/5/2021,131103,83728,83091,100151,200194,58163
10/6/2021,131316,83857,83162,100210,200263,58256
10/7/2021,131461,83953,83217,100275,200314,58340
10/8/2021,131722,84070,83307,100346,200385,58457
10/9/2021,131826,84134,83361,100400,200430,58548
11/1/2021,135149,85921,84746,101699,202737,60183
11/10/2021,136618,86720,85323,102323,204053,65498
11/11/2021,136752,86788,85399,102400,204218,66410
11/12/2021,136941,86882,85486,102482,204381,67368
11/13/2021,137034,86958,85544,102541,204455,68804
11/14/2021,137120,87028,85588,102579,204512,69805
11/15/2021,137337,87154,85700,102670,204658,70891
11/16/2021,137529,87253,85789,102756,204839,71718
11/17/2021,137706,87364,85858,102837,205049,72494
11/18/2021,137895,87469,85928,102918,205214,73093
11/19/2021,138106,87595,86020,103031,205355,73987
11/2/2021,135346,86029,84819,101769,202902,60279
11/20/2021,138224,87696,86096,103108,205417,74848
11/21/2021,138315,87756,86140,103161,205472,75174
11/22/2021,138403,87810,86189,103236,205536,75507
11/3/2021,135508,86121,84883,101838,203032,60441
11/4/2021,135662,86199,84951,101902,203196,60583
11/5/2021,135872,86298,85035,102003,203349,60810
11/6/2021,135970,86359,85068,102053,203460,61463
11/7/2021,136057,86412,85107,102095,203516,62384
11/8/2021,136278,86526,85200,102188,203719,63551
11/9/2021,136451,86613,85271,102258,203931,64494
12/1/2020,15,10,14,12,21,
12/10/2020,18,14,20,17,32,
12/11/2020,18,16,23,19,34,
12/12/2020,18,16,24,21,36,
12/13/2020,19,16,24,23,36,
12/14/2020,19,19,27,23,37,
12/15/2020,22,24,32,30,44,
12/16/2020,25,26,34,31,45,
12/17/2020,268,338,342,288,131,
12/18/2020,580,701,637,556,251,1
12/19/2020,784,908,781,662,313,1
12/2/2020,16,10,16,12,21,
12/20/2020,786,910,785,667,321,1
12/21/2020,1195,1285,1071,948,453,3
12/22/2020,1591,1674,1410,1237,587,5
