date,Apache_cume,Apache
2020-12-01,2,
2020-12-02,3,1
2020-12-03,5,2
2020-12-04,6,1
2020-12-07,8,2
2020-12-08,9,1
2020-12-09,11,2
2020-12-13,12,1
2020-12-15,16,4
2020-12-16,45,29
2020-12-17,92,47
2020-12-18,115,23
2020-12-19,116,1
2020-12-21,129,13
2020-12-22,136,7
2020-12-23,298,162
2020-12-24,307,9
2020-12-25,309,2
2020-12-26,311,2
2020-12-28,382,71
2020-12-29,712,330
2020-12-30,873,161
2020-12-31,949,76
2021-01-01,952,3
2021-01-02,957,5
2021-01-04,997,40
2021-01-05,1096,99
2021-01-06,1377,281
2021-01-07,1648,271
2021-01-08,1774,126
2021-01-09,1783,9
2021-01-10,1784,1
2021-01-11,1931,147
2021-01-12,2126,195
2021-01-13,2299,173
2021-01-14,2660,361
2021-01-15,2811,151
2021-01-16,2830,19
2021-01-17,2831,1
2021-01-18,2901,70
2021-01-19,3123,222
2021-01-20,3387,264
2021-01-21,3734,347
2021-01-22,4078,344
2021-01-23,4108,30
2021-01-24,4112,4
2021-01-25,4432,320
2021-01-26,4815,383
2021-01-27,5151,336
2021-01-28,5579,428
2021-01-29,5741,162
2021-01-30,5754,13
2021-01-31,5782,28
2021-02-01,6004,222
2021-02-02,6223,219
2021-02-03,6651,428
2021-02-04,7377,726
2021-02-05,7727,350
2021-02-06,7941,214
2021-02-07,7945,4
2021-02-08,8161,216
2021-02-09,8418,257
2021-02-10,9081,663
2021-02-11,9809,728
2021-02-12,10101,292
2021-02-13,10254,153
2021-02-14,10257,3
2021-02-15,10354,97
2021-02-16,10684,330
2021-02-17,11120,436
2021-02-18,11572,452
2021-02-19,11951,379
2021-02-20,12073,122
2021-02-21,12083,10
2021-02-22,12403,320
2021-02-23,12711,308
2021-02-24,13046,335
2021-02-25,13695,649
2021-02-26,13894,199
2021-02-27,14112,218
2021-02-28,14115,3
2021-03-01,14471,356
2021-03-02,14729,258
2021-03-03,15194,465
2021-03-04,15556,362
2021-03-05,15898,342
2021-03-06,15977,79
2021-03-07,15981,4
2021-03-08,16217,236
2021-03-09,16497,280
2021-03-10,17158,661
2021-03-11,17593,435
2021-03-12,17844,251
2021-03-13,17909,65
2021-03-14,17912,3
2021-03-15,18112,200
2021-03-16,18485,373
2021-03-17,18766,281
2021-03-18,19003,237
2021-03-19,19160,157
2021-03-20,19208,48
2021-03-21,19214,6
2021-03-22,19443,229
2021-03-23,19653,210
2021-03-24,20022,369
2021-03-25,20239,217
2021-03-26,20380,141
2021-03-27,20415,35
2021-03-28,20418,3
2021-03-29,20592,174
2021-03-30,20758,166
2021-03-31,20951,193
2021-04-01,21104,153
2021-04-02,21216,112
2021-04-03,21267,51
2021-04-04,21274,7
2021-04-05,21427,153
2021-04-06,21602,175
2021-04-07,21777,175
2021-04-08,21942,165
2021-04-09,22065,123
2021-04-10,22119,54
2021-04-11,22128,9
2021-04-12,22290,162
2021-04-13,22409,119
2021-04-14,22526,117
2021-04-15,22653,127
2021-04-16,22763,110
2021-04-17,22778,15
2021-04-18,22783,5
2021-04-19,22877,94
2021-04-20,22965,88
2021-04-21,23050,85
2021-04-22,23151,101
2021-04-23,23214,63
2021-04-24,23236,22
2021-04-25,23243,7
2021-04-26,23315,72
2021-04-27,23413,98
2021-04-28,23507,94
2021-04-29,23616,109
2021-04-30,23691,75
2021-05-01,23735,44
2021-05-02,23737,2
2021-05-03,23800,63
2021-05-04,23905,105
2021-05-05,23975,70
2021-05-06,24038,63
2021-05-07,24088,50
2021-05-08,24103,15
2021-05-09,24105,2
2021-05-10,24168,63
2021-05-11,24242,74
2021-05-12,24318,76
2021-05-13,24476,158
2021-05-14,24691,215
2021-05-15,25099,408
2021-05-16,25107,8
2021-05-17,25350,243
2021-05-18,25601,251
2021-05-19,25759,158
2021-05-20,25904,145
2021-05-21,25993,89
2021-05-22,26049,56
2021-05-23,26056,7
2021-05-24,26164,108
2021-05-25,26279,115
2021-05-26,26404,125
2021-05-27,26518,114
2021-05-28,26604,86
2021-05-29,26622,18
2021-05-30,26627,5
2021-05-31,26633,6
2021-06-01,26717,84
2021-06-02,26793,76
2021-06-03,26878,85
2021-06-04,27084,206
2021-06-05,27419,335
2021-06-06,27429,10
2021-06-07,27665,236
2021-06-08,27954,289
2021-06-09,28181,227
2021-06-10,28277,96
2021-06-11,28377,100
2021-06-12,28405,28
2021-06-13,28411,6
2021-06-14,28515,104
2021-06-15,28632,117
2021-06-16,28764,132
2021-06-17,28845,81
2021-06-18,28900,55
2021-06-19,28922,22
2021-06-20,28926,4
2021-06-21,29004,78
2021-06-22,29088,84
2021-06-23,29165,77
2021-06-24,29227,62
2021-06-25,29302,75
2021-06-26,29328,26
2021-06-27,29333,5
2021-06-28,29413,80
2021-06-29,29512,99
2021-06-30,29613,101
2021-07-01,29669,56
2021-07-02,29725,56
2021-07-03,29730,5
2021-07-04,29732,2
2021-07-05,29734,2
2021-07-06,29832,98
2021-07-07,29893,61
2021-07-08,29959,66
2021-07-09,30004,45
2021-07-10,30009,5
2021-07-11,30011,2
2021-07-12,30096,85
2021-07-13,30166,70
2021-07-14,30249,83
2021-07-15,30307,58
2021-07-16,30378,71
2021-07-17,30389,11
2021-07-18,30396,7
2021-07-19,30440,44
2021-07-20,30517,77
2021-07-21,30586,69
2021-07-22,30654,68
2021-07-23,30748,94
2021-07-24,30753,5
2021-07-25,30757,4
2021-07-26,30829,72
2021-07-27,30932,103
2021-07-28,31039,107
2021-07-29,31136,97
2021-07-30,31219,83
2021-07-31,31233,14
2021-08-01,31234,1
2021-08-02,31338,104
2021-08-03,31464,126
2021-08-04,31558,94
2021-08-05,31626,68
2021-08-06,31738,112
2021-08-07,31752,14
2021-08-08,31757,5
2021-08-09,31870,113
2021-08-10,31956,86
2021-08-11,32058,102
2021-08-12,32145,87
2021-08-13,32275,130
2021-08-14,32300,25
2021-08-15,32316,16
2021-08-16,32412,96
2021-08-17,32520,108
2021-08-18,32640,120
2021-08-19,32739,99
2021-08-20,32858,119
2021-08-21,32873,15
2021-08-22,32885,12
2021-08-23,32991,106
2021-08-24,33096,105
2021-08-25,33190,94
2021-08-26,33305,115
2021-08-27,33436,131
2021-08-28,33461,25
2021-08-29,33468,7
2021-08-30,33552,84
2021-08-31,33623,71
2021-09-01,33706,83
2021-09-02,33777,71
2021-09-03,33895,118
2021-09-04,33915,20
2021-09-05,33920,5
2021-09-06,33925,5
2021-09-07,33999,74
2021-09-08,34099,100
2021-09-09,34158,59
2021-09-10,34234,76
2021-09-11,34250,16
2021-09-12,34256,6
2021-09-13,34333,77
2021-09-14,34395,62
2021-09-15,34458,63
2021-09-16,34504,46
2021-09-17,34626,122
2021-09-18,34634,8
2021-09-19,34639,5
2021-09-20,34699,60
2021-09-21,34770,71
2021-09-22,34817,47
2021-09-23,34864,47
2021-09-24,34977,113
2021-09-25,35022,45
2021-09-26,35050,28
2021-09-27,35115,65
2021-09-28,35217,102
2021-09-29,35334,117
2021-09-30,35519,185
2021-10-01,35673,154
2021-10-02,35733,60
2021-10-03,35784,51
2021-10-04,35874,90
2021-10-05,36014,140
2021-10-06,36117,103
2021-10-07,36258,141
2021-10-08,36398,140
2021-10-09,36472,74
2021-10-10,36501,29
2021-10-11,36548,47
2021-10-12,36670,122
2021-10-13,36850,180
2021-10-14,36954,104
2021-10-15,37067,113
2021-10-16,37114,47
2021-10-17,37134,20
2021-10-18,37255,121
2021-10-19,37361,106
2021-10-20,37494,133
2021-10-21,37572,78
2021-10-22,37672,100
2021-10-23,37751,79
2021-10-24,37822,71
2021-10-25,37978,156
2021-10-26,38134,156
2021-10-27,38429,295
2021-10-28,38645,216
2021-10-29,38796,151
2021-10-30,38847,51
2021-10-31,38926,79
2021-11-01,39132,206
2021-11-02,39326,194
2021-11-03,39550,224
2021-11-04,39913,363
2021-11-05,40074,161
2021-11-06,40213,139
2021-11-07,40387,174
2021-11-08,40603,216
2021-11-09,40823,220
2021-11-10,41161,338
2021-11-11,41392,231
2021-11-12,41732,340
2021-11-13,41873,141
2021-11-14,42073,200
2021-11-15,42283,210
2021-11-16,42652,369
2021-11-17,42904,252
2021-11-18,43117,213
2021-11-19,43417,300
2021-11-20,43522,105
2021-11-21,43626,104
2021-11-22,43667,41
