date,pcr_tests_MARICOPA,pcr_positivity_MARICOPA,ser_tests_MARICOPA,ser_positivity_MARICOPA
2020-09-11 00:00:00,7,0,,
2020-09-10 00:00:00,1753,0.0262407301768397,141.0,0.1205673758865248
2020-09-09 00:00:00,5238,0.0355097365406644,458.0,0.148471615720524
2020-09-08 00:00:00,5302,0.0367785741229725,702.0,0.1495726495726496
2020-09-07 00:00:00,1502,0.0266311584553928,274.0,0.0583941605839416
2020-09-06 00:00:00,1486,0.0383580080753701,325.0,0.0584615384615385
2020-09-05 00:00:00,2332,0.0385934819897084,347.0,0.1008645533141211
2020-09-04 00:00:00,4732,0.0314877430262046,656.0,0.1417682926829268
2020-09-03 00:00:00,4294,0.0349324639031206,588.0,0.1683673469387755
2020-09-02 00:00:00,4354,0.0404225999081305,600.0,0.1666666666666667
2020-09-01 00:00:00,6014,0.033255736614566,787.0,0.1410419313850064
2020-08-31 00:00:00,6754,0.0433816997334913,802.0,0.1296758104738155
2020-08-30 00:00:00,1601,0.0399750156152405,238.0,0.0882352941176471
2020-08-29 00:00:00,1975,0.0546835443037975,342.0,0.0964912280701754
2020-08-28 00:00:00,3514,0.0438247011952191,940.0,0.1212765957446809
2020-08-27 00:00:00,3265,0.0578866768759571,700.0,0.1571428571428572
2020-08-26 00:00:00,3719,0.0543156762570584,739.0,0.1596752368064953
2020-08-25 00:00:00,3507,0.0479041916167665,858.0,0.1456876456876457
2020-08-24 00:00:00,4248,0.0489642184557439,912.0,0.1414473684210526
2020-08-23 00:00:00,2467,0.0421564653425213,274.0,0.0839416058394161
2020-08-22 00:00:00,2640,0.0636363636363636,370.0,0.1
2020-08-21 00:00:00,3569,0.0493135332025778,978.0,0.1676891615541922
2020-08-20 00:00:00,3553,0.0554461018857304,863.0,0.1541135573580533
2020-08-19 00:00:00,4018,0.0495271279243405,777.0,0.1518661518661519
2020-08-18 00:00:00,4933,0.0435840259476992,1012.0,0.133399209486166
2020-08-17 00:00:00,4715,0.0534464475079533,1080.0,0.1527777777777778
2020-08-16 00:00:00,2381,0.0529189416211676,341.0,0.1085043988269795
2020-08-15 00:00:00,3392,0.0745872641509434,388.0,0.134020618556701
2020-08-14 00:00:00,4734,0.0559780312632024,1056.0,0.1458333333333334
2020-08-13 00:00:00,3966,0.0680786686838124,1044.0,0.1733716475095785
2020-08-12 00:00:00,5732,0.0479762735519888,1043.0,0.1447746883988495
2020-08-11 00:00:00,5403,0.0620025911530631,1193.0,0.1567476948868399
2020-08-10 00:00:00,5665,0.059135039717564,1086.0,0.1335174953959484
2020-08-09 00:00:00,3325,0.0589473684210526,271.0,0.0774907749077491
2020-08-08 00:00:00,3768,0.0652866242038217,382.0,0.1204188481675393
2020-08-07 00:00:00,4562,0.071679088119246,1212.0,0.1361386138613862
2020-08-06 00:00:00,4257,0.0885600187925769,987.0,0.1752786220871327
2020-08-05 00:00:00,4065,0.0934809348093481,958.0,0.2150313152400835
2020-08-04 00:00:00,4143,0.090755491189959,1205.0,0.1609958506224067
2020-08-03 00:00:00,5184,0.0968364197530864,1261.0,0.1609833465503569
2020-08-02 00:00:00,2991,0.0912738214643932,280.0,0.1107142857142857
2020-08-01 00:00:00,4024,0.0862326043737575,369.0,0.1436314363143632
2020-07-31 00:00:00,5106,0.0859772816294556,1235.0,0.151417004048583
2020-07-30 00:00:00,4049,0.1101506544825883,1169.0,0.1881950384944397
2020-07-29 00:00:00,4524,0.108974358974359,1202.0,0.1589018302828619
2020-07-28 00:00:00,4674,0.1181001283697048,1585.0,0.1463722397476341
2020-07-27 00:00:00,5891,0.123238838906807,1301.0,0.1421983089930823
2020-07-26 00:00:00,3318,0.1308016877637131,252.0,0.1111111111111111
2020-07-25 00:00:00,4226,0.1254141031708472,352.0,0.1448863636363637
2020-07-24 00:00:00,6903,0.1173402868318123,1435.0,0.1777003484320558
2020-07-23 00:00:00,6282,0.1225724291626871,1244.0,0.159967845659164
2020-07-22 00:00:00,7406,0.1284093977855793,1146.0,0.150087260034904
2020-07-21 00:00:00,7651,0.1267808129656254,1634.0,0.1297429620563036
2020-07-20 00:00:00,7553,0.1501390176088972,1563.0,0.1554702495201536
2020-07-19 00:00:00,4220,0.1319905213270142,271.0,0.1291512915129151
2020-07-18 00:00:00,7483,0.1360416945075504,375.0,0.1093333333333333
2020-07-17 00:00:00,11052,0.1365363735070576,1703.0,0.1409277745155608
2020-07-16 00:00:00,9309,0.1592007734450532,1348.0,0.1431750741839763
2020-07-15 00:00:00,10978,0.1680633995263254,1398.0,0.1266094420600859
2020-07-14 00:00:00,10848,0.1798488200589971,1810.0,0.1232044198895028
2020-07-13 00:00:00,9660,0.1937888198757764,1737.0,0.1232009211283823
2020-07-12 00:00:00,4856,0.2100494233937397,313.0,0.1182108626198083
2020-07-11 00:00:00,7197,0.2021675698207587,481.0,0.1538461538461539
2020-07-10 00:00:00,11328,0.1953566384180791,1816.0,0.0936123348017621
2020-07-09 00:00:00,12639,0.1945565313711528,1726.0,0.0903823870220162
2020-07-08 00:00:00,11751,0.217938898817122,1664.0,0.1039663461538462
2020-07-07 00:00:00,11401,0.2209455310937637,2086.0,0.0728667305848514
2020-07-06 00:00:00,11952,0.2177041499330656,1658.0,0.0880579010856454
2020-07-05 00:00:00,4618,0.2624512776093547,278.0,0.0719424460431655
2020-07-04 00:00:00,4760,0.2126050420168067,372.0,0.0860215053763441
2020-07-03 00:00:00,9780,0.2125766871165644,652.0,0.0567484662576687
2020-07-02 00:00:00,13101,0.2101366307915426,1904.0,0.085609243697479
