date,Navajo_cume,Navajo
1/1/2021,1,
1/11/2021,2,1
1/12/2021,3,1
1/13/2021,4,1
1/14/2021,10,6
1/15/2021,26,16
1/16/2021,56,30
1/18/2021,57,1
1/19/2021,62,5
1/2/2021,154,92
1/20/2021,328,174
1/21/2021,433,105
1/22/2021,797,364
1/23/2021,1177,380
1/24/2021,1550,373
1/25/2021,1924,374
1/26/2021,2011,87
1/27/2021,2012,1
1/28/2021,2013,1
1/29/2021,2246,233
1/3/2021,2650,404
1/30/2021,3124,474
1/31/2021,3878,754
1/4/2021,4244,366
1/5/2021,4245,1
1/6/2021,4672,427
1/7/2021,5125,453
1/8/2021,5423,298
1/9/2021,5814,391
12/14/2020,6243,429
12/15/2020,6248,5
12/16/2020,6434,186
12/17/2020,6883,449
12/18/2020,7388,505
12/2/2020,8052,664
12/20/2020,8465,413
12/21/2020,8717,252
12/22/2020,8739,22
12/23/2020,9293,554
12/24/2020,9845,552
12/28/2020,10588,743
12/29/2020,11742,1154
12/30/2020,12430,688
12/31/2020,12573,143
12/4/2020,12575,2
2/1/2021,13275,700
2/10/2021,14000,725
2/11/2021,15113,1113
2/12/2021,16011,898
2/13/2021,16642,631
2/14/2021,17337,695
2/15/2021,17339,2
2/16/2021,18130,791
2/17/2021,19046,916
2/18/2021,19813,767
2/19/2021,20867,1054
2/2/2021,21806,939
2/20/2021,22527,721
2/21/2021,22580,53
2/22/2021,22777,197
2/23/2021,23727,950
2/24/2021,24748,1021
2/25/2021,25547,799
2/26/2021,26070,523
2/27/2021,26124,54
2/28/2021,26152,28
2/3/2021,26595,443
2/4/2021,27232,637
2/5/2021,27823,591
2/6/2021,28817,994
2/7/2021,29618,801
2/8/2021,30023,405
2/9/2021,30047,24
3/1/2021,30711,664
3/10/2021,31283,572
3/11/2021,32081,798
3/12/2021,32848,767
3/13/2021,33293,445
3/14/2021,34016,723
3/15/2021,34051,35
3/16/2021,34538,487
3/17/2021,35105,567
3/18/2021,36073,968
3/19/2021,37163,1090
3/2/2021,37892,729
3/20/2021,38581,689
3/21/2021,38649,68
3/22/2021,39320,671
3/23/2021,39945,625
3/24/2021,40753,808
3/25/2021,41846,1093
3/26/2021,42401,555
3/27/2021,42490,89
3/28/2021,42563,73
3/29/2021,43086,523
3/3/2021,43881,795
3/30/2021,44789,908
3/31/2021,45775,986
3/4/2021,46487,712
3/5/2021,46651,164
3/6/2021,46713,62
3/7/2021,47299,586
3/8/2021,47733,434
3/9/2021,48679,946
4/1/2021,49115,436
4/10/2021,49515,400
4/11/2021,49715,200
4/12/2021,49753,38
4/13/2021,50153,400
4/14/2021,50618,465
4/15/2021,51030,412
4/16/2021,51855,825
4/17/2021,52239,384
4/18/2021,52439,200
4/19/2021,52527,88
4/2/2021,53256,729
4/20/2021,53629,373
4/21/2021,54101,472
4/22/2021,54701,600
4/23/2021,55052,351
4/24/2021,55145,93
4/25/2021,55199,54
4/26/2021,55677,478
4/27/2021,56047,370
4/28/2021,56469,422
4/29/2021,56858,389
4/3/2021,57129,271
4/30/2021,57282,153
4/4/2021,57314,32
4/5/2021,57625,311
4/6/2021,57905,280
4/7/2021,58224,319
4/8/2021,58592,368
4/9/2021,58806,214
5/1/2021,58875,69
5/10/2021,58896,21
5/11/2021,59065,169
5/12/2021,59350,285
5/13/2021,59527,177
5/14/2021,59933,406
5/15/2021,60077,144
5/16/2021,60140,63
5/17/2021,60160,20
5/18/2021,60464,304
5/19/2021,60651,187
5/2/2021,60812,161
5/20/2021,61122,310
5/21/2021,61578,456
5/22/2021,61632,54
5/23/2021,61687,55
5/24/2021,62110,423
5/25/2021,62459,349
5/26/2021,62833,374
5/27/2021,63346,513
5/28/2021,63601,255
5/29/2021,63880,279
5/3/2021,63928,48
5/30/2021,64152,224
5/31/2021,64413,261
5/4/2021,64612,199
5/5/2021,64851,239
5/6/2021,64995,144
5/7/2021,65043,48
5/8/2021,65070,27
5/9/2021,65106,36
6/1/2021,65345,239
6/10/2021,65468,123
6/11/2021,65696,228
6/12/2021,66018,322
6/13/2021,66041,23
6/14/2021,66081,40
6/15/2021,66304,223
6/16/2021,66515,211
6/17/2021,66893,378
6/18/2021,67159,266
6/19/2021,67391,232
6/2/2021,67584,193
6/20/2021,67604,20
6/21/2021,67823,219
6/22/2021,68084,261
6/23/2021,68289,205
6/24/2021,68468,179
6/25/2021,68614,146
6/26/2021,68649,35
6/27/2021,68683,34
6/28/2021,68830,147
6/29/2021,69040,210
6/3/2021,69171,131
6/30/2021,69311,140
6/4/2021,69433,122
6/5/2021,69458,25
6/6/2021,69472,14
6/7/2021,69581,109
6/8/2021,69742,161
6/9/2021,69897,155
7/1/2021,70029,132
7/10/2021,70131,102
7/11/2021,70144,13
7/12/2021,70155,11
7/13/2021,70204,49
7/14/2021,70355,151
7/15/2021,70475,120
7/16/2021,70642,167
7/17/2021,70799,157
7/18/2021,70816,17
7/19/2021,70829,13
7/2/2021,70964,135
7/20/2021,71096,132
7/21/2021,71279,183
7/22/2021,71371,92
7/23/2021,71520,149
7/24/2021,71565,45
7/25/2021,71590,25
7/26/2021,71763,173
7/27/2021,71950,187
7/28/2021,72111,161
7/29/2021,72289,178
7/3/2021,72415,126
7/30/2021,72461,46
7/31/2021,72476,15
7/4/2021,72629,153
7/5/2021,72783,154
7/6/2021,72942,159
7/7/2021,73109,167
7/8/2021,73249,140
7/9/2021,73296,47
8/1/2021,73309,13
8/10/2021,73472,163
8/11/2021,73668,196
8/12/2021,73847,179
8/13/2021,73997,150
8/14/2021,74222,225
8/15/2021,74261,39
8/16/2021,74280,19
8/17/2021,74415,135
8/18/2021,74604,189
8/19/2021,74838,234
8/2/2021,75013,175
8/20/2021,75254,241
8/3/2021,75308,54
8/4/2021,75338,30
8/5/2021,75555,217
8/6/2021,75806,251
8/7/2021,75953,147
8/8/2021,76110,157
8/9/2021,76266,156
