date,Maricopa_cume,Maricopa
2020-12-01,146,
2020-12-02,161,15
2020-12-03,170,9
2020-12-04,174,4
2020-12-05,176,2
2020-12-07,185,9
2020-12-08,191,6
2020-12-09,199,8
2020-12-10,213,14
2020-12-11,221,8
2020-12-12,224,3
2020-12-13,229,5
2020-12-14,242,13
2020-12-15,276,34
2020-12-16,327,51
2020-12-17,1580,1253
2020-12-18,3247,1667
2020-12-19,4903,1656
2020-12-20,5895,992
2020-12-21,9054,3159
2020-12-22,13133,4079
2020-12-23,17828,4695
2020-12-24,19385,1557
2020-12-25,19390,5
2020-12-26,24331,4941
2020-12-27,26564,2233
2020-12-28,31711,5147
2020-12-29,39470,7759
2020-12-30,48001,8531
2020-12-31,52002,4001
2021-01-01,53298,1296
2021-01-02,59326,6028
2021-01-03,61875,2549
2021-01-04,66528,4653
2021-01-05,70846,4318
2021-01-06,75729,4883
2021-01-07,81025,5296
2021-01-08,85589,4564
2021-01-09,90211,4622
2021-01-10,92813,2602
2021-01-11,102323,9510
2021-01-12,118242,15919
2021-01-13,135427,17185
2021-01-14,152023,16596
2021-01-15,167293,15270
2021-01-16,178787,11494
2021-01-17,187140,8353
2021-01-18,199871,12731
2021-01-19,217449,17578
2021-01-20,236200,18751
2021-01-21,255957,19757
2021-01-22,278035,22078
2021-01-23,296946,18911
2021-01-24,309249,12303
2021-01-25,325425,16176
2021-01-26,347591,22166
2021-01-27,367936,20345
2021-01-28,386845,18909
2021-01-29,408287,21442
2021-01-30,423774,15487
2021-01-31,431812,8038
2021-02-01,449739,17927
2021-02-02,471901,22162
2021-02-03,493955,22054
2021-02-04,519145,25190
2021-02-05,541807,22662
2021-02-06,565779,23972
2021-02-07,578677,12898
2021-02-08,602283,23606
2021-02-09,629623,27340
2021-02-10,655680,26057
2021-02-11,682083,26403
2021-02-12,717626,35543
2021-02-13,745559,27933
2021-02-14,758786,13227
2021-02-15,778276,19490
2021-02-16,805901,27625
2021-02-17,834425,28524
2021-02-18,862617,28192
2021-02-19,891245,28628
2021-02-20,916608,25363
2021-02-21,929742,13134
2021-02-22,948604,18862
2021-02-23,977434,28830
2021-02-24,1008394,30960
2021-02-25,1038119,29725
2021-02-26,1074652,36533
2021-02-27,1105127,30475
2021-02-28,1122473,17346
2021-03-01,1148585,26112
2021-03-02,1176365,27780
2021-03-03,1206102,29737
2021-03-04,1236789,30687
2021-03-05,1268753,31964
2021-03-06,1295839,27086
2021-03-07,1313322,17483
2021-03-08,1342744,29422
2021-03-09,1374347,31603
2021-03-10,1409490,35143
2021-03-11,1445994,36504
2021-03-12,1487148,41154
2021-03-13,1518411,31263
2021-03-14,1538213,19802
2021-03-15,1566152,27939
2021-03-16,1597036,30884
2021-03-17,1632984,35948
2021-03-18,1668893,35909
2021-03-19,1703213,34320
2021-03-20,1734700,31487
2021-03-21,1756675,21975
2021-03-22,1782765,26090
2021-03-23,1809512,26747
2021-03-24,1845343,35831
2021-03-25,1886126,40783
2021-03-26,1926460,40334
2021-03-27,1961836,35376
2021-03-28,1988967,27131
2021-03-29,2027908,38941
2021-03-30,2067897,39989
2021-03-31,2112621,44724
2021-04-01,2159857,47236
2021-04-02,2201977,42120
2021-04-03,2233609,31632
2021-04-04,2245948,12339
2021-04-05,2280511,34563
2021-04-06,2319191,38680
2021-04-07,2363075,43884
2021-04-08,2408156,45081
2021-04-09,2448985,40829
2021-04-10,2480603,31618
2021-04-11,2502766,22163
2021-04-12,2533626,30860
2021-04-13,2564029,30403
2021-04-14,2598188,34159
2021-04-15,2634850,36662
2021-04-16,2671089,36239
2021-04-17,2699238,28149
2021-04-18,2720330,21092
2021-04-19,2752699,32369
2021-04-20,2785817,33118
2021-04-21,2823185,37368
2021-04-22,2860813,37628
2021-04-23,2894351,33538
2021-04-24,2918391,24040
2021-04-25,2935838,17447
2021-04-26,2962393,26555
2021-04-27,2989306,26913
2021-04-28,3016946,27640
2021-04-29,3042512,25566
2021-04-30,3068322,25810
2021-05-01,3086422,18100
2021-05-02,3101813,15391
2021-05-03,3118306,16493
2021-05-04,3142128,23822
2021-05-05,3160933,18805
2021-05-06,3183661,22728
2021-05-07,3207388,23727
2021-05-08,3226029,18641
