Category,value
Apache,512
Cochise,392
Coconino,385
Gila,278
Graham,133
Greenlee,22
La Paz,102
Maricopa,"12,801"
Mohave,"1,046"
Navajo,678
Pima,"2,900"
Pinal,"1,173"
Santa Cruz,196
Yavapai,804
Yuma,928
Female,9222
Male,13115
20-44y,1199
45-54y,1714
55-64y,3476
65+,15911
<20y,50
"White, non-Hispanic",11484
Hispanic or Latino,6207
"American Indian or Alaska Native, non-Hispanic",1703
"Black or African American, non-Hispanic",686
"Asian or Pacific Islander, non-Hispanic",279
Other Race,620
Unknown,1371
