date,20-34,35-44,45-54,55-64,65+,<20,20-34_Apache,35-44_Apache,45-54_Apache,55-64_Apache,65+_Apache,<20_Apache,20-34_Coconino,35-44_Coconino,45-54_Coconino,55-64_Coconino,65+_Coconino,<20_Coconino,20-34_Cochise,35-44_Cochise,45-54_Cochise,55-64_Cochise,65+_Cochise,<20_Cochise,20-34_Graham,35-44_Graham,45-54_Graham,55-64_Graham,65+_Graham,<20_Graham,20-34_Greenlee,35-44_Greenlee,45-54_Greenlee,55-64_Greenlee,65+_Greenlee,<20_Greenlee,20-34_Gila,35-44_Gila,45-54_Gila,55-64_Gila,65+_Gila,<20_Gila,20-34_La Paz,35-44_La Paz,45-54_La Paz,55-64_La Paz,65+_La Paz,<20_La Paz,20-34_Maricopa,35-44_Maricopa,45-54_Maricopa,55-64_Maricopa,65+_Maricopa,<20_Maricopa,20-34_Mohave,35-44_Mohave,45-54_Mohave,55-64_Mohave,65+_Mohave,<20_Mohave,20-34_Navajo,35-44_Navajo,45-54_Navajo,55-64_Navajo,65+_Navajo,<20_Navajo,20-34_Pinal,35-44_Pinal,45-54_Pinal,55-64_Pinal,65+_Pinal,<20_Pinal,20-34_Pima,35-44_Pima,45-54_Pima,55-64_Pima,65+_Pima,<20_Pima,20-34_Yavapai,35-44_Yavapai,45-54_Yavapai,55-64_Yavapai,65+_Yavapai,<20_Yavapai,20-34_Santa Cruz,35-44_Santa Cruz,45-54_Santa Cruz,55-64_Santa Cruz,65+_Santa Cruz,<20_Santa Cruz,20-34_Yuma,35-44_Yuma,45-54_Yuma,55-64_Yuma,65+_Yuma,<20_Yuma
1/1/2021,20746,23156,21349,18630,13691,180,168.0,155.0,202,248.0,284.0,3.0,627.0,744.0,579.0,452,363.0,3.0,337.0,325,285.0,288,224,2.0,178.0,180.0,162.0,195.0,246.0,5.0,15.0,18.0,26.0,21.0,36.0,,159,152.0,165.0,208.0,209.0,4.0,11.0,6.0,21.0,15.0,16.0,,11602,13125,12302,9920,6218,101,287.0,385.0,440.0,499.0,364,7.0,230.0,287.0,302.0,357.0,934.0,5.0,624,986,957,763.0,546,6.0,4283,4531,3851,3599,2525,26.0,311.0,412.0,428.0,649.0,449,6.0,110.0,97.0,59,68.0,66.0,3.0,924,868,660,487.0,247,5.0
1/1/2022,929574,620277,631895,718933,1289030,557413,4775.0,3129.0,3325,4321.0,6287.0,8377.0,24553.0,12836.0,11852.0,13680,20489.0,12843.0,14500.0,9989,9455.0,12347,24961,11973.0,4246.0,3077.0,2892.0,3348.0,5372.0,2606.0,840.0,725.0,660.0,695.0,1037.0,470.0,2960,2121.0,2668.0,4881.0,12262.0,1601.0,740.0,564.0,711.0,1388.0,4962.0,758.0,549828,379783,389756,408173,656926,312185,8824.0,6776.0,9271.0,18066.0,44933,3948.0,6824.0,5056.0,5564.0,7813.0,15992.0,9137.0,41727,33312,34532,39746.0,81435,25913.0,146547,92632,90352,107733,214545,92907.0,12495.0,8874.0,11436.0,21274.0,59096,6297.0,11607.0,7473.0,7364,7047.0,10701.0,14644.0,35423,20325,19729,22275.0,37226,26429.0
1/10/2021,34281,35474,33706,30599,31611,403,235.0,234.0,323,425.0,890.0,10.0,1138.0,1167.0,958.0,807,733.0,11.0,455.0,464,397.0,401,659,4.0,273.0,296.0,303.0,317.0,533.0,6.0,23.0,23.0,38.0,34.0,88.0,1.0,303,340.0,412.0,525.0,1044.0,14.0,28.0,20.0,43.0,37.0,33.0,,19769,20174,19215,16140,12131,204,435.0,555.0,649.0,749.0,846,11.0,380.0,484.0,512.0,615.0,2252.0,29.0,1165,1714,1771,1502.0,2324,15.0,6546,6545,5745,5575,5236,55.0,564.0,702.0,796.0,1123.0,988,10.0,266.0,213.0,164,162.0,200.0,6.0,1263,1212,952,721.0,531,9.0
1/10/2022,941272,625981,637252,724555,1294830,575331,4829.0,3165.0,3359,4340.0,6306.0,8654.0,24789.0,12919.0,11912.0,13739,20524.0,13306.0,14692.0,10120,9587.0,12460,25069,12361.0,4292.0,3094.0,2904.0,3362.0,5385.0,2724.0,848.0,727.0,662.0,697.0,1038.0,475.0,3015,2150.0,2695.0,4915.0,12291.0,1696.0,755.0,568.0,720.0,1406.0,5000.0,769.0,555812,382628,392387,410567,659033,321634,8983.0,6872.0,9372.0,18245.0,45125,4096.0,6906.0,5103.0,5605.0,7853.0,16034.0,9341.0,42246,33608,34797,40087.0,81919,26969.0,148482,93672,91284,108536,215236,96376.0,12667.0,8978.0,11518.0,21417.0,59300,6455.0,11786.0,7577.0,7498,7193.0,10782.0,15043.0,35794,20479,19880,22582.0,37747,27144.0
1/11/2021,36197,37303,35689,32308,36052,458,247.0,249.0,338,451.0,1407.0,11.0,1208.0,1251.0,1037.0,858,801.0,12.0,467.0,479,421.0,420,858,4.0,280.0,308.0,311.0,331.0,581.0,6.0,23.0,23.0,38.0,34.0,88.0,1.0,317,357.0,429.0,557.0,1122.0,14.0,28.0,20.0,43.0,38.0,36.0,,20996,21288,20442,17124,14007,236,452.0,569.0,680.0,786.0,945,11.0,419.0,532.0,581.0,666.0,2496.0,32.0,1213,1795,1858,1569.0,2504,20.0,6857,6826,6013,5859,5641,65.0,573.0,710.0,805.0,1139.0,1017,11.0,282.0,233.0,189,181.0,216.0,6.0,1325,1302,1016,758.0,877,9.0
1/11/2022,942721,626709,637846,725179,1295557,577432,4836.0,3172.0,3362,4342.0,6314.0,8679.0,24808.0,12925.0,11912.0,13742,20531.0,13332.0,14719.0,10134,9596.0,12471,25075,12385.0,4293.0,3097.0,2904.0,3362.0,5386.0,2746.0,851.0,729.0,662.0,697.0,1039.0,475.0,3023,2157.0,2701.0,4920.0,12301.0,1715.0,756.0,569.0,720.0,1409.0,5000.0,770.0,556548,383029,392682,410828,659286,322778,8999.0,6880.0,9385.0,18268.0,45151,4113.0,6916.0,5107.0,5607.0,7856.0,16040.0,9383.0,42307,33627,34831,40121.0,81978,27111.0,148725,93777,91374,108626,215306,96799.0,12688.0,8988.0,11525.0,21429.0,59322,6476.0,11824.0,7593.0,7529,7232.0,10807.0,15062.0,35857,20503,19900,22620.0,37812,27203.0
1/12/2021,38964,40022,38506,34886,44012,553,258.0,264.0,360,488.0,1683.0,11.0,1313.0,1338.0,1112.0,942,1002.0,13.0,474.0,487,429.0,430,1075,5.0,290.0,315.0,325.0,359.0,647.0,8.0,26.0,29.0,43.0,40.0,105.0,1.0,325,361.0,438.0,572.0,1157.0,14.0,28.0,20.0,45.0,39.0,42.0,,22965,23277,22452,18822,18874,314,472.0,592.0,709.0,834.0,1110,11.0,446.0,559.0,642.0,738.0,2749.0,33.0,1300,1912,1984,1667.0,2789,20.0,7186,7092,6280,6125,6191,75.0,592.0,734.0,835.0,1185.0,1109,11.0,302.0,248.0,212,209.0,261.0,6.0,1387,1374,1093,812.0,1202,10.0
1/12/2022,944032,627370,638396,725812,1296194,579827,4847.0,3175.0,3369,4351.0,6318.0,8730.0,24831.0,12935.0,11914.0,13753,20537.0,13383.0,14748.0,10147,9609.0,12491,25087,12439.0,4300.0,3100.0,2906.0,3365.0,5388.0,2763.0,851.0,729.0,663.0,697.0,1039.0,477.0,3029,2159.0,2705.0,4921.0,12303.0,1737.0,757.0,570.0,721.0,1411.0,5007.0,772.0,557186,383349,392961,411119,659524,324081,9009.0,6886.0,9396.0,18283.0,45176,4122.0,6925.0,5112.0,5614.0,7860.0,16047.0,9439.0,42372,33657,34859,40145.0,82012,27259.0,148972,93907,91470,108708,215392,97259.0,12706.0,8999.0,11531.0,21439.0,59343,6488.0,11842.0,7606.0,7541,7253.0,10817.0,15091.0,35930,20535,19920,22664.0,37851,27283.0
1/13/2021,41705,42974,41672,37663,53098,629,269.0,288.0,398,540.0,1883.0,13.0,1371.0,1407.0,1195.0,1015,1266.0,14.0,494.0,521,453.0,457,1392,5.0,300.0,325.0,337.0,376.0,745.0,8.0,29.0,35.0,44.0,43.0,133.0,1.0,330,367.0,448.0,580.0,1194.0,14.0,56.0,48.0,82.0,82.0,66.0,,24959,25402,24678,20504,24447,375,490.0,623.0,748.0,881.0,1280,12.0,465.0,585.0,669.0,811.0,2953.0,33.0,1409,2053,2134,1845.0,3196,22.0,7403,7327,6528,6375,6665,82.0,637.0,783.0,922.0,1278.0,1305,12.0,312.0,258.0,219,220.0,431.0,6.0,1475,1448,1169,880.0,1541,10.0
1/13/2022,945569,628085,638993,726448,1296837,582059,4854.0,3176.0,3371,4356.0,6326.0,8752.0,24846.0,12936.0,11919.0,13759,20540.0,13395.0,14784.0,10180,9635.0,12518,25110,12605.0,4310.0,3105.0,2913.0,3367.0,5391.0,2789.0,853.0,729.0,663.0,697.0,1039.0,479.0,3032,2162.0,2705.0,4922.0,12307.0,1743.0,757.0,570.0,721.0,1411.0,5007.0,777.0,558025,383712,393254,411396,659764,325220,9029.0,6894.0,9403.0,18295.0,45201,4135.0,6931.0,5118.0,5621.0,7861.0,16053.0,9477.0,42446,33689,34898,40194.0,82065,27373.0,149216,94020,91547,108806,215463,97678.0,12723.0,9014.0,11541.0,21456.0,59359,6509.0,11866.0,7623.0,7551,7262.0,10823.0,15144.0,35981,20556,19940,22689.0,37893,27359.0
1/14/2021,44453,46040,44952,40736,62816,686,308.0,324.0,427,613.0,2240.0,16.0,1471.0,1496.0,1287.0,1102,1539.0,14.0,499.0,529,467.0,468,1644,5.0,315.0,358.0,363.0,423.0,869.0,9.0,37.0,42.0,58.0,67.0,143.0,1.0,340,382.0,466.0,612.0,1341.0,14.0,57.0,48.0,82.0,83.0,71.0,1.0,26887,27522,26961,22423,30495,409,525.0,652.0,798.0,949.0,1484,13.0,498.0,634.0,711.0,898.0,3191.0,41.0,1508,2235,2294,1998.0,3718,23.0,7705,7635,6850,6673,7115,86.0,670.0,828.0,977.0,1350.0,1420,14.0,323.0,271.0,229,232.0,594.0,6.0,1493,1470,1197,904.0,1630,10.0
1/14/2022,947041,628820,639536,727001,1297306,584880,4864.0,3179.0,3376,4361.0,6329.0,8796.0,24900.0,12957.0,11926.0,13766,20551.0,13476.0,14816.0,10213,9653.0,12541,25124,12699.0,4319.0,3113.0,2914.0,3367.0,5391.0,2827.0,854.0,730.0,664.0,698.0,1040.0,483.0,3037,2167.0,2707.0,4923.0,12307.0,1776.0,758.0,571.0,722.0,1413.0,5010.0,778.0,558777,384046,393494,411619,659932,326612,9050.0,6907.0,9419.0,18314.0,45222,4181.0,6941.0,5127.0,5630.0,7872.0,16063.0,9551.0,42536,33732,34932,40229.0,82106,27523.0,149450,94134,91652,108888,215516,98240.0,12740.0,9026.0,11551.0,21474.0,59381,6558.0,11879.0,7637.0,7559,7270.0,10827.0,15185.0,36020,20575,19958,22723.0,37918,27408.0
1/15/2021,47917,49305,48395,43907,72354,776,328.0,344.0,460,655.0,2428.0,21.0,1587.0,1591.0,1368.0,1191,2290.0,14.0,504.0,536,477.0,479,2070,5.0,425.0,472.0,472.0,547.0,1002.0,24.0,40.0,43.0,62.0,69.0,148.0,1.0,395,428.0,509.0,665.0,1379.0,20.0,59.0,49.0,82.0,83.0,74.0,1.0,29073,29523,29094,24225,35433,461,551.0,696.0,835.0,1017.0,1719,13.0,533.0,681.0,774.0,984.0,3462.0,42.0,1629,2394,2475,2132.0,4102,24.0,8318,8220,7436,7239,8466,94.0,685.0,840.0,989.0,1370.0,1470,14.0,339.0,285.0,240,241.0,760.0,6.0,1523,1486,1217,932.0,1720,10.0
1/15/2022,947378,629030,639689,727157,1297375,585902,4864.0,3179.0,3376,4361.0,6329.0,8797.0,24922.0,12957.0,11927.0,13768,20554.0,13507.0,14820.0,10217,9655.0,12541,25126,12730.0,4321.0,3115.0,2917.0,3367.0,5391.0,2827.0,855.0,730.0,664.0,698.0,1040.0,483.0,3037,2168.0,2707.0,4924.0,12307.0,1777.0,758.0,571.0,722.0,1413.0,5010.0,779.0,558921,384142,393562,411678,659966,327148,9056.0,6908.0,9421.0,18318.0,45226,4187.0,6944.0,5128.0,5632.0,7873.0,16063.0,9555.0,42571,33747,34941,40239.0,82106,27639.0,149511,94185,91688,108930,215523,98443.0,12746.0,9028.0,11555.0,21478.0,59384,6563.0,11898.0,7652.0,7566,7276.0,10827.0,15225.0,36031,20582,19962,22732.0,37924,27430.0
1/16/2021,49692,50876,50086,45535,77826,812,328.0,344.0,461,658.0,2442.0,21.0,1598.0,1607.0,1383.0,1214,2394.0,14.0,520.0,542,485.0,491,2428,5.0,428.0,472.0,473.0,547.0,1057.0,24.0,40.0,43.0,62.0,69.0,149.0,1.0,395,429.0,510.0,666.0,1380.0,20.0,59.0,50.0,82.0,84.0,75.0,1.0,30432,30708,30377,25403,38631,489,562.0,713.0,851.0,1056.0,1991,14.0,537.0,682.0,775.0,986.0,3471.0,42.0,1688,2483,2577,2224.0,4726,26.0,8556,8418,7618,7409,8754,96.0,706.0,872.0,1033.0,1416.0,1617,16.0,345.0,288.0,240,241.0,765.0,6.0,1527,1487,1221,933.0,1725,10.0
1/17/2021,50790,51889,51164,46631,81357,840,328.0,344.0,462,658.0,2442.0,21.0,1604.0,1615.0,1391.0,1218,2401.0,14.0,523.0,543,488.0,493,2442,5.0,429.0,472.0,473.0,547.0,1059.0,24.0,40.0,43.0,62.0,69.0,149.0,1.0,395,429.0,510.0,666.0,1383.0,20.0,59.0,50.0,82.0,84.0,77.0,1.0,31390,31605,31335,26372,41787,512,563.0,716.0,851.0,1058.0,2016,14.0,539.0,683.0,775.0,988.0,3473.0,42.0,1708,2512,2621,2260.0,4782,26.0,8639,8475,7667,7467,8893,100.0,708.0,874.0,1036.0,1422.0,1633,17.0,346.0,289.0,240,243.0,769.0,6.0,1530,1490,1222,934.0,1729,10.0
1/18/2021,52440,53414,52935,48410,89529,877,335.0,351.0,474,668.0,2468.0,21.0,1673.0,1686.0,1449.0,1274,2465.0,15.0,526.0,548,495.0,502,2619,5.0,441.0,477.0,487.0,561.0,1138.0,24.0,43.0,44.0,63.0,73.0,156.0,1.0,398,437.0,515.0,693.0,1453.0,20.0,60.0,51.0,82.0,87.0,84.0,1.0,32434,32543,32493,27506,47047,539,581.0,736.0,879.0,1094.0,2254,14.0,551.0,695.0,804.0,1016.0,3496.0,42.0,1777,2624,2702,2359.0,5011,28.0,8980,8781,7988,7758,10470,105.0,716.0,877.0,1051.0,1445.0,1791,19.0,348.0,294.0,242,247.0,776.0,6.0,1538,1497,1232,938.0,1748,10.0
1/19/2021,54493,55292,55027,50654,99851,964,354.0,371.0,493,708.0,2560.0,22.0,1763.0,1749.0,1512.0,1353,2724.0,15.0,544.0,560,512.0,519,2834,5.0,448.0,492.0,495.0,581.0,1190.0,25.0,47.0,45.0,65.0,73.0,173.0,1.0,411,441.0,524.0,708.0,1510.0,21.0,60.0,51.0,82.0,87.0,89.0,1.0,33699,33759,33822,28823,53384,600,599.0,755.0,911.0,1149.0,2444,15.0,583.0,721.0,849.0,1096.0,3666.0,43.0,1850,2700,2789,2448.0,5528,30.0,9350,9069,8317,8087,12160,115.0,750.0,929.0,1105.0,1524.0,1947,20.0,353.0,304.0,244,252.0,820.0,6.0,1585,1522,1268,966.0,1876,15.0
1/2/2021,22623,24878,22927,20054,14845,204,173.0,158.0,203,249.0,285.0,3.0,653.0,760.0,587.0,466,374.0,3.0,338.0,328,289.0,291,226,2.0,179.0,180.0,162.0,196.0,247.0,5.0,15.0,18.0,26.0,21.0,36.0,,175,168.0,188.0,244.0,311.0,7.0,11.0,6.0,21.0,15.0,16.0,,13117,14509,13556,11005,6989,120,293.0,395.0,449.0,510.0,377,7.0,230.0,288.0,302.0,357.0,935.0,5.0,705,1103,1088,869.0,627,7.0,4454,4655,3959,3716,2664,27.0,331.0,445.0,451.0,680.0,461,6.0,111.0,97.0,59,69.0,67.0,3.0,926,869,660,489.0,249,5.0
1/2/2022,930212,620614,632210,719266,1289336,558118,4777.0,3130.0,3325,4321.0,6287.0,8385.0,24559.0,12841.0,11856.0,13681,20489.0,12851.0,14507.0,9996,9458.0,12354,24963,11992.0,4246.0,3077.0,2894.0,3348.0,5372.0,2607.0,840.0,725.0,660.0,695.0,1037.0,470.0,2965,2121.0,2668.0,4883.0,12263.0,1601.0,740.0,564.0,711.0,1388.0,4963.0,760.0,550168,379941,389914,408310,657046,312520,8838.0,6782.0,9276.0,18081.0,44941,3954.0,6827.0,5057.0,5565.0,7813.0,15992.0,9138.0,41751,33328,34544,39767.0,81472,25941.0,146637,92695,90411,107780,214589,93093.0,12506.0,8881.0,11447.0,21283.0,59102,6307.0,11617.0,7476.0,7367,7052.0,10706.0,14656.0,35437,20334,19736,22294.0,37247,26438.0
1/20/2021,57039,57859,58102,53886,112480,1072,483.0,444.0,617,955.0,2704.0,61.0,2011.0,2021.0,1836.0,1646,2946.0,20.0,556.0,575,528.0,543,3214,6.0,472.0,503.0,511.0,600.0,1272.0,25.0,48.0,48.0,67.0,76.0,190.0,1.0,421,449.0,546.0,736.0,1616.0,22.0,67.0,55.0,89.0,109.0,105.0,1.0,34990,35038,35456,30375,60450,635,632.0,785.0,936.0,1216.0,2721,15.0,613.0,765.0,909.0,1200.0,3831.0,49.0,1925,2827,2897,2571.0,6305,35.0,9844,9613,8836,8572,14333,126.0,792.0,977.0,1172.0,1615.0,2233,20.0,373.0,320.0,265,271.0,1150.0,8.0,1599,1530,1277,977.0,1910,16.0
1/21/2021,59839,60823,61625,57577,128697,1207,596.0,542.0,747,1151.0,2887.0,113.0,2157.0,2137.0,1938.0,1745,3164.0,21.0,562.0,590,540.0,566,3593,6.0,487.0,511.0,520.0,624.0,1407.0,26.0,65.0,66.0,99.0,103.0,330.0,1.0,436,461.0,554.0,771.0,1827.0,22.0,67.0,55.0,90.0,112.0,112.0,1.0,36471,36534,37325,32264,68736,679,650.0,810.0,963.0,1258.0,2902,15.0,715.0,856.0,1026.0,1377.0,4049.0,63.0,2017,2961,3070,2741.0,7060,39.0,10242,10062,9333,9054,17479,134.0,914.0,1135.0,1347.0,1855.0,2940,20.0,388.0,341.0,284,288.0,1466.0,8.0,1719,1715,1456,1079.0,2434,19.0
1/22/2021,64312,64996,66253,62542,144743,1336,653.0,602.0,817,1258.0,3013.0,125.0,2253.0,2214.0,2034.0,1858,3508.0,22.0,577.0,598,548.0,575,3759,6.0,555.0,567.0,555.0,665.0,1473.0,30.0,78.0,88.0,121.0,131.0,421.0,1.0,452,470.0,561.0,783.0,1890.0,22.0,67.0,58.0,90.0,112.0,112.0,1.0,39335,39168,40279,35305,76724,764,678.0,833.0,990.0,1306.0,3147,15.0,787.0,914.0,1081.0,1484.0,4183.0,76.0,2164,3130,3257,2933.0,7821,42.0,10933,10752,10079,9803,20569,141.0,1049.0,1269.0,1522.0,2107.0,3883,21.0,419.0,371.0,322,318.0,1885.0,9.0,1827,1812,1543,1159.0,3109,19.0
1/23/2021,67555,67756,69339,65750,155424,1467,655.0,603.0,818,1261.0,3032.0,127.0,2296.0,2249.0,2068.0,1893,3711.0,25.0,603.0,633,584.0,610,4117,6.0,561.0,578.0,565.0,672.0,1682.0,30.0,124.0,143.0,157.0,196.0,570.0,1.0,456,475.0,563.0,789.0,2004.0,22.0,68.0,59.0,90.0,112.0,115.0,1.0,41926,41229,42766,37800,81604,829,691.0,843.0,999.0,1324.0,3753,15.0,793.0,919.0,1085.0,1489.0,4307.0,110.0,2246,3298,3419,3091.0,8418,45.0,11208,10990,10272,10004,22359,146.0,1089.0,1326.0,1576.0,2214.0,5032,24.0,425.0,376.0,323,320.0,1893.0,9.0,1856,1851,1568,1190.0,3146,20.0
