date,Coconino_cume,Coconino
2020-12-02 00:00:00,1,
2020-12-04 00:00:00,2,1
2020-12-10 00:00:00,3,1
2020-12-15 00:00:00,6,3
2020-12-16 00:00:00,147,141
2020-12-17 00:00:00,275,128
2020-12-18 00:00:00,486,211
2020-12-19 00:00:00,534,48
2020-12-20 00:00:00,535,1
2020-12-21 00:00:00,537,2
2020-12-22 00:00:00,574,37
2020-12-23 00:00:00,906,332
2020-12-24 00:00:00,1294,388
2020-12-25 00:00:00,1416,122
2020-12-26 00:00:00,1514,98
2020-12-27 00:00:00,1605,91
2020-12-28 00:00:00,1826,221
2020-12-29 00:00:00,2177,351
2020-12-30 00:00:00,2579,402
2020-12-31 00:00:00,2787,208
2021-01-01 00:00:00,2888,101
2021-01-02 00:00:00,2952,64
2021-01-03 00:00:00,2957,5
2021-01-04 00:00:00,3305,348
2021-01-05 00:00:00,3659,354
2021-01-06 00:00:00,4152,493
2021-01-07 00:00:00,4724,572
2021-01-08 00:00:00,5358,634
2021-01-09 00:00:00,5437,79
2021-01-10 00:00:00,5442,5
2021-01-11 00:00:00,5766,324
2021-01-12 00:00:00,6328,562
2021-01-13 00:00:00,6815,487
2021-01-14 00:00:00,7442,627
2021-01-15 00:00:00,8614,1172
2021-01-16 00:00:00,8717,103
2021-01-17 00:00:00,8718,1
2021-01-18 00:00:00,8894,176
2021-01-19 00:00:00,9299,405
2021-01-20 00:00:00,10814,1515
2021-01-21 00:00:00,11663,849
2021-01-22 00:00:00,12563,900
2021-01-23 00:00:00,12959,396
2021-01-24 00:00:00,12973,14
2021-01-25 00:00:00,13526,553
2021-01-26 00:00:00,14028,502
2021-01-27 00:00:00,15327,1299
2021-01-28 00:00:00,16539,1212
2021-01-29 00:00:00,17442,903
2021-01-30 00:00:00,17774,332
2021-01-31 00:00:00,17802,28
2021-02-01 00:00:00,18643,841
2021-02-02 00:00:00,19483,840
2021-02-03 00:00:00,21110,1627
2021-02-04 00:00:00,23125,2015
2021-02-05 00:00:00,25350,2225
2021-02-06 00:00:00,26810,1460
2021-02-07 00:00:00,26848,38
2021-02-08 00:00:00,27735,887
2021-02-09 00:00:00,28645,910
2021-02-10 00:00:00,31115,2470
2021-02-11 00:00:00,32651,1536
2021-02-12 00:00:00,35389,2738
2021-02-13 00:00:00,36896,1507
2021-02-14 00:00:00,36924,28
2021-02-15 00:00:00,38125,1201
2021-02-16 00:00:00,39747,1622
2021-02-17 00:00:00,42548,2801
2021-02-18 00:00:00,43657,1109
2021-02-19 00:00:00,45004,1347
2021-02-20 00:00:00,46045,1041
2021-02-21 00:00:00,46054,9
2021-02-22 00:00:00,46444,390
2021-02-23 00:00:00,46972,528
2021-02-24 00:00:00,48936,1964
2021-02-25 00:00:00,50593,1657
2021-02-26 00:00:00,52290,1697
2021-02-27 00:00:00,53947,1657
2021-02-28 00:00:00,54035,88
2021-03-01 00:00:00,55612,1577
2021-03-02 00:00:00,57393,1781
2021-03-03 00:00:00,59117,1724
2021-03-04 00:00:00,61264,2147
2021-03-05 00:00:00,63019,1755
2021-03-06 00:00:00,63755,736
2021-03-07 00:00:00,63847,92
2021-03-08 00:00:00,64808,961
2021-03-09 00:00:00,65694,886
2021-03-10 00:00:00,68432,2738
2021-03-11 00:00:00,70290,1858
2021-03-12 00:00:00,72861,2571
2021-03-13 00:00:00,73998,1137
2021-03-14 00:00:00,74056,58
2021-03-15 00:00:00,75379,1323
2021-03-16 00:00:00,77290,1911
2021-03-17 00:00:00,79060,1770
2021-03-18 00:00:00,80534,1474
2021-03-19 00:00:00,82153,1619
2021-03-20 00:00:00,83150,997
2021-03-21 00:00:00,83224,74
2021-03-22 00:00:00,83965,741
2021-03-23 00:00:00,85829,1864
2021-03-24 00:00:00,87561,1732
2021-03-25 00:00:00,89507,1946
2021-03-26 00:00:00,91698,2191
2021-03-27 00:00:00,92249,551
2021-03-28 00:00:00,92398,149
2021-03-29 00:00:00,94158,1760
2021-03-30 00:00:00,95965,1807
2021-03-31 00:00:00,97793,1828
2021-04-01 00:00:00,99187,1394
2021-04-02 00:00:00,100706,1519
2021-04-03 00:00:00,101262,556
2021-04-04 00:00:00,101359,97
2021-04-05 00:00:00,102219,860
2021-04-06 00:00:00,103531,1312
2021-04-07 00:00:00,104586,1055
2021-04-08 00:00:00,105814,1228
2021-04-09 00:00:00,107089,1275
2021-04-10 00:00:00,107669,580
2021-04-11 00:00:00,107770,101
2021-04-12 00:00:00,108287,517
2021-04-13 00:00:00,109308,1021
2021-04-14 00:00:00,110195,887
2021-04-15 00:00:00,111086,891
2021-04-16 00:00:00,112229,1143
2021-04-17 00:00:00,112576,347
2021-04-18 00:00:00,112664,88
2021-04-19 00:00:00,113670,1006
2021-04-20 00:00:00,114644,974
2021-04-21 00:00:00,115416,772
2021-04-22 00:00:00,116429,1013
2021-04-23 00:00:00,117545,1116
2021-04-24 00:00:00,117847,302
2021-04-25 00:00:00,117990,143
2021-04-26 00:00:00,118502,512
2021-04-27 00:00:00,119440,938
2021-04-28 00:00:00,120178,738
2021-04-29 00:00:00,120860,682
2021-04-30 00:00:00,121397,537
2021-05-01 00:00:00,121711,314
2021-05-02 00:00:00,121717,6
