Category,value
tests,505428
Yuma,10455
Yavapai,13045
Santa Cruz,1879
Pinal,32300
Pima,51854
Navajo,4225
Mohave,10480
Maricopa,350436
La Paz,1571
Greenlee,202
Graham,1082
Gila,5511
Coconino,6418
Cochise,5466
Apache,1190
Unknown,432
65 years and older,119505
55 - 64 years,96031
45 - 54 years,89328
20 - 44 years,175666
Less than 20 years,24466
positive,0.1753405034940684
