date,pcr_tests,pcr_positivity,ser_tests,ser_positivity
2020-08-28 00:00:00,9,0.1111111111111111,,
2020-08-27 00:00:00,1063,0.0677328316086548,317,0.1451104100946373
2020-08-26 00:00:00,7625,0.0420983606557377,950,0.1494736842105263
2020-08-25 00:00:00,8870,0.0361894024802706,1489,0.1208865010073875
2020-08-24 00:00:00,9900,0.0571717171717172,1292,0.1308049535603715
2020-08-23 00:00:00,3816,0.0479559748427673,402,0.082089552238806
2020-08-22 00:00:00,4338,0.0553250345781466,556,0.0989208633093525
2020-08-21 00:00:00,7616,0.0464810924369748,1457,0.1571722717913521
2020-08-20 00:00:00,7199,0.0459786081400194,1312,0.1509146341463415
2020-08-19 00:00:00,8073,0.0512820512820513,1120,0.1348214285714286
2020-08-18 00:00:00,9742,0.0437281872305481,1718,0.1280558789289872
2020-08-17 00:00:00,10815,0.0446601941747573,1579,0.1481950601646612
2020-08-16 00:00:00,4273,0.0449333021296513,480,0.0958333333333333
2020-08-15 00:00:00,5594,0.0645334286735788,580,0.1206896551724138
2020-08-14 00:00:00,9147,0.0500710615502351,1608,0.1417910447761194
2020-08-13 00:00:00,7941,0.061831003651933,1460,0.1671232876712329
2020-08-12 00:00:00,9602,0.050614455321808,1430,0.1468531468531469
2020-08-11 00:00:00,9790,0.0608784473953013,1878,0.1586794462193823
2020-08-10 00:00:00,10205,0.06281234688878,1533,0.1337247227658187
2020-08-09 00:00:00,4965,0.0569989929506546,419,0.0859188544152745
2020-08-08 00:00:00,5809,0.0666207608882768,550,0.1036363636363636
2020-08-07 00:00:00,8084,0.0739732805541811,1689,0.1397276494967436
2020-08-06 00:00:00,8075,0.0787616099071208,1445,0.1653979238754325
2020-08-05 00:00:00,7849,0.08179385909033,1277,0.2012529365700862
2020-08-04 00:00:00,7931,0.0827134031017526,1866,0.1296891747052519
2020-08-03 00:00:00,9464,0.0930896027049873,1905,0.1333333333333333
2020-08-02 00:00:00,4231,0.0905223351453557,415,0.0987951807228916
2020-08-01 00:00:00,6393,0.0819646488346629,556,0.1169064748201439
2020-07-31 00:00:00,9507,0.0776270116756074,2002,0.1348651348651349
2020-07-30 00:00:00,8013,0.1047048546112567,1869,0.1514178705189941
2020-07-29 00:00:00,8265,0.097761645493043,1944,0.132201646090535
2020-07-28 00:00:00,8459,0.1100602908145171,2441,0.1245391233101188
2020-07-27 00:00:00,10014,0.1139404833233473,2220,0.1166666666666667
2020-07-26 00:00:00,4897,0.1184398611394732,364,0.0906593406593407
2020-07-25 00:00:00,7209,0.1167984463864614,534,0.1198501872659176
2020-07-24 00:00:00,10729,0.1097958803243546,2354,0.1389124893797791
2020-07-23 00:00:00,10398,0.1170417387959223,1999,0.128064032016008
2020-07-22 00:00:00,11976,0.1154809619238477,1862,0.1278195488721805
2020-07-21 00:00:00,12448,0.1192962724935733,2576,0.1187888198757764
2020-07-20 00:00:00,12333,0.1345982323846591,2498,0.1317053642914332
2020-07-19 00:00:00,5646,0.126461211477152,390,0.1153846153846154
2020-07-18 00:00:00,10120,0.1300395256916996,567,0.0970017636684303
2020-07-17 00:00:00,16301,0.1254524262315195,2342,0.1259607173356106
2020-07-16 00:00:00,14529,0.1455020992497763,1873,0.1398825413774693
2020-07-15 00:00:00,16514,0.1523555770861088,1877,0.1353223228556207
2020-07-14 00:00:00,16839,0.1636676762278045,2419,0.1194708557255064
2020-07-13 00:00:00,15424,0.1736903526970954,2414,0.1151615575807788
2020-07-12 00:00:00,6547,0.1955093936153964,478,0.1087866108786611
2020-07-11 00:00:00,9926,0.1858754785412049,709,0.1297602256699577
2020-07-10 00:00:00,17310,0.1747544771808203,2488,0.0884244372990354
2020-07-09 00:00:00,19012,0.1737849779086893,2298,0.0944299390774587
2020-07-08 00:00:00,18524,0.1898078168862017,2218,0.1009918845807033
2020-07-07 00:00:00,19252,0.1884479534593809,2784,0.0750718390804598
2020-07-06 00:00:00,18782,0.1946544563944202,2287,0.0795802361171841
2020-07-05 00:00:00,6529,0.2424567315055905,405,0.0641975308641975
2020-07-04 00:00:00,6245,0.2136108887109688,525,0.0761904761904762
2020-07-03 00:00:00,13470,0.1953971789161099,846,0.0520094562647754
2020-07-02 00:00:00,20763,0.1847517218128401,2626,0.0845392231530845
2020-07-01 00:00:00,20234,0.1967974696056143,2756,0.0729317851959361
2020-06-30 00:00:00,20417,0.2041925846108635,2748,0.0600436681222707
2020-06-29 00:00:00,20077,0.214474274044927,3480,0.0781609195402299
2020-06-28 00:00:00,7434,0.2354048964218456,512,0.044921875
2020-06-27 00:00:00,11119,0.2279881284288156,843,0.036773428232503
2020-06-26 00:00:00,18808,0.1947043811144194,3614,0.0617044825677919
2020-06-25 00:00:00,18323,0.1960377667412542,3388,0.0563754427390791
2020-06-24 00:00:00,18447,0.1890280262373286,3415,0.053294289897511
2020-06-23 00:00:00,18116,0.1759218370501214,3538,0.0602035048049746
2020-06-22 00:00:00,16570,0.1961375980687991,2839,0.0415639309616062
2020-06-21 00:00:00,6071,0.2338988634491847,648,0.0478395061728395
2020-06-20 00:00:00,9999,0.2064206420642064,811,0.0345252774352651
2020-06-19 00:00:00,16801,0.1705850842211773,3345,0.0367713004484305
2020-06-18 00:00:00,15817,0.1728519946892584,3000,0.0356666666666667
2020-06-17 00:00:00,13866,0.1862829943747296,2688,0.0416666666666667
2020-06-16 00:00:00,13906,0.1664029915144542,3546,0.032994923857868
2020-06-15 00:00:00,13437,0.1646945002604748,2691,0.0330732069862505
2020-06-14 00:00:00,4717,0.1748993004027984,626,0.0223642172523962
